,product_category_name,order_approved_at,payment_value
0,agro_industry_and_commerce,2017-01-29,2
1,agro_industry_and_commerce,2017-02-05,2
2,agro_industry_and_commerce,2017-02-12,2
3,agro_industry_and_commerce,2017-02-19,3
4,agro_industry_and_commerce,2017-02-26,3
5,agro_industry_and_commerce,2017-03-05,0
6,agro_industry_and_commerce,2017-03-12,0
7,agro_industry_and_commerce,2017-03-19,1
8,agro_industry_and_commerce,2017-03-26,1
9,agro_industry_and_commerce,2017-04-02,0
10,agro_industry_and_commerce,2017-04-09,0
11,agro_industry_and_commerce,2017-04-16,0
12,agro_industry_and_commerce,2017-04-23,0
13,agro_industry_and_commerce,2017-04-30,0
14,agro_industry_and_commerce,2017-05-07,1
15,agro_industry_and_commerce,2017-05-14,1
16,agro_industry_and_commerce,2017-05-21,1
17,agro_industry_and_commerce,2017-05-28,1
18,agro_industry_and_commerce,2017-06-04,0
19,agro_industry_and_commerce,2017-06-11,0
20,agro_industry_and_commerce,2017-06-18,0
21,agro_industry_and_commerce,2017-06-25,0
22,agro_industry_and_commerce,2017-07-02,1
23,agro_industry_and_commerce,2017-07-09,0
24,agro_industry_and_commerce,2017-07-16,1
25,agro_industry_and_commerce,2017-07-23,0
26,agro_industry_and_commerce,2017-07-30,0
27,agro_industry_and_commerce,2017-08-06,0
28,agro_industry_and_commerce,2017-08-13,0
29,agro_industry_and_commerce,2017-08-20,0
30,agro_industry_and_commerce,2017-08-27,0
31,agro_industry_and_commerce,2017-09-03,4
32,agro_industry_and_commerce,2017-09-10,1
33,agro_industry_and_commerce,2017-09-17,1
34,agro_industry_and_commerce,2017-09-24,2
35,agro_industry_and_commerce,2017-10-01,0
36,agro_industry_and_commerce,2017-10-08,1
37,agro_industry_and_commerce,2017-10-15,1
38,agro_industry_and_commerce,2017-10-22,1
39,agro_industry_and_commerce,2017-10-29,1
40,agro_industry_and_commerce,2017-11-05,1
41,agro_industry_and_commerce,2017-11-12,2
42,agro_industry_and_commerce,2017-11-19,4
43,agro_industry_and_commerce,2017-11-26,4
44,agro_industry_and_commerce,2017-12-03,10
45,agro_industry_and_commerce,2017-12-10,3
46,agro_industry_and_commerce,2017-12-17,1
47,agro_industry_and_commerce,2017-12-24,3
48,agro_industry_and_commerce,2017-12-31,3
49,agro_industry_and_commerce,2018-01-07,3
50,agro_industry_and_commerce,2018-01-14,4
51,agro_industry_and_commerce,2018-01-21,7
52,agro_industry_and_commerce,2018-01-28,2
53,agro_industry_and_commerce,2018-02-04,6
54,agro_industry_and_commerce,2018-02-11,8
55,agro_industry_and_commerce,2018-02-18,2
56,agro_industry_and_commerce,2018-02-25,28
57,agro_industry_and_commerce,2018-03-04,9
58,agro_industry_and_commerce,2018-03-11,5
59,agro_industry_and_commerce,2018-03-18,23
60,agro_industry_and_commerce,2018-03-25,8
61,agro_industry_and_commerce,2018-04-01,5
62,agro_industry_and_commerce,2018-04-08,3
63,agro_industry_and_commerce,2018-04-15,2
64,agro_industry_and_commerce,2018-04-22,2
65,agro_industry_and_commerce,2018-04-29,4
66,agro_industry_and_commerce,2018-05-06,2
67,agro_industry_and_commerce,2018-05-13,5
68,agro_industry_and_commerce,2018-05-20,1
69,agro_industry_and_commerce,2018-05-27,0
70,agro_industry_and_commerce,2018-06-03,1
71,agro_industry_and_commerce,2018-06-10,2
72,agro_industry_and_commerce,2018-06-17,2
73,agro_industry_and_commerce,2018-06-24,2
74,agro_industry_and_commerce,2018-07-01,5
75,agro_industry_and_commerce,2018-07-08,2
76,agro_industry_and_commerce,2018-07-15,1
77,agro_industry_and_commerce,2018-07-22,15
78,agro_industry_and_commerce,2018-07-29,8
79,agro_industry_and_commerce,2018-08-05,11
80,agro_industry_and_commerce,2018-08-12,4
81,agro_industry_and_commerce,2018-08-19,1
82,agro_industry_and_commerce,2018-08-26,6
83,air_conditioning,2016-10-09,10
84,air_conditioning,2016-10-16,0
85,air_conditioning,2016-10-23,0
86,air_conditioning,2016-10-30,0
87,air_conditioning,2016-11-06,0
88,air_conditioning,2016-11-13,0
89,air_conditioning,2016-11-20,0
90,air_conditioning,2016-11-27,0
91,air_conditioning,2016-12-04,0
92,air_conditioning,2016-12-11,0
93,air_conditioning,2016-12-18,0
94,air_conditioning,2016-12-25,0
95,air_conditioning,2017-01-01,0
96,air_conditioning,2017-01-08,0
97,air_conditioning,2017-01-15,0
98,air_conditioning,2017-01-22,0
99,air_conditioning,2017-01-29,3
100,air_conditioning,2017-02-05,1
101,air_conditioning,2017-02-12,0
102,air_conditioning,2017-02-19,9
103,air_conditioning,2017-02-26,4
104,air_conditioning,2017-03-05,2
105,air_conditioning,2017-03-12,5
106,air_conditioning,2017-03-19,6
107,air_conditioning,2017-03-26,3
108,air_conditioning,2017-04-02,2
109,air_conditioning,2017-04-09,4
110,air_conditioning,2017-04-16,5
