,product_category_name,order_approved_at,payment_value
0,agro_industry_and_commerce,2017-01-29,122.84
1,agro_industry_and_commerce,2017-02-05,82.85
2,agro_industry_and_commerce,2017-02-12,153.64000000000001
3,agro_industry_and_commerce,2017-02-19,104.85
4,agro_industry_and_commerce,2017-02-26,36.099999999999994
5,agro_industry_and_commerce,2017-03-05,0.0
6,agro_industry_and_commerce,2017-03-12,0.0
7,agro_industry_and_commerce,2017-03-19,74.17
8,agro_industry_and_commerce,2017-03-26,36.52
9,agro_industry_and_commerce,2017-04-02,0.0
10,agro_industry_and_commerce,2017-04-09,0.0
11,agro_industry_and_commerce,2017-04-16,0.0
12,agro_industry_and_commerce,2017-04-23,0.0
13,agro_industry_and_commerce,2017-04-30,0.0
14,agro_industry_and_commerce,2017-05-07,67.77
15,agro_industry_and_commerce,2017-05-14,657.61
16,agro_industry_and_commerce,2017-05-21,957.15
17,agro_industry_and_commerce,2017-05-28,81.21
18,agro_industry_and_commerce,2017-06-04,0.0
19,agro_industry_and_commerce,2017-06-11,0.0
20,agro_industry_and_commerce,2017-06-18,0.0
21,agro_industry_and_commerce,2017-06-25,0.0
22,agro_industry_and_commerce,2017-07-02,1422.05
23,agro_industry_and_commerce,2017-07-09,0.0
24,agro_industry_and_commerce,2017-07-16,1199.47
25,agro_industry_and_commerce,2017-07-23,0.0
26,agro_industry_and_commerce,2017-07-30,0.0
27,agro_industry_and_commerce,2017-08-06,0.0
28,agro_industry_and_commerce,2017-08-13,0.0
29,agro_industry_and_commerce,2017-08-20,0.0
30,agro_industry_and_commerce,2017-08-27,0.0
31,agro_industry_and_commerce,2017-09-03,898.4
32,agro_industry_and_commerce,2017-09-10,418.04
33,agro_industry_and_commerce,2017-09-17,854.33
34,agro_industry_and_commerce,2017-09-24,1694.64
35,agro_industry_and_commerce,2017-10-01,0.0
36,agro_industry_and_commerce,2017-10-08,43.72
37,agro_industry_and_commerce,2017-10-15,37.1
38,agro_industry_and_commerce,2017-10-22,948.35
39,agro_industry_and_commerce,2017-10-29,61.93
40,agro_industry_and_commerce,2017-11-05,2467.33
41,agro_industry_and_commerce,2017-11-12,1434.27
42,agro_industry_and_commerce,2017-11-19,2579.15
43,agro_industry_and_commerce,2017-11-26,4465.29
44,agro_industry_and_commerce,2017-12-03,37852.52
45,agro_industry_and_commerce,2017-12-10,1019.26
46,agro_industry_and_commerce,2017-12-17,301.76
47,agro_industry_and_commerce,2017-12-24,4045.27
48,agro_industry_and_commerce,2017-12-31,977.06
49,agro_industry_and_commerce,2018-01-07,2032.46
50,agro_industry_and_commerce,2018-01-14,1745.39
51,agro_industry_and_commerce,2018-01-21,1991.7100000000003
52,agro_industry_and_commerce,2018-01-28,120.21000000000001
53,agro_industry_and_commerce,2018-02-04,1831.68
54,agro_industry_and_commerce,2018-02-11,3545.12
55,agro_industry_and_commerce,2018-02-18,1043.23
56,agro_industry_and_commerce,2018-02-25,3202.5
57,agro_industry_and_commerce,2018-03-04,2191.92
58,agro_industry_and_commerce,2018-03-11,1396.22
59,agro_industry_and_commerce,2018-03-18,2931.9399999999996
60,agro_industry_and_commerce,2018-03-25,1622.48
61,agro_industry_and_commerce,2018-04-01,1735.38
62,agro_industry_and_commerce,2018-04-08,1019.65
63,agro_industry_and_commerce,2018-04-15,669.61
64,agro_industry_and_commerce,2018-04-22,1964.42
65,agro_industry_and_commerce,2018-04-29,1025.54
66,agro_industry_and_commerce,2018-05-06,157.31
67,agro_industry_and_commerce,2018-05-13,2436.03
68,agro_industry_and_commerce,2018-05-20,453.53
69,agro_industry_and_commerce,2018-05-27,0.0
70,agro_industry_and_commerce,2018-06-03,490.79
71,agro_industry_and_commerce,2018-06-10,1775.98
72,agro_industry_and_commerce,2018-06-17,329.58000000000004
73,agro_industry_and_commerce,2018-06-24,708.83
74,agro_industry_and_commerce,2018-07-01,1543.7400000000002
75,agro_industry_and_commerce,2018-07-08,658.22
76,agro_industry_and_commerce,2018-07-15,614.63
77,agro_industry_and_commerce,2018-07-22,3695.0999999999995
78,agro_industry_and_commerce,2018-07-29,2097.15
79,agro_industry_and_commerce,2018-08-05,6044.67
80,agro_industry_and_commerce,2018-08-12,1362.6399999999999
81,agro_industry_and_commerce,2018-08-19,42.17
