Category: Food & Drink

Week,best pretzels: (United States)
2009-01-11,0
2009-01-18,0
2009-01-25,0
2009-02-01,0
2009-02-08,0
2009-02-15,0
2009-02-22,0
2009-03-01,27
2009-03-08,0
2009-03-15,28
2009-03-22,0
2009-03-29,0
2009-04-05,28
2009-04-12,0
2009-04-19,28
2009-04-26,28
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,0
2009-05-31,0
2009-06-07,57
2009-06-14,29
2009-06-21,0
2009-06-28,31
2009-07-05,29
2009-07-12,0
2009-07-19,0
2009-07-26,28
2009-08-02,29
2009-08-09,29
2009-08-16,0
2009-08-23,0
2009-08-30,0
2009-09-06,28
2009-09-13,26
2009-09-20,0
2009-09-27,0
2009-10-04,0
2009-10-11,26
2009-10-18,0
2009-10-25,0
2009-11-01,26
2009-11-08,25
2009-11-15,0
2009-11-22,28
2009-11-29,24
2009-12-06,24
2009-12-13,100
2009-12-20,31
2009-12-27,0
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,23
2010-02-07,0
2010-02-14,0
2010-02-21,23
2010-02-28,23
2010-03-07,23
2010-03-14,24
2010-03-21,23
2010-03-28,0
2010-04-04,24
2010-04-11,0
2010-04-18,23
2010-04-25,0
2010-05-02,0
2010-05-09,24
2010-05-16,0
2010-05-23,0
2010-05-30,0
2010-06-06,25
2010-06-13,26
2010-06-20,0
2010-06-27,0
2010-07-04,23
2010-07-11,22
2010-07-18,0
2010-07-25,43
2010-08-01,43
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,20
2010-09-19,20
2010-09-26,20
2010-10-03,20
2010-10-10,61
2010-10-17,19
2010-10-24,19
2010-10-31,19
2010-11-07,0
2010-11-14,37
2010-11-21,0
2010-11-28,0
2010-12-05,18
2010-12-12,28
2010-12-19,44
2010-12-26,22
2011-01-02,0
2011-01-09,16
2011-01-16,0
2011-01-23,15
2011-01-30,29
2011-02-06,15
2011-02-13,30
2011-02-20,15
2011-02-27,15
2011-03-06,15
2011-03-13,16
2011-03-20,0
2011-03-27,15
2011-04-03,15
2011-04-10,15
2011-04-17,23
2011-04-24,0
2011-05-01,15
2011-05-08,0
2011-05-15,22
2011-05-22,0
2011-05-29,0
2011-06-05,0
2011-06-12,0
2011-06-19,15
2011-06-26,15
2011-07-03,16
2011-07-10,30
2011-07-17,15
2011-07-24,0
2011-07-31,14
2011-08-07,15
2011-08-14,15
2011-08-21,14
2011-08-28,0
2011-09-04,29
2011-09-11,27
2011-09-18,0
2011-09-25,27
2011-10-02,14
2011-10-09,13
2011-10-16,14
2011-10-23,13
2011-10-30,20
2011-11-06,19
2011-11-13,26
2011-11-20,28
2011-11-27,31
2011-12-04,50
2011-12-11,38
2011-12-18,41
2011-12-25,14
2012-01-01,25
