Category: All categories

Week,chocolate pretzel: (United States)
2009-01-11,12
2009-01-18,4
2009-01-25,7
2009-02-01,12
2009-02-08,11
2009-02-15,4
2009-02-22,5
2009-03-01,3
2009-03-08,2
2009-03-15,8
2009-03-22,6
2009-03-29,0
2009-04-05,2
2009-04-12,6
2009-04-19,16
2009-04-26,0
2009-05-03,5
2009-05-10,5
2009-05-17,5
2009-05-24,5
2009-05-31,5
2009-06-07,4
2009-06-14,6
2009-06-21,5
2009-06-28,6
2009-07-05,2
2009-07-12,5
2009-07-19,7
2009-07-26,0
2009-08-02,6
2009-08-09,6
2009-08-16,0
2009-08-23,5
2009-08-30,6
2009-09-06,5
2009-09-13,4
2009-09-20,6
2009-09-27,8
2009-10-04,2
2009-10-11,12
2009-10-18,3
2009-10-25,7
2009-11-01,11
2009-11-08,8
2009-11-15,12
2009-11-22,15
2009-11-29,28
2009-12-06,33
2009-12-13,77
2009-12-20,54
2009-12-27,11
2010-01-03,9
2010-01-10,7
2010-01-17,5
2010-01-24,4
2010-01-31,6
2010-02-07,9
2010-02-14,10
2010-02-21,7
2010-02-28,8
2010-03-07,6
2010-03-14,5
2010-03-21,8
2010-03-28,5
2010-04-04,5
2010-04-11,9
2010-04-18,6
2010-04-25,4
2010-05-02,3
2010-05-09,10
2010-05-16,5
2010-05-23,4
2010-05-30,5
2010-06-06,4
2010-06-13,3
2010-06-20,4
2010-06-27,11
2010-07-04,5
2010-07-11,5
2010-07-18,5
2010-07-25,2
2010-08-01,5
2010-08-08,8
2010-08-15,9
2010-08-22,4
2010-08-29,5
2010-09-05,5
2010-09-12,4
2010-09-19,13
2010-09-26,5
2010-10-03,5
2010-10-10,7
2010-10-17,13
2010-10-24,12
2010-10-31,7
2010-11-07,10
2010-11-14,13
2010-11-21,16
2010-11-28,19
2010-12-05,38
2010-12-12,55
2010-12-19,63
2010-12-26,9
2011-01-02,10
2011-01-09,9
2011-01-16,6
2011-01-23,10
2011-01-30,12
2011-02-06,16
2011-02-13,17
2011-02-20,10
2011-02-27,7
2011-03-06,6
2011-03-13,11
2011-03-20,7
2011-03-27,11
2011-04-03,9
2011-04-10,9
2011-04-17,9
2011-04-24,8
2011-05-01,10
2011-05-08,8
2011-05-15,4
2011-05-22,8
2011-05-29,8
2011-06-05,9
2011-06-12,6
2011-06-19,9
2011-06-26,13
2011-07-03,13
2011-07-10,13
2011-07-17,4
2011-07-24,8
2011-07-31,5
2011-08-07,8
2011-08-14,10
2011-08-21,10
2011-08-28,9
2011-09-04,18
2011-09-11,9
2011-09-18,13
2011-09-25,12
2011-10-02,14
2011-10-09,19
2011-10-16,15
2011-10-23,22
2011-10-30,17
2011-11-06,15
2011-11-13,22
2011-11-20,22
2011-11-27,19
2011-12-04,51
2011-12-11,72
2011-12-18,100
2011-12-25,27
2012-01-01,15
