Category: All categories

Week,Frito-Lay: (Kentucky)
2009-01-11,0
2009-01-18,87
2009-01-25,49
2009-02-01,44
2009-02-08,0
2009-02-15,0
2009-02-22,0
2009-03-01,83
2009-03-08,0
2009-03-15,0
2009-03-22,42
2009-03-29,0
2009-04-05,43
2009-04-12,42
2009-04-19,0
2009-04-26,0
2009-05-03,0
2009-05-10,44
2009-05-17,89
2009-05-24,46
2009-05-31,46
2009-06-07,0
2009-06-14,69
2009-06-21,93
2009-06-28,0
2009-07-05,0
2009-07-12,46
2009-07-19,0
2009-07-26,0
2009-08-02,0
2009-08-09,0
2009-08-16,84
2009-08-23,0
2009-08-30,61
2009-09-06,0
2009-09-13,38
2009-09-20,0
2009-09-27,0
2009-10-04,39
2009-10-11,0
2009-10-18,0
2009-10-25,0
2009-11-01,0
2009-11-08,0
2009-11-15,0
2009-11-22,0
2009-11-29,34
2009-12-06,34
2009-12-13,0
2009-12-20,0
2009-12-27,0
2010-01-03,36
2010-01-10,0
2010-01-17,35
2010-01-24,33
2010-01-31,0
2010-02-07,100
2010-02-14,34
2010-02-21,0
2010-02-28,33
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,0
2010-05-02,0
2010-05-09,37
2010-05-16,37
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,41
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,37
2010-07-25,0
2010-08-01,0
2010-08-08,37
2010-08-15,36
2010-08-22,0
2010-08-29,35
2010-09-05,0
2010-09-12,33
2010-09-19,0
2010-09-26,33
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,32
2010-11-14,0
2010-11-21,0
2010-11-28,30
2010-12-05,61
2010-12-12,0
2010-12-19,0
2010-12-26,37
2011-01-02,21
2011-01-09,30
2011-01-16,19
2011-01-23,39
2011-01-30,38
2011-02-06,19
2011-02-13,20
2011-02-20,39
2011-02-27,19
2011-03-06,20
2011-03-13,42
2011-03-20,39
2011-03-27,19
2011-04-03,21
2011-04-10,0
2011-04-17,20
2011-04-24,29
2011-05-01,39
2011-05-08,0
2011-05-15,41
2011-05-22,72
2011-05-29,34
2011-06-05,0
2011-06-12,22
2011-06-19,21
2011-06-26,22
2011-07-03,22
2011-07-10,21
2011-07-17,41
2011-07-24,31
2011-07-31,20
2011-08-07,20
2011-08-14,19
2011-08-21,19
2011-08-28,0
2011-09-04,38
2011-09-11,19
2011-09-18,18
2011-09-25,18
2011-10-02,19
2011-10-09,0
2011-10-16,18
2011-10-23,33
2011-10-30,16
2011-11-06,22
2011-11-13,22
2011-11-20,0
2011-11-27,12
2011-12-04,12
2011-12-11,18
2011-12-18,0
2011-12-25,0
2012-01-01,0
