Category: All categories

Week,Frito-Lay: (Ohio)
2009-01-11,27
2009-01-18,56
2009-01-25,40
2009-02-01,80
2009-02-08,54
2009-02-15,27
2009-02-22,78
2009-03-01,26
2009-03-08,52
2009-03-15,52
2009-03-22,0
2009-03-29,38
2009-04-05,27
2009-04-12,27
2009-04-19,0
2009-04-26,26
2009-05-03,0
2009-05-10,39
2009-05-17,28
2009-05-24,29
2009-05-31,28
2009-06-07,43
2009-06-14,28
2009-06-21,58
2009-06-28,60
2009-07-05,29
2009-07-12,42
2009-07-19,42
2009-07-26,60
2009-08-02,59
2009-08-09,44
2009-08-16,44
2009-08-23,57
2009-08-30,28
2009-09-06,44
2009-09-13,27
2009-09-20,66
2009-09-27,53
2009-10-04,77
2009-10-11,26
2009-10-18,51
2009-10-25,26
2009-11-01,25
2009-11-08,38
2009-11-15,0
2009-11-22,58
2009-11-29,48
2009-12-06,23
2009-12-13,24
2009-12-20,31
2009-12-27,0
2010-01-03,24
2010-01-10,23
2010-01-17,46
2010-01-24,55
2010-01-31,44
2010-02-07,67
2010-02-14,22
2010-02-21,22
2010-02-28,55
2010-03-07,44
2010-03-14,22
2010-03-21,22
2010-03-28,95
2010-04-04,47
2010-04-11,100
2010-04-18,22
2010-04-25,44
2010-05-02,35
2010-05-09,59
2010-05-16,71
2010-05-23,0
2010-05-30,53
2010-06-06,26
2010-06-13,27
2010-06-20,53
2010-06-27,26
2010-07-04,66
2010-07-11,48
2010-07-18,24
2010-07-25,37
2010-08-01,49
2010-08-08,49
2010-08-15,25
2010-08-22,36
2010-08-29,24
2010-09-05,25
2010-09-12,57
2010-09-19,45
2010-09-26,22
2010-10-03,78
2010-10-10,46
2010-10-17,22
2010-10-24,43
2010-10-31,0
2010-11-07,32
2010-11-14,31
2010-11-21,72
2010-11-28,20
2010-12-05,21
2010-12-12,42
2010-12-19,51
2010-12-26,48
2011-01-02,27
2011-01-09,20
2011-01-16,34
2011-01-23,13
2011-01-30,31
2011-02-06,13
2011-02-13,46
2011-02-20,26
2011-02-27,52
2011-03-06,13
2011-03-13,48
2011-03-20,27
2011-03-27,27
2011-04-03,19
2011-04-10,20
2011-04-17,59
2011-04-24,58
2011-05-01,45
2011-05-08,67
2011-05-15,46
2011-05-22,26
2011-05-29,22
2011-06-05,21
2011-06-12,29
2011-06-19,21
2011-06-26,28
2011-07-03,42
2011-07-10,41
2011-07-17,14
2011-07-24,42
2011-07-31,35
2011-08-07,40
2011-08-14,39
2011-08-21,25
2011-08-28,12
2011-09-04,13
2011-09-11,25
2011-09-18,18
2011-09-25,24
2011-10-02,36
2011-10-09,35
2011-10-16,29
2011-10-23,35
2011-10-30,29
2011-11-06,22
2011-11-13,34
2011-11-20,24
2011-11-27,17
2011-12-04,22
2011-12-11,38
2011-12-18,57
2011-12-25,24
2012-01-01,22
