Category: All categories

Week,Frito-Lay: (Texas)
2009-01-11,80
2009-01-18,68
2009-01-25,49
2009-02-01,100
2009-02-08,71
2009-02-15,89
2009-02-22,49
2009-03-01,61
2009-03-08,44
2009-03-15,36
2009-03-22,27
2009-03-29,49
2009-04-05,56
2009-04-12,65
2009-04-19,71
2009-04-26,32
2009-05-03,86
2009-05-10,44
2009-05-17,39
2009-05-24,65
2009-05-31,62
2009-06-07,40
2009-06-14,74
2009-06-21,85
2009-06-28,53
2009-07-05,75
2009-07-12,80
2009-07-19,28
2009-07-26,51
2009-08-02,51
2009-08-09,62
2009-08-16,33
2009-08-23,33
2009-08-30,49
2009-09-06,39
2009-09-13,90
2009-09-20,68
2009-09-27,64
2009-10-04,42
2009-10-11,32
2009-10-18,47
2009-10-25,72
2009-11-01,42
2009-11-08,62
2009-11-15,36
2009-11-22,36
2009-11-29,60
2009-12-06,30
2009-12-13,31
2009-12-20,26
2009-12-27,19
2010-01-03,51
2010-01-10,40
2010-01-17,46
2010-01-24,58
2010-01-31,43
2010-02-07,63
2010-02-14,54
2010-02-21,29
2010-02-28,44
2010-03-07,20
2010-03-14,50
2010-03-21,54
2010-03-28,46
2010-04-04,60
2010-04-11,34
2010-04-18,49
2010-04-25,71
2010-05-02,77
2010-05-09,26
2010-05-16,100
2010-05-23,60
2010-05-30,70
2010-06-06,55
2010-06-13,67
2010-06-20,54
2010-06-27,61
2010-07-04,45
2010-07-11,39
2010-07-18,38
2010-07-25,56
2010-08-01,30
2010-08-08,59
2010-08-15,47
2010-08-22,46
2010-08-29,33
2010-09-05,58
2010-09-12,36
2010-09-19,36
2010-09-26,28
2010-10-03,40
2010-10-10,49
2010-10-17,43
2010-10-24,39
2010-10-31,23
2010-11-07,47
2010-11-14,43
2010-11-21,43
2010-11-28,45
2010-12-05,23
2010-12-12,39
2010-12-19,31
2010-12-26,59
2011-01-02,47
2011-01-09,48
2011-01-16,41
2011-01-23,36
2011-01-30,59
2011-02-06,58
2011-02-13,31
2011-02-20,56
2011-02-27,49
2011-03-06,35
2011-03-13,50
2011-03-20,28
2011-03-27,34
2011-04-03,41
2011-04-10,55
2011-04-17,41
2011-04-24,68
2011-05-01,54
2011-05-08,34
2011-05-15,41
2011-05-22,34
2011-05-29,28
2011-06-05,43
2011-06-12,30
2011-06-19,59
2011-06-26,33
2011-07-03,48
2011-07-10,41
2011-07-17,31
2011-07-24,38
2011-07-31,40
2011-08-07,41
2011-08-14,21
2011-08-21,40
2011-08-28,45
2011-09-04,32
2011-09-11,43
2011-09-18,51
2011-09-25,47
2011-10-02,51
2011-10-09,26
2011-10-16,54
2011-10-23,34
2011-10-30,36
2011-11-06,47
2011-11-13,23
2011-11-20,31
2011-11-27,33
2011-12-04,44
2011-12-11,20
2011-12-18,17
2011-12-25,29
2012-01-01,44
