Category: All categories

Week,Frito-Lay: (United States)
2009-01-11,79
2009-01-18,86
2009-01-25,88
2009-02-01,83
2009-02-08,82
2009-02-15,100
2009-02-22,69
2009-03-01,83
2009-03-08,90
2009-03-15,88
2009-03-22,75
2009-03-29,84
2009-04-05,88
2009-04-12,84
2009-04-19,85
2009-04-26,76
2009-05-03,71
2009-05-10,80
2009-05-17,77
2009-05-24,82
2009-05-31,79
2009-06-07,72
2009-06-14,80
2009-06-21,91
2009-06-28,72
2009-07-05,70
2009-07-12,67
2009-07-19,68
2009-07-26,74
2009-08-02,73
2009-08-09,80
2009-08-16,76
2009-08-23,74
2009-08-30,82
2009-09-06,80
2009-09-13,70
2009-09-20,75
2009-09-27,83
2009-10-04,61
2009-10-11,53
2009-10-18,68
2009-10-25,77
2009-11-01,67
2009-11-08,62
2009-11-15,74
2009-11-22,44
2009-11-29,70
2009-12-06,62
2009-12-13,60
2009-12-20,46
2009-12-27,57
2010-01-03,69
2010-01-10,64
2010-01-17,70
2010-01-24,78
2010-01-31,68
2010-02-07,85
2010-02-14,79
2010-02-21,61
2010-02-28,66
2010-03-07,76
2010-03-14,64
2010-03-21,67
2010-03-28,63
2010-04-04,56
2010-04-11,72
2010-04-18,78
2010-04-25,68
2010-05-02,67
2010-05-09,96
2010-05-16,79
2010-05-23,84
2010-05-30,77
2010-06-06,70
2010-06-13,88
2010-06-20,69
2010-06-27,73
2010-07-04,61
2010-07-11,61
2010-07-18,84
2010-07-25,67
2010-08-01,74
2010-08-08,75
2010-08-15,82
2010-08-22,85
2010-08-29,61
2010-09-05,51
2010-09-12,72
2010-09-19,62
2010-09-26,52
2010-10-03,76
2010-10-10,64
2010-10-17,70
2010-10-24,60
2010-10-31,68
2010-11-07,54
2010-11-14,51
2010-11-21,37
2010-11-28,52
2010-12-05,50
2010-12-12,42
2010-12-19,49
2010-12-26,54
2011-01-02,79
2011-01-09,79
2011-01-16,71
2011-01-23,76
2011-01-30,79
2011-02-06,79
2011-02-13,73
2011-02-20,68
2011-02-27,61
2011-03-06,66
2011-03-13,65
2011-03-20,73
2011-03-27,67
2011-04-03,69
2011-04-10,89
2011-04-17,83
2011-04-24,95
2011-05-01,76
2011-05-08,76
2011-05-15,92
2011-05-22,78
2011-05-29,77
2011-06-05,66
2011-06-12,71
2011-06-19,72
2011-06-26,77
2011-07-03,69
2011-07-10,75
2011-07-17,69
2011-07-24,85
2011-07-31,63
2011-08-07,75
2011-08-14,80
2011-08-21,58
2011-08-28,61
2011-09-04,70
2011-09-11,69
2011-09-18,74
2011-09-25,74
2011-10-02,72
2011-10-09,77
2011-10-16,68
2011-10-23,75
2011-10-30,47
2011-11-06,71
2011-11-13,54
2011-11-20,45
2011-11-27,57
2011-12-04,53
2011-12-11,50
2011-12-18,43
2011-12-25,48
2012-01-01,65
