Category: Food & Drink

Week,Frito-Lay: (United States)
2009-01-11,54
2009-01-18,61
2009-01-25,90
2009-02-01,72
2009-02-08,67
2009-02-15,90
2009-02-22,85
2009-03-01,78
2009-03-08,79
2009-03-15,56
2009-03-22,100
2009-03-29,68
2009-04-05,64
2009-04-12,69
2009-04-19,62
2009-04-26,72
2009-05-03,73
2009-05-10,50
2009-05-17,38
2009-05-24,63
2009-05-31,51
2009-06-07,43
2009-06-14,46
2009-06-21,54
2009-06-28,59
2009-07-05,42
2009-07-12,54
2009-07-19,56
2009-07-26,48
2009-08-02,54
2009-08-09,60
2009-08-16,52
2009-08-23,49
2009-08-30,46
2009-09-06,57
2009-09-13,52
2009-09-20,44
2009-09-27,65
2009-10-04,49
2009-10-11,50
2009-10-18,45
2009-10-25,44
2009-11-01,35
2009-11-08,50
2009-11-15,39
2009-11-22,31
2009-11-29,33
2009-12-06,34
2009-12-13,37
2009-12-20,22
2009-12-27,38
2010-01-03,43
2010-01-10,44
2010-01-17,71
2010-01-24,58
2010-01-31,40
2010-02-07,49
2010-02-14,42
2010-02-21,54
2010-02-28,55
2010-03-07,41
2010-03-14,54
2010-03-21,50
2010-03-28,43
2010-04-04,45
2010-04-11,37
2010-04-18,52
2010-04-25,35
2010-05-02,54
2010-05-09,59
2010-05-16,76
2010-05-23,64
2010-05-30,38
2010-06-06,50
2010-06-13,55
2010-06-20,40
2010-06-27,42
2010-07-04,44
2010-07-11,44
2010-07-18,52
2010-07-25,59
2010-08-01,47
2010-08-08,47
2010-08-15,70
2010-08-22,49
2010-08-29,63
2010-09-05,54
2010-09-12,43
2010-09-19,57
2010-09-26,44
2010-10-03,65
2010-10-10,55
2010-10-17,43
2010-10-24,52
2010-10-31,47
2010-11-07,42
2010-11-14,43
2010-11-21,27
2010-11-28,50
2010-12-05,45
2010-12-12,40
2010-12-19,29
2010-12-26,43
2011-01-02,55
2011-01-09,59
2011-01-16,55
2011-01-23,59
2011-01-30,43
2011-02-06,66
2011-02-13,60
2011-02-20,45
2011-02-27,45
2011-03-06,43
2011-03-13,52
2011-03-20,60
2011-03-27,46
2011-04-03,58
2011-04-10,58
2011-04-17,50
2011-04-24,64
2011-05-01,54
2011-05-08,60
2011-05-15,55
2011-05-22,62
2011-05-29,40
2011-06-05,47
2011-06-12,45
2011-06-19,42
2011-06-26,40
2011-07-03,37
2011-07-10,38
2011-07-17,49
2011-07-24,61
2011-07-31,46
2011-08-07,49
2011-08-14,43
2011-08-21,44
2011-08-28,36
2011-09-04,60
2011-09-11,53
2011-09-18,53
2011-09-25,48
2011-10-02,61
2011-10-09,49
2011-10-16,43
2011-10-23,45
2011-10-30,43
2011-11-06,52
2011-11-13,43
2011-11-20,33
2011-11-27,43
2011-12-04,36
2011-12-11,49
2011-12-18,39
2011-12-25,37
2012-01-01,49
