Category: Shopping

Week,Frito-Lay: (United States)
2009-01-11,30
2009-01-18,27
2009-01-25,34
2009-02-01,23
2009-02-08,35
2009-02-15,26
2009-02-22,23
2009-03-01,28
2009-03-08,35
2009-03-15,35
2009-03-22,34
2009-03-29,34
2009-04-05,17
2009-04-12,26
2009-04-19,17
2009-04-26,28
2009-05-03,34
2009-05-10,17
2009-05-17,29
2009-05-24,24
2009-05-31,52
2009-06-07,35
2009-06-14,35
2009-06-21,30
2009-06-28,38
2009-07-05,18
2009-07-12,27
2009-07-19,17
2009-07-26,18
2009-08-02,18
2009-08-09,53
2009-08-16,23
2009-08-23,51
2009-08-30,34
2009-09-06,17
2009-09-13,81
2009-09-20,38
2009-09-27,32
2009-10-04,32
2009-10-11,24
2009-10-18,37
2009-10-25,21
2009-11-01,24
2009-11-08,23
2009-11-15,36
2009-11-22,35
2009-11-29,15
2009-12-06,30
2009-12-13,39
2009-12-20,39
2009-12-27,19
2010-01-03,20
2010-01-10,15
2010-01-17,52
2010-01-24,21
2010-01-31,43
2010-02-07,14
2010-02-14,20
2010-02-21,23
2010-02-28,36
2010-03-07,14
2010-03-14,30
2010-03-21,14
2010-03-28,15
2010-04-04,30
2010-04-11,36
2010-04-18,50
2010-04-25,50
2010-05-02,35
2010-05-09,35
2010-05-16,50
2010-05-23,31
2010-05-30,32
2010-06-06,26
2010-06-13,27
2010-06-20,16
2010-06-27,31
2010-07-04,14
2010-07-11,40
2010-07-18,20
2010-07-25,13
2010-08-01,13
2010-08-08,22
2010-08-15,20
2010-08-22,19
2010-08-29,17
2010-09-05,26
2010-09-12,25
2010-09-19,12
2010-09-26,12
2010-10-03,29
2010-10-10,12
2010-10-17,28
2010-10-24,0
2010-10-31,12
2010-11-07,24
2010-11-14,12
2010-11-21,26
2010-11-28,11
2010-12-05,19
2010-12-12,19
2010-12-19,13
2010-12-26,18
2011-01-02,29
2011-01-09,35
2011-01-16,29
2011-01-23,28
2011-01-30,39
2011-02-06,28
2011-02-13,34
2011-02-20,16
2011-02-27,14
2011-03-06,19
2011-03-13,29
2011-03-20,15
2011-03-27,24
2011-04-03,25
2011-04-10,46
2011-04-17,56
2011-04-24,64
2011-05-01,46
2011-05-08,37
2011-05-15,34
2011-05-22,100
2011-05-29,39
2011-06-05,31
2011-06-12,38
2011-06-19,44
2011-06-26,32
2011-07-03,30
2011-07-10,19
2011-07-17,28
2011-07-24,51
2011-07-31,24
2011-08-07,45
2011-08-14,27
2011-08-21,32
2011-08-28,12
2011-09-04,22
2011-09-11,20
2011-09-18,20
2011-09-25,29
2011-10-02,50
2011-10-09,12
2011-10-16,33
2011-10-23,41
2011-10-30,30
2011-11-06,24
2011-11-13,16
2011-11-20,14
2011-11-27,23
2011-12-04,10
2011-12-11,26
2011-12-18,21
2011-12-25,17
2012-01-01,18
