Category: Food & Drink

Week,Herrs: (United States)
2009-01-11,0
2009-01-18,0
2009-01-25,0
2009-02-01,20
2009-02-08,30
2009-02-15,40
2009-02-22,49
2009-03-01,19
2009-03-08,20
2009-03-15,20
2009-03-22,39
2009-03-29,0
2009-04-05,0
2009-04-12,20
2009-04-19,19
2009-04-26,19
2009-05-03,19
2009-05-10,20
2009-05-17,39
2009-05-24,21
2009-05-31,0
2009-06-07,20
2009-06-14,20
2009-06-21,20
2009-06-28,43
2009-07-05,0
2009-07-12,41
2009-07-19,20
2009-07-26,20
2009-08-02,100
2009-08-09,40
2009-08-16,20
2009-08-23,39
2009-08-30,19
2009-09-06,20
2009-09-13,18
2009-09-20,18
2009-09-27,0
2009-10-04,18
2009-10-11,18
2009-10-18,18
2009-10-25,18
2009-11-01,18
2009-11-08,35
2009-11-15,26
2009-11-22,59
2009-11-29,42
2009-12-06,0
2009-12-13,35
2009-12-20,44
2009-12-27,21
2010-01-03,26
2010-01-10,26
2010-01-17,17
2010-01-24,24
2010-01-31,40
2010-02-07,25
2010-02-14,42
2010-02-21,16
2010-02-28,33
2010-03-07,16
2010-03-14,34
2010-03-21,16
2010-03-28,35
2010-04-04,17
2010-04-11,33
2010-04-18,0
2010-04-25,16
2010-05-02,0
2010-05-09,17
2010-05-16,26
2010-05-23,27
2010-05-30,19
2010-06-06,0
2010-06-13,0
2010-06-20,36
2010-06-27,35
2010-07-04,32
2010-07-11,15
2010-07-18,15
2010-07-25,30
2010-08-01,15
2010-08-08,37
2010-08-15,30
2010-08-22,15
2010-08-29,14
2010-09-05,15
2010-09-12,14
2010-09-19,0
2010-09-26,14
2010-10-03,35
2010-10-10,28
2010-10-17,0
2010-10-24,34
2010-10-31,40
2010-11-07,20
2010-11-14,39
2010-11-21,29
2010-11-28,39
2010-12-05,19
2010-12-12,46
2010-12-19,15
2010-12-26,23
2011-01-02,17
2011-01-09,49
2011-01-16,11
2011-01-23,43
2011-01-30,20
2011-02-06,31
2011-02-13,11
2011-02-20,11
2011-02-27,21
2011-03-06,11
2011-03-13,17
2011-03-20,47
2011-03-27,37
2011-04-03,26
2011-04-10,21
2011-04-17,37
2011-04-24,10
2011-05-01,21
2011-05-08,21
2011-05-15,58
2011-05-22,27
2011-05-29,22
2011-06-05,27
2011-06-12,43
2011-06-19,32
2011-06-26,49
2011-07-03,34
2011-07-10,26
2011-07-17,21
2011-07-24,31
2011-07-31,51
2011-08-07,46
2011-08-14,46
2011-08-21,15
2011-08-28,35
2011-09-04,15
2011-09-11,29
2011-09-18,39
2011-09-25,19
2011-10-02,14
2011-10-09,28
2011-10-16,29
2011-10-23,23
2011-10-30,24
2011-11-06,55
2011-11-13,27
2011-11-20,44
2011-11-27,52
2011-12-04,35
2011-12-11,53
2011-12-18,29
2011-12-25,15
2012-01-01,31
