Category: All categories

Week,Nestlé: (United States)
2009-01-11,57
2009-01-18,61
2009-01-25,63
2009-02-01,63
2009-02-08,61
2009-02-15,56
2009-02-22,57
2009-03-01,56
2009-03-08,64
2009-03-15,53
2009-03-22,58
2009-03-29,53
2009-04-05,58
2009-04-12,48
2009-04-19,51
2009-04-26,57
2009-05-03,60
2009-05-10,54
2009-05-17,51
2009-05-24,63
2009-05-31,58
2009-06-07,51
2009-06-14,100
2009-06-21,90
2009-06-28,72
2009-07-05,66
2009-07-12,54
2009-07-19,56
2009-07-26,54
2009-08-02,59
2009-08-09,58
2009-08-16,66
2009-08-23,60
2009-08-30,63
2009-09-06,57
2009-09-13,69
2009-09-20,60
2009-09-27,61
2009-10-04,67
2009-10-11,67
2009-10-18,78
2009-10-25,71
2009-11-01,71
2009-11-08,68
2009-11-15,81
2009-11-22,86
2009-11-29,80
2009-12-06,79
2009-12-13,88
2009-12-20,90
2009-12-27,61
2010-01-03,69
2010-01-10,62
2010-01-17,62
2010-01-24,70
2010-01-31,70
2010-02-07,69
2010-02-14,69
2010-02-21,62
2010-02-28,69
2010-03-07,64
2010-03-14,65
2010-03-21,67
2010-03-28,63
2010-04-04,59
2010-04-11,63
2010-04-18,66
2010-04-25,71
2010-05-02,61
2010-05-09,61
2010-05-16,61
2010-05-23,51
2010-05-30,55
2010-06-06,57
2010-06-13,60
2010-06-20,55
2010-06-27,52
2010-07-04,49
2010-07-11,47
2010-07-18,49
2010-07-25,45
2010-08-01,59
2010-08-08,51
2010-08-15,47
2010-08-22,48
2010-08-29,45
2010-09-05,53
2010-09-12,56
2010-09-19,55
2010-09-26,60
2010-10-03,54
2010-10-10,62
2010-10-17,64
2010-10-24,59
2010-10-31,63
2010-11-07,59
2010-11-14,72
2010-11-21,60
2010-11-28,62
2010-12-05,71
2010-12-12,72
2010-12-19,69
2010-12-26,51
2011-01-02,50
2011-01-09,48
2011-01-16,45
2011-01-23,48
2011-01-30,54
2011-02-06,43
2011-02-13,45
2011-02-20,43
2011-02-27,44
2011-03-06,40
2011-03-13,47
2011-03-20,40
2011-03-27,41
2011-04-03,51
2011-04-10,50
2011-04-17,47
2011-04-24,45
2011-05-01,52
2011-05-08,42
2011-05-15,42
2011-05-22,47
2011-05-29,51
2011-06-05,48
2011-06-12,47
2011-06-19,50
2011-06-26,44
2011-07-03,46
2011-07-10,46
2011-07-17,46
2011-07-24,48
2011-07-31,45
2011-08-07,47
2011-08-14,48
2011-08-21,45
2011-08-28,45
2011-09-04,42
2011-09-11,51
2011-09-18,47
2011-09-25,45
2011-10-02,45
2011-10-09,48
2011-10-16,48
2011-10-23,44
2011-10-30,46
2011-11-06,51
2011-11-13,50
2011-11-20,48
2011-11-27,49
2011-12-04,61
2011-12-11,60
2011-12-18,74
2011-12-25,42
2012-01-01,38
