Category: Food & Drink

Week,Nestlé: (Kentucky)
2009-01-11,25
2009-01-18,0
2009-01-25,0
2009-02-01,0
2009-02-08,0
2009-02-15,24
2009-02-22,0
2009-03-01,0
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,25
2009-04-05,24
2009-04-12,23
2009-04-19,0
2009-04-26,0
2009-05-03,0
2009-05-10,24
2009-05-17,50
2009-05-24,26
2009-05-31,26
2009-06-07,26
2009-06-14,52
2009-06-21,0
2009-06-28,0
2009-07-05,0
2009-07-12,0
2009-07-19,26
2009-07-26,0
2009-08-02,25
2009-08-09,25
2009-08-16,0
2009-08-23,0
2009-08-30,23
2009-09-06,0
2009-09-13,0
2009-09-20,0
2009-09-27,22
2009-10-04,22
2009-10-11,21
2009-10-18,21
2009-10-25,0
2009-11-01,20
2009-11-08,21
2009-11-15,20
2009-11-22,23
2009-11-29,0
2009-12-06,39
2009-12-13,41
2009-12-20,27
2009-12-27,100
2010-01-03,0
2010-01-10,39
2010-01-17,0
2010-01-24,18
2010-01-31,37
2010-02-07,38
2010-02-14,19
2010-02-21,19
2010-02-28,19
2010-03-07,0
2010-03-14,0
2010-03-21,19
2010-03-28,0
2010-04-04,42
2010-04-11,20
2010-04-18,39
2010-04-25,58
2010-05-02,0
2010-05-09,21
2010-05-16,0
2010-05-23,22
2010-05-30,0
2010-06-06,0
2010-06-13,23
2010-06-20,23
2010-06-27,34
2010-07-04,23
2010-07-11,0
2010-07-18,0
2010-07-25,21
2010-08-01,21
2010-08-08,21
2010-08-15,20
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,18
2010-11-14,17
2010-11-21,20
2010-11-28,34
2010-12-05,17
2010-12-12,18
2010-12-19,22
2010-12-26,0
2011-01-02,18
2011-01-09,0
2011-01-16,11
2011-01-23,22
2011-01-30,16
2011-02-06,11
2011-02-13,22
2011-02-20,33
2011-02-27,11
2011-03-06,11
2011-03-13,12
2011-03-20,11
2011-03-27,11
2011-04-03,36
2011-04-10,17
2011-04-17,0
2011-04-24,0
2011-05-01,0
2011-05-08,12
2011-05-15,23
2011-05-22,12
2011-05-29,13
2011-06-05,12
2011-06-12,12
2011-06-19,24
2011-06-26,25
2011-07-03,13
2011-07-10,18
2011-07-17,12
2011-07-24,0
2011-07-31,12
2011-08-07,17
2011-08-14,11
2011-08-21,16
2011-08-28,0
2011-09-04,0
2011-09-11,21
2011-09-18,10
2011-09-25,10
2011-10-02,21
2011-10-09,10
2011-10-16,20
2011-10-23,0
2011-10-30,9
2011-11-06,25
2011-11-13,8
2011-11-20,29
2011-11-27,7
2011-12-04,17
2011-12-11,35
2011-12-18,14
2011-12-25,21
2012-01-01,10
