Category: Food & Drink

Week,Nestlé: (Ohio)
2009-01-11,53
2009-01-18,87
2009-01-25,42
2009-02-01,73
2009-02-08,63
2009-02-15,52
2009-02-22,30
2009-03-01,60
2009-03-08,30
2009-03-15,20
2009-03-22,21
2009-03-29,40
2009-04-05,21
2009-04-12,21
2009-04-19,61
2009-04-26,41
2009-05-03,21
2009-05-10,82
2009-05-17,32
2009-05-24,68
2009-05-31,65
2009-06-07,90
2009-06-14,56
2009-06-21,34
2009-06-28,35
2009-07-05,55
2009-07-12,87
2009-07-19,44
2009-07-26,23
2009-08-02,23
2009-08-09,46
2009-08-16,57
2009-08-23,45
2009-08-30,77
2009-09-06,23
2009-09-13,53
2009-09-20,83
2009-09-27,52
2009-10-04,40
2009-10-11,81
2009-10-18,30
2009-10-25,60
2009-11-01,69
2009-11-08,39
2009-11-15,77
2009-11-22,57
2009-11-29,37
2009-12-06,63
2009-12-13,94
2009-12-20,99
2009-12-27,35
2010-01-03,46
2010-01-10,53
2010-01-17,18
2010-01-24,17
2010-01-31,85
2010-02-07,52
2010-02-14,35
2010-02-21,25
2010-02-28,68
2010-03-07,52
2010-03-14,27
2010-03-21,53
2010-03-28,56
2010-04-04,74
2010-04-11,35
2010-04-18,35
2010-04-25,69
2010-05-02,55
2010-05-09,28
2010-05-16,64
2010-05-23,30
2010-05-30,21
2010-06-06,0
2010-06-13,21
2010-06-20,31
2010-06-27,20
2010-07-04,41
2010-07-11,58
2010-07-18,57
2010-07-25,38
2010-08-01,48
2010-08-08,38
2010-08-15,38
2010-08-22,28
2010-08-29,18
2010-09-05,38
2010-09-12,18
2010-09-19,53
2010-09-26,52
2010-10-03,52
2010-10-10,18
2010-10-17,34
2010-10-24,33
2010-10-31,49
2010-11-07,42
2010-11-14,33
2010-11-21,38
2010-11-28,48
2010-12-05,32
2010-12-12,91
2010-12-19,100
2010-12-26,19
2011-01-02,21
2011-01-09,63
2011-01-16,32
2011-01-23,31
2011-01-30,34
2011-02-06,45
2011-02-13,41
2011-02-20,35
2011-02-27,30
2011-03-06,35
2011-03-13,32
2011-03-20,37
2011-03-27,21
2011-04-03,40
2011-04-10,51
2011-04-17,41
2011-04-24,50
2011-05-01,40
2011-05-08,21
2011-05-15,26
2011-05-22,31
2011-05-29,73
2011-06-05,27
2011-06-12,29
2011-06-19,55
2011-06-26,33
2011-07-03,16
2011-07-10,27
2011-07-17,50
2011-07-24,39
2011-07-31,38
2011-08-07,31
2011-08-14,35
2011-08-21,50
2011-08-28,19
2011-09-04,24
2011-09-11,33
2011-09-18,19
2011-09-25,23
2011-10-02,38
2011-10-09,27
2011-10-16,73
2011-10-23,32
2011-10-30,27
2011-11-06,31
2011-11-13,83
2011-11-20,47
2011-11-27,39
2011-12-04,47
2011-12-11,47
2011-12-18,98
2011-12-25,37
2012-01-01,47
