Category: Food & Drink

Week,Nestlé: (Texas)
2009-01-11,35
2009-01-18,23
2009-01-25,28
2009-02-01,28
2009-02-08,55
2009-02-15,22
2009-02-22,28
2009-03-01,39
2009-03-08,28
2009-03-15,66
2009-03-22,22
2009-03-29,66
2009-04-05,51
2009-04-12,27
2009-04-19,55
2009-04-26,38
2009-05-03,49
2009-05-10,22
2009-05-17,45
2009-05-24,30
2009-05-31,34
2009-06-07,52
2009-06-14,69
2009-06-21,63
2009-06-28,24
2009-07-05,64
2009-07-12,46
2009-07-19,74
2009-07-26,51
2009-08-02,58
2009-08-09,23
2009-08-16,34
2009-08-23,45
2009-08-30,11
2009-09-06,50
2009-09-13,64
2009-09-20,58
2009-09-27,54
2009-10-04,32
2009-10-11,80
2009-10-18,32
2009-10-25,36
2009-11-01,32
2009-11-08,78
2009-11-15,52
2009-11-22,54
2009-11-29,45
2009-12-06,76
2009-12-13,63
2009-12-20,100
2009-12-27,32
2010-01-03,46
2010-01-10,51
2010-01-17,46
2010-01-24,54
2010-01-31,58
2010-02-07,64
2010-02-14,50
2010-02-21,69
2010-02-28,50
2010-03-07,25
2010-03-14,55
2010-03-21,50
2010-03-28,47
2010-04-04,41
2010-04-11,39
2010-04-18,35
2010-04-25,61
2010-05-02,41
2010-05-09,36
2010-05-16,48
2010-05-23,39
2010-05-30,36
2010-06-06,61
2010-06-13,28
2010-06-20,55
2010-06-27,46
2010-07-04,50
2010-07-11,40
2010-07-18,52
2010-07-25,31
2010-08-01,30
2010-08-08,34
2010-08-15,43
2010-08-22,30
2010-08-29,21
2010-09-05,38
2010-09-12,40
2010-09-19,32
2010-09-26,24
2010-10-03,21
2010-10-10,20
2010-10-17,24
2010-10-24,39
2010-10-31,35
2010-11-07,43
2010-11-14,47
2010-11-21,40
2010-11-28,34
2010-12-05,35
2010-12-12,63
2010-12-19,63
2010-12-26,38
2011-01-02,35
2011-01-09,32
2011-01-16,34
2011-01-23,38
2011-01-30,39
2011-02-06,30
2011-02-13,43
2011-02-20,12
2011-02-27,21
2011-03-06,38
2011-03-13,20
2011-03-20,19
2011-03-27,46
2011-04-03,30
2011-04-10,32
2011-04-17,30
2011-04-24,27
2011-05-01,27
2011-05-08,23
2011-05-15,18
2011-05-22,33
2011-05-29,33
2011-06-05,26
2011-06-12,28
2011-06-19,18
2011-06-26,41
2011-07-03,37
2011-07-10,45
2011-07-17,20
2011-07-24,34
2011-07-31,42
2011-08-07,37
2011-08-14,26
2011-08-21,33
2011-08-28,16
2011-09-04,40
2011-09-11,20
2011-09-18,21
2011-09-25,31
2011-10-02,47
2011-10-09,36
2011-10-16,27
2011-10-23,30
2011-10-30,34
2011-11-06,36
2011-11-13,45
2011-11-20,43
2011-11-27,44
2011-12-04,32
2011-12-11,47
2011-12-18,64
2011-12-25,23
2012-01-01,22
