Category: Food & Drink

Week,Nestlé: (United States)
2009-01-11,38
2009-01-18,43
2009-01-25,47
2009-02-01,40
2009-02-08,60
2009-02-15,43
2009-02-22,46
2009-03-01,43
2009-03-08,44
2009-03-15,45
2009-03-22,37
2009-03-29,42
2009-04-05,45
2009-04-12,43
2009-04-19,43
2009-04-26,39
2009-05-03,44
2009-05-10,37
2009-05-17,42
2009-05-24,42
2009-05-31,45
2009-06-07,39
2009-06-14,76
2009-06-21,67
2009-06-28,37
2009-07-05,43
2009-07-12,39
2009-07-19,49
2009-07-26,42
2009-08-02,46
2009-08-09,44
2009-08-16,52
2009-08-23,39
2009-08-30,45
2009-09-06,40
2009-09-13,46
2009-09-20,54
2009-09-27,53
2009-10-04,45
2009-10-11,65
2009-10-18,60
2009-10-25,55
2009-11-01,54
2009-11-08,58
2009-11-15,61
2009-11-22,63
2009-11-29,57
2009-12-06,72
2009-12-13,90
2009-12-20,100
2009-12-27,48
2010-01-03,54
2010-01-10,44
2010-01-17,42
2010-01-24,49
2010-01-31,46
2010-02-07,59
2010-02-14,51
2010-02-21,51
2010-02-28,50
2010-03-07,47
2010-03-14,45
2010-03-21,49
2010-03-28,50
2010-04-04,40
2010-04-11,46
2010-04-18,43
2010-04-25,47
2010-05-02,46
2010-05-09,42
2010-05-16,41
2010-05-23,35
2010-05-30,41
2010-06-06,43
2010-06-13,37
2010-06-20,36
2010-06-27,39
2010-07-04,36
2010-07-11,34
2010-07-18,44
2010-07-25,29
2010-08-01,45
2010-08-08,39
2010-08-15,39
2010-08-22,33
2010-08-29,32
2010-09-05,43
2010-09-12,35
2010-09-19,42
2010-09-26,41
2010-10-03,42
2010-10-10,40
2010-10-17,51
2010-10-24,48
2010-10-31,45
2010-11-07,42
2010-11-14,49
2010-11-21,45
2010-11-28,52
2010-12-05,49
2010-12-12,64
2010-12-19,80
2010-12-26,36
2011-01-02,43
2011-01-09,40
2011-01-16,34
2011-01-23,42
2011-01-30,41
2011-02-06,42
2011-02-13,37
2011-02-20,34
2011-02-27,35
2011-03-06,31
2011-03-13,34
2011-03-20,35
2011-03-27,39
2011-04-03,36
2011-04-10,38
2011-04-17,38
2011-04-24,35
2011-05-01,39
2011-05-08,37
2011-05-15,40
2011-05-22,37
2011-05-29,34
2011-06-05,34
2011-06-12,38
2011-06-19,39
2011-06-26,34
2011-07-03,30
2011-07-10,36
2011-07-17,37
2011-07-24,36
2011-07-31,43
2011-08-07,35
2011-08-14,37
2011-08-21,37
2011-08-28,34
2011-09-04,33
2011-09-11,31
2011-09-18,40
2011-09-25,33
2011-10-02,32
2011-10-09,38
2011-10-16,41
2011-10-23,41
2011-10-30,44
2011-11-06,42
2011-11-13,42
2011-11-20,48
2011-11-27,42
2011-12-04,52
2011-12-11,56
2011-12-18,79
2011-12-25,41
2012-01-01,34
