Category: Shopping

Week,Nestlé: (United States)
2009-01-11,36
2009-01-18,18
2009-01-25,14
2009-02-01,24
2009-02-08,6
2009-02-15,27
2009-02-22,12
2009-03-01,23
2009-03-08,21
2009-03-15,23
2009-03-22,35
2009-03-29,23
2009-04-05,15
2009-04-12,18
2009-04-19,35
2009-04-26,23
2009-05-03,20
2009-05-10,29
2009-05-17,18
2009-05-24,19
2009-05-31,39
2009-06-07,24
2009-06-14,24
2009-06-21,39
2009-06-28,23
2009-07-05,27
2009-07-12,37
2009-07-19,15
2009-07-26,21
2009-08-02,27
2009-08-09,21
2009-08-16,21
2009-08-23,23
2009-08-30,26
2009-09-06,29
2009-09-13,57
2009-09-20,38
2009-09-27,68
2009-10-04,46
2009-10-11,41
2009-10-18,40
2009-10-25,56
2009-11-01,72
2009-11-08,52
2009-11-15,67
2009-11-22,100
2009-11-29,30
2009-12-06,48
2009-12-13,37
2009-12-20,43
2009-12-27,19
2010-01-03,36
2010-01-10,23
2010-01-17,30
2010-01-24,48
2010-01-31,60
2010-02-07,42
2010-02-14,53
2010-02-21,40
2010-02-28,24
2010-03-07,32
2010-03-14,33
2010-03-21,29
2010-03-28,44
2010-04-04,43
2010-04-11,49
2010-04-18,41
2010-04-25,24
2010-05-02,25
2010-05-09,38
2010-05-16,28
2010-05-23,29
2010-05-30,25
2010-06-06,18
2010-06-13,33
2010-06-20,30
2010-06-27,21
2010-07-04,17
2010-07-11,16
2010-07-18,18
2010-07-25,16
2010-08-01,25
2010-08-08,22
2010-08-15,16
2010-08-22,7
2010-08-29,17
2010-09-05,13
2010-09-12,30
2010-09-19,35
2010-09-26,18
2010-10-03,38
2010-10-10,30
2010-10-17,36
2010-10-24,33
2010-10-31,30
2010-11-07,60
2010-11-14,43
2010-11-21,20
2010-11-28,13
2010-12-05,23
2010-12-12,32
2010-12-19,25
2010-12-26,14
2011-01-02,28
2011-01-09,16
2011-01-16,23
2011-01-23,22
2011-01-30,27
2011-02-06,6
2011-02-13,17
2011-02-20,13
2011-02-27,16
2011-03-06,19
2011-03-13,18
2011-03-20,23
2011-03-27,12
2011-04-03,19
2011-04-10,27
2011-04-17,30
2011-04-24,20
2011-05-01,33
2011-05-08,33
2011-05-15,20
2011-05-22,19
2011-05-29,43
2011-06-05,37
2011-06-12,35
2011-06-19,21
2011-06-26,24
2011-07-03,18
2011-07-10,33
2011-07-17,19
2011-07-24,25
2011-07-31,11
2011-08-07,33
2011-08-14,26
2011-08-21,29
2011-08-28,21
2011-09-04,22
2011-09-11,30
2011-09-18,24
2011-09-25,23
2011-10-02,18
2011-10-09,35
2011-10-16,24
2011-10-23,42
2011-10-30,22
2011-11-06,50
2011-11-13,29
2011-11-20,22
2011-11-27,23
2011-12-04,31
2011-12-11,21
2011-12-18,13
2011-12-25,16
2012-01-01,25
