Category: All categories

Week,PepsiCo: (United States)
2009-01-11,58
2009-01-18,58
2009-01-25,66
2009-02-01,78
2009-02-08,66
2009-02-15,62
2009-02-22,61
2009-03-01,63
2009-03-08,55
2009-03-15,51
2009-03-22,51
2009-03-29,52
2009-04-05,51
2009-04-12,53
2009-04-19,65
2009-04-26,71
2009-05-03,64
2009-05-10,65
2009-05-17,58
2009-05-24,55
2009-05-31,53
2009-06-07,52
2009-06-14,55
2009-06-21,52
2009-06-28,61
2009-07-05,62
2009-07-12,100
2009-07-19,59
2009-07-26,55
2009-08-02,56
2009-08-09,53
2009-08-16,47
2009-08-23,54
2009-08-30,58
2009-09-06,50
2009-09-13,51
2009-09-20,51
2009-09-27,43
2009-10-04,49
2009-10-11,53
2009-10-18,47
2009-10-25,61
2009-11-01,53
2009-11-08,47
2009-11-15,47
2009-11-22,33
2009-11-29,46
2009-12-06,42
2009-12-13,37
2009-12-20,32
2009-12-27,36
2010-01-03,47
2010-01-10,54
2010-01-17,56
2010-01-24,51
2010-01-31,69
2010-02-07,67
2010-02-14,56
2010-02-21,52
2010-02-28,54
2010-03-07,48
2010-03-14,51
2010-03-21,59
2010-03-28,56
2010-04-04,53
2010-04-11,55
2010-04-18,61
2010-04-25,62
2010-05-02,56
2010-05-09,50
2010-05-16,55
2010-05-23,59
2010-05-30,58
2010-06-06,58
2010-06-13,51
2010-06-20,53
2010-06-27,53
2010-07-04,46
2010-07-11,48
2010-07-18,47
2010-07-25,44
2010-08-01,51
2010-08-08,49
2010-08-15,48
2010-08-22,50
2010-08-29,52
2010-09-05,49
2010-09-12,55
2010-09-19,51
2010-09-26,55
2010-10-03,49
2010-10-10,55
2010-10-17,50
2010-10-24,44
2010-10-31,47
2010-11-07,44
2010-11-14,42
2010-11-21,36
2010-11-28,49
2010-12-05,47
2010-12-12,36
2010-12-19,29
2010-12-26,36
2011-01-02,52
2011-01-09,46
2011-01-16,50
2011-01-23,45
2011-01-30,49
2011-02-06,87
2011-02-13,52
2011-02-20,48
2011-02-27,47
2011-03-06,48
2011-03-13,51
2011-03-20,56
2011-03-27,54
2011-04-03,46
2011-04-10,49
2011-04-17,47
2011-04-24,52
2011-05-01,55
2011-05-08,51
2011-05-15,53
2011-05-22,52
2011-05-29,45
2011-06-05,49
2011-06-12,48
2011-06-19,50
2011-06-26,51
2011-07-03,48
2011-07-10,62
2011-07-17,61
2011-07-24,50
2011-07-31,49
2011-08-07,50
2011-08-14,48
2011-08-21,42
2011-08-28,42
2011-09-04,50
2011-09-11,50
2011-09-18,48
2011-09-25,46
2011-10-02,46
2011-10-09,50
2011-10-16,43
2011-10-23,46
2011-10-30,47
2011-11-06,48
2011-11-13,51
2011-11-20,37
2011-11-27,49
2011-12-04,44
2011-12-11,44
2011-12-18,57
2011-12-25,38
2012-01-01,44
