Category: Food & Drink

Week,PepsiCo: (Kentucky)
2009-01-11,32
2009-01-18,31
2009-01-25,35
2009-02-01,32
2009-02-08,31
2009-02-15,30
2009-02-22,30
2009-03-01,0
2009-03-08,61
2009-03-15,32
2009-03-22,0
2009-03-29,32
2009-04-05,62
2009-04-12,30
2009-04-19,60
2009-04-26,90
2009-05-03,45
2009-05-10,63
2009-05-17,32
2009-05-24,34
2009-05-31,99
2009-06-07,50
2009-06-14,33
2009-06-21,0
2009-06-28,36
2009-07-05,0
2009-07-12,100
2009-07-19,33
2009-07-26,32
2009-08-02,32
2009-08-09,0
2009-08-16,0
2009-08-23,0
2009-08-30,88
2009-09-06,29
2009-09-13,27
2009-09-20,54
2009-09-27,28
2009-10-04,0
2009-10-11,27
2009-10-18,27
2009-10-25,52
2009-11-01,0
2009-11-08,26
2009-11-15,38
2009-11-22,45
2009-11-29,25
2009-12-06,0
2009-12-13,39
2009-12-20,0
2009-12-27,32
2010-01-03,26
2010-01-10,51
2010-01-17,25
2010-01-24,47
2010-01-31,35
2010-02-07,96
2010-02-14,25
2010-02-21,48
2010-02-28,72
2010-03-07,0
2010-03-14,0
2010-03-21,37
2010-03-28,26
2010-04-04,41
2010-04-11,51
2010-04-18,50
2010-04-25,25
2010-05-02,26
2010-05-09,0
2010-05-16,53
2010-05-23,28
2010-05-30,0
2010-06-06,29
2010-06-13,30
2010-06-20,59
2010-06-27,0
2010-07-04,29
2010-07-11,54
2010-07-18,53
2010-07-25,27
2010-08-01,27
2010-08-08,53
2010-08-15,0
2010-08-22,76
2010-08-29,25
2010-09-05,26
2010-09-12,24
2010-09-19,36
2010-09-26,24
2010-10-03,100
2010-10-10,50
2010-10-17,48
2010-10-24,23
2010-10-31,34
2010-11-07,23
2010-11-14,33
2010-11-21,25
2010-11-28,54
2010-12-05,22
2010-12-12,23
2010-12-19,28
2010-12-26,0
2011-01-02,30
2011-01-09,14
2011-01-16,21
2011-01-23,21
2011-01-30,27
2011-02-06,35
2011-02-13,29
2011-02-20,21
2011-02-27,21
2011-03-06,21
2011-03-13,23
2011-03-20,35
2011-03-27,28
2011-04-03,15
2011-04-10,14
2011-04-17,14
2011-04-24,14
2011-05-01,57
2011-05-08,60
2011-05-15,0
2011-05-22,52
2011-05-29,16
2011-06-05,31
2011-06-12,23
2011-06-19,31
2011-06-26,16
2011-07-03,40
2011-07-10,30
2011-07-17,15
2011-07-24,44
2011-07-31,29
2011-08-07,22
2011-08-14,14
2011-08-21,20
2011-08-28,28
2011-09-04,27
2011-09-11,27
2011-09-18,26
2011-09-25,27
2011-10-02,14
2011-10-09,13
2011-10-16,19
2011-10-23,0
2011-10-30,11
2011-11-06,22
2011-11-13,21
2011-11-20,16
2011-11-27,18
2011-12-04,9
2011-12-11,40
2011-12-18,23
2011-12-25,23
2012-01-01,43
