Category: Food & Drink

Week,PepsiCo: (Ohio)
2009-01-11,50
2009-01-18,58
2009-01-25,35
2009-02-01,28
2009-02-08,35
2009-02-15,35
2009-02-22,27
2009-03-01,33
2009-03-08,54
2009-03-15,54
2009-03-22,28
2009-03-29,27
2009-04-05,69
2009-04-12,50
2009-04-19,34
2009-04-26,95
2009-05-03,62
2009-05-10,62
2009-05-17,50
2009-05-24,83
2009-05-31,15
2009-06-07,52
2009-06-14,15
2009-06-21,68
2009-06-28,39
2009-07-05,37
2009-07-12,43
2009-07-19,36
2009-07-26,39
2009-08-02,70
2009-08-09,38
2009-08-16,53
2009-08-23,60
2009-08-30,37
2009-09-06,45
2009-09-13,43
2009-09-20,55
2009-09-27,27
2009-10-04,27
2009-10-11,54
2009-10-18,27
2009-10-25,47
2009-11-01,20
2009-11-08,53
2009-11-15,32
2009-11-22,15
2009-11-29,37
2009-12-06,30
2009-12-13,31
2009-12-20,25
2009-12-27,23
2010-01-03,43
2010-01-10,89
2010-01-17,36
2010-01-24,40
2010-01-31,57
2010-02-07,52
2010-02-14,46
2010-02-21,39
2010-02-28,40
2010-03-07,64
2010-03-14,41
2010-03-21,65
2010-03-28,44
2010-04-04,43
2010-04-11,58
2010-04-18,52
2010-04-25,52
2010-05-02,12
2010-05-09,43
2010-05-16,25
2010-05-23,65
2010-05-30,28
2010-06-06,100
2010-06-13,28
2010-06-20,42
2010-06-27,48
2010-07-04,62
2010-07-11,63
2010-07-18,50
2010-07-25,32
2010-08-01,83
2010-08-08,44
2010-08-15,50
2010-08-22,56
2010-08-29,80
2010-09-05,77
2010-09-12,42
2010-09-19,47
2010-09-26,40
2010-10-03,41
2010-10-10,36
2010-10-17,29
2010-10-24,45
2010-10-31,49
2010-11-07,62
2010-11-14,76
2010-11-21,32
2010-11-28,37
2010-12-05,64
2010-12-12,17
2010-12-19,47
2010-12-26,69
2011-01-02,43
2011-01-09,28
2011-01-16,35
2011-01-23,45
2011-01-30,49
2011-02-06,43
2011-02-13,28
2011-02-20,57
2011-02-27,30
2011-03-06,10
2011-03-13,32
2011-03-20,45
2011-03-27,45
2011-04-03,30
2011-04-10,50
2011-04-17,24
2011-04-24,41
2011-05-01,36
2011-05-08,25
2011-05-15,41
2011-05-22,21
2011-05-29,26
2011-06-05,44
2011-06-12,23
2011-06-19,29
2011-06-26,26
2011-07-03,37
2011-07-10,29
2011-07-17,70
2011-07-24,51
2011-07-31,29
2011-08-07,42
2011-08-14,30
2011-08-21,46
2011-08-28,29
2011-09-04,48
2011-09-11,32
2011-09-18,22
2011-09-25,24
2011-10-02,13
2011-10-09,39
2011-10-16,33
2011-10-23,39
2011-10-30,30
2011-11-06,29
2011-11-13,35
2011-11-20,22
2011-11-27,34
2011-12-04,26
2011-12-11,40
2011-12-18,39
2011-12-25,28
2012-01-01,26
