Category: Food & Drink

Week,PepsiCo: (Texas)
2009-01-11,43
2009-01-18,61
2009-01-25,100
2009-02-01,90
2009-02-08,89
2009-02-15,54
2009-02-22,89
2009-03-01,71
2009-03-08,89
2009-03-15,77
2009-03-22,70
2009-03-29,47
2009-04-05,92
2009-04-12,59
2009-04-19,59
2009-04-26,93
2009-05-03,94
2009-05-10,77
2009-05-17,30
2009-05-24,90
2009-05-31,43
2009-06-07,68
2009-06-14,80
2009-06-21,68
2009-06-28,83
2009-07-05,63
2009-07-12,56
2009-07-19,80
2009-07-26,55
2009-08-02,61
2009-08-09,67
2009-08-16,66
2009-08-23,60
2009-08-30,82
2009-09-06,78
2009-09-13,46
2009-09-20,51
2009-09-27,75
2009-10-04,34
2009-10-11,74
2009-10-18,63
2009-10-25,72
2009-11-01,34
2009-11-08,73
2009-11-15,39
2009-11-22,46
2009-11-29,86
2009-12-06,54
2009-12-13,45
2009-12-20,35
2009-12-27,54
2010-01-03,44
2010-01-10,99
2010-01-17,77
2010-01-24,47
2010-01-31,77
2010-02-07,85
2010-02-14,64
2010-02-21,69
2010-02-28,96
2010-03-07,75
2010-03-14,83
2010-03-21,54
2010-03-28,83
2010-04-04,70
2010-04-11,53
2010-04-18,68
2010-04-25,33
2010-05-02,72
2010-05-09,83
2010-05-16,56
2010-05-23,35
2010-05-30,95
2010-06-06,65
2010-06-13,67
2010-06-20,88
2010-06-27,56
2010-07-04,59
2010-07-11,84
2010-07-18,74
2010-07-25,42
2010-08-01,51
2010-08-08,42
2010-08-15,64
2010-08-22,55
2010-08-29,53
2010-09-05,27
2010-09-12,47
2010-09-19,60
2010-09-26,64
2010-10-03,18
2010-10-10,67
2010-10-17,64
2010-10-24,55
2010-10-31,50
2010-11-07,76
2010-11-14,38
2010-11-21,61
2010-11-28,96
2010-12-05,53
2010-12-12,34
2010-12-19,39
2010-12-26,41
2011-01-02,43
2011-01-09,34
2011-01-16,31
2011-01-23,54
2011-01-30,51
2011-02-06,68
2011-02-13,69
2011-02-20,43
2011-02-27,50
2011-03-06,65
2011-03-13,62
2011-03-20,93
2011-03-27,55
2011-04-03,59
2011-04-10,74
2011-04-17,65
2011-04-24,66
2011-05-01,75
2011-05-08,49
2011-05-15,56
2011-05-22,39
2011-05-29,49
2011-06-05,51
2011-06-12,39
2011-06-19,54
2011-06-26,67
2011-07-03,52
2011-07-10,75
2011-07-17,87
2011-07-24,65
2011-07-31,48
2011-08-07,62
2011-08-14,43
2011-08-21,38
2011-08-28,42
2011-09-04,57
2011-09-11,44
2011-09-18,35
2011-09-25,51
2011-10-02,67
2011-10-09,58
2011-10-16,69
2011-10-23,53
2011-10-30,43
2011-11-06,57
2011-11-13,77
2011-11-20,38
2011-11-27,59
2011-12-04,53
2011-12-11,41
2011-12-18,76
2011-12-25,41
2012-01-01,65
