Category: Food & Drink

Week,PepsiCo: (United States)
2009-01-11,61
2009-01-18,75
2009-01-25,75
2009-02-01,74
2009-02-08,70
2009-02-15,72
2009-02-22,73
2009-03-01,68
2009-03-08,71
2009-03-15,63
2009-03-22,60
2009-03-29,64
2009-04-05,58
2009-04-12,69
2009-04-19,82
2009-04-26,100
2009-05-03,96
2009-05-10,82
2009-05-17,83
2009-05-24,70
2009-05-31,68
2009-06-07,68
2009-06-14,59
2009-06-21,54
2009-06-28,65
2009-07-05,60
2009-07-12,64
2009-07-19,59
2009-07-26,63
2009-08-02,59
2009-08-09,54
2009-08-16,49
2009-08-23,58
2009-08-30,53
2009-09-06,41
2009-09-13,46
2009-09-20,46
2009-09-27,46
2009-10-04,51
2009-10-11,57
2009-10-18,59
2009-10-25,62
2009-11-01,45
2009-11-08,49
2009-11-15,56
2009-11-22,40
2009-11-29,57
2009-12-06,47
2009-12-13,47
2009-12-20,29
2009-12-27,40
2010-01-03,62
2010-01-10,73
2010-01-17,64
2010-01-24,60
2010-01-31,67
2010-02-07,73
2010-02-14,60
2010-02-21,71
2010-02-28,72
2010-03-07,57
2010-03-14,61
2010-03-21,77
2010-03-28,62
2010-04-04,58
2010-04-11,68
2010-04-18,72
2010-04-25,82
2010-05-02,69
2010-05-09,67
2010-05-16,76
2010-05-23,69
2010-05-30,58
2010-06-06,64
2010-06-13,56
2010-06-20,63
2010-06-27,59
2010-07-04,54
2010-07-11,61
2010-07-18,60
2010-07-25,61
2010-08-01,67
2010-08-08,65
2010-08-15,56
2010-08-22,59
2010-08-29,72
2010-09-05,59
2010-09-12,57
2010-09-19,62
2010-09-26,60
2010-10-03,61
2010-10-10,61
2010-10-17,54
2010-10-24,57
2010-10-31,59
2010-11-07,60
2010-11-14,53
2010-11-21,49
2010-11-28,61
2010-12-05,58
2010-12-12,50
2010-12-19,38
2010-12-26,41
2011-01-02,56
2011-01-09,58
2011-01-16,51
2011-01-23,53
2011-01-30,58
2011-02-06,63
2011-02-13,58
2011-02-20,55
2011-02-27,56
2011-03-06,54
2011-03-13,68
2011-03-20,66
2011-03-27,56
2011-04-03,54
2011-04-10,52
2011-04-17,54
2011-04-24,53
2011-05-01,68
2011-05-08,60
2011-05-15,56
2011-05-22,55
2011-05-29,52
2011-06-05,54
2011-06-12,52
2011-06-19,51
2011-06-26,56
2011-07-03,51
2011-07-10,75
2011-07-17,67
2011-07-24,53
2011-07-31,51
2011-08-07,54
2011-08-14,44
2011-08-21,47
2011-08-28,48
2011-09-04,56
2011-09-11,54
2011-09-18,53
2011-09-25,53
2011-10-02,48
2011-10-09,60
2011-10-16,46
2011-10-23,51
2011-10-30,52
2011-11-06,52
2011-11-13,60
2011-11-20,41
2011-11-27,53
2011-12-04,49
2011-12-11,49
2011-12-18,53
2011-12-25,35
2012-01-01,49
