Category: Shopping

Week,PepsiCo: (United States)
2009-01-11,43
2009-01-18,52
2009-01-25,77
2009-02-01,40
2009-02-08,40
2009-02-15,40
2009-02-22,43
2009-03-01,37
2009-03-08,43
2009-03-15,44
2009-03-22,69
2009-03-29,52
2009-04-05,27
2009-04-12,25
2009-04-19,33
2009-04-26,31
2009-05-03,26
2009-05-10,43
2009-05-17,42
2009-05-24,24
2009-05-31,28
2009-06-07,52
2009-06-14,46
2009-06-21,48
2009-06-28,37
2009-07-05,47
2009-07-12,37
2009-07-19,40
2009-07-26,44
2009-08-02,48
2009-08-09,27
2009-08-16,36
2009-08-23,53
2009-08-30,70
2009-09-06,69
2009-09-13,44
2009-09-20,32
2009-09-27,33
2009-10-04,45
2009-10-11,26
2009-10-18,45
2009-10-25,80
2009-11-01,82
2009-11-08,45
2009-11-15,43
2009-11-22,24
2009-11-29,29
2009-12-06,24
2009-12-13,24
2009-12-20,25
2009-12-27,41
2010-01-03,31
2010-01-10,31
2010-01-17,45
2010-01-24,42
2010-01-31,46
2010-02-07,28
2010-02-14,35
2010-02-21,29
2010-02-28,22
2010-03-07,20
2010-03-14,41
2010-03-21,33
2010-03-28,31
2010-04-04,42
2010-04-11,23
2010-04-18,22
2010-04-25,36
2010-05-02,31
2010-05-09,31
2010-05-16,26
2010-05-23,47
2010-05-30,41
2010-06-06,37
2010-06-13,42
2010-06-20,41
2010-06-27,50
2010-07-04,35
2010-07-11,27
2010-07-18,56
2010-07-25,55
2010-08-01,45
2010-08-08,46
2010-08-15,53
2010-08-22,56
2010-08-29,59
2010-09-05,56
2010-09-12,57
2010-09-19,51
2010-09-26,51
2010-10-03,54
2010-10-10,95
2010-10-17,100
2010-10-24,43
2010-10-31,34
2010-11-07,22
2010-11-14,23
2010-11-21,25
2010-11-28,31
2010-12-05,24
2010-12-12,30
2010-12-19,22
2010-12-26,37
2011-01-02,34
2011-01-09,31
2011-01-16,41
2011-01-23,24
2011-01-30,33
2011-02-06,24
2011-02-13,28
2011-02-20,24
2011-02-27,33
2011-03-06,26
2011-03-13,31
2011-03-20,23
2011-03-27,33
2011-04-03,54
2011-04-10,40
2011-04-17,49
2011-04-24,60
2011-05-01,72
2011-05-08,48
2011-05-15,69
2011-05-22,92
2011-05-29,54
2011-06-05,49
2011-06-12,43
2011-06-19,47
2011-06-26,30
2011-07-03,33
2011-07-10,37
2011-07-17,35
2011-07-24,39
2011-07-31,44
2011-08-07,30
2011-08-14,39
2011-08-21,30
2011-08-28,29
2011-09-04,40
2011-09-11,29
2011-09-18,30
2011-09-25,37
2011-10-02,43
2011-10-09,50
2011-10-16,38
2011-10-23,47
2011-10-30,38
2011-11-06,32
2011-11-13,44
2011-11-20,41
2011-11-27,42
2011-12-04,41
2011-12-11,25
2011-12-18,37
2011-12-25,33
2012-01-01,30
