Category: All categories

Week,Philly Pretzel Factory: (United States)
2009-01-11,43
2009-01-18,61
2009-01-25,69
2009-02-01,73
2009-02-08,35
2009-02-15,49
2009-02-22,62
2009-03-01,65
2009-03-08,55
2009-03-15,38
2009-03-22,89
2009-03-29,41
2009-04-05,46
2009-04-12,25
2009-04-19,58
2009-04-26,31
2009-05-03,81
2009-05-10,69
2009-05-17,63
2009-05-24,66
2009-05-31,56
2009-06-07,63
2009-06-14,60
2009-06-21,64
2009-06-28,57
2009-07-05,69
2009-07-12,65
2009-07-19,60
2009-07-26,49
2009-08-02,49
2009-08-09,46
2009-08-16,56
2009-08-23,47
2009-08-30,68
2009-09-06,55
2009-09-13,61
2009-09-20,71
2009-09-27,100
2009-10-04,61
2009-10-11,64
2009-10-18,53
2009-10-25,81
2009-11-01,70
2009-11-08,46
2009-11-15,43
2009-11-22,52
2009-11-29,60
2009-12-06,71
2009-12-13,62
2009-12-20,93
2009-12-27,49
2010-01-03,61
2010-01-10,33
2010-01-17,33
2010-01-24,34
2010-01-31,51
2010-02-07,38
2010-02-14,41
2010-02-21,39
2010-02-28,34
2010-03-07,49
2010-03-14,48
2010-03-21,29
2010-03-28,30
2010-04-04,51
2010-04-11,69
2010-04-18,60
2010-04-25,66
2010-05-02,41
2010-05-09,62
2010-05-16,73
2010-05-23,75
2010-05-30,75
2010-06-06,56
2010-06-13,70
2010-06-20,64
2010-06-27,67
2010-07-04,53
2010-07-11,66
2010-07-18,51
2010-07-25,37
2010-08-01,53
2010-08-08,45
2010-08-15,39
2010-08-22,46
2010-08-29,58
2010-09-05,64
2010-09-12,62
2010-09-19,76
2010-09-26,43
2010-10-03,64
2010-10-10,57
2010-10-17,57
2010-10-24,99
2010-10-31,52
2010-11-07,35
2010-11-14,53
2010-11-21,49
2010-11-28,43
2010-12-05,86
2010-12-12,68
2010-12-19,62
2010-12-26,89
2011-01-02,59
2011-01-09,52
2011-01-16,54
2011-01-23,72
2011-01-30,89
2011-02-06,78
2011-02-13,52
2011-02-20,67
2011-02-27,48
2011-03-06,69
2011-03-13,64
2011-03-20,52
2011-03-27,66
2011-04-03,72
2011-04-10,72
2011-04-17,67
2011-04-24,95
2011-05-01,74
2011-05-08,79
2011-05-15,65
2011-05-22,69
2011-05-29,71
2011-06-05,60
2011-06-12,91
2011-06-19,89
2011-06-26,69
2011-07-03,71
2011-07-10,48
2011-07-17,77
2011-07-24,76
2011-07-31,52
2011-08-07,54
2011-08-14,88
2011-08-21,63
2011-08-28,52
2011-09-04,49
2011-09-11,83
2011-09-18,63
2011-09-25,52
2011-10-02,74
2011-10-09,46
2011-10-16,59
2011-10-23,76
2011-10-30,78
2011-11-06,59
2011-11-13,56
2011-11-20,41
2011-11-27,71
2011-12-04,82
2011-12-11,86
2011-12-18,87
2011-12-25,78
2012-01-01,57
