Category: All categories

Week,Pretzel nutrition: (United States)
2009-01-11,0
2009-01-18,50
2009-01-25,24
2009-02-01,48
2009-02-08,24
2009-02-15,36
2009-02-22,47
2009-03-01,47
2009-03-08,24
2009-03-15,48
2009-03-22,0
2009-03-29,24
2009-04-05,0
2009-04-12,24
2009-04-19,35
2009-04-26,47
2009-05-03,23
2009-05-10,24
2009-05-17,72
2009-05-24,25
2009-05-31,73
2009-06-07,24
2009-06-14,24
2009-06-21,25
2009-06-28,0
2009-07-05,100
2009-07-12,0
2009-07-19,0
2009-07-26,48
2009-08-02,24
2009-08-09,73
2009-08-16,24
2009-08-23,59
2009-08-30,23
2009-09-06,0
2009-09-13,22
2009-09-20,78
2009-09-27,0
2009-10-04,33
2009-10-11,33
2009-10-18,43
2009-10-25,43
2009-11-01,33
2009-11-08,0
2009-11-15,53
2009-11-22,0
2009-11-29,51
2009-12-06,31
2009-12-13,22
2009-12-20,27
2009-12-27,39
2010-01-03,84
2010-01-10,21
2010-01-17,41
2010-01-24,60
2010-01-31,59
2010-02-07,20
2010-02-14,20
2010-02-21,58
2010-02-28,40
2010-03-07,40
2010-03-14,52
2010-03-21,60
2010-03-28,21
2010-04-04,20
2010-04-11,79
2010-04-18,89
2010-04-25,40
2010-05-02,31
2010-05-09,41
2010-05-16,84
2010-05-23,43
2010-05-30,0
2010-06-06,43
2010-06-13,33
2010-06-20,33
2010-06-27,21
2010-07-04,39
2010-07-11,37
2010-07-18,46
2010-07-25,36
2010-08-01,46
2010-08-08,55
2010-08-15,63
2010-08-22,27
2010-08-29,18
2010-09-05,27
2010-09-12,35
2010-09-19,26
2010-09-26,83
2010-10-03,51
2010-10-10,60
2010-10-17,25
2010-10-24,50
2010-10-31,32
2010-11-07,16
2010-11-14,32
2010-11-21,0
2010-11-28,31
2010-12-05,39
2010-12-12,48
2010-12-19,47
2010-12-26,19
2011-01-02,34
2011-01-09,60
2011-01-16,13
2011-01-23,85
2011-01-30,43
2011-02-06,38
2011-02-13,39
2011-02-20,52
2011-02-27,70
2011-03-06,77
2011-03-13,47
2011-03-20,64
2011-03-27,89
2011-04-03,58
2011-04-10,32
2011-04-17,58
2011-04-24,70
2011-05-01,44
2011-05-08,84
2011-05-15,38
2011-05-22,77
2011-05-29,34
2011-06-05,46
2011-06-12,65
2011-06-19,65
2011-06-26,13
2011-07-03,27
2011-07-10,51
2011-07-17,32
2011-07-24,44
2011-07-31,31
2011-08-07,43
2011-08-14,50
2011-08-21,48
2011-08-28,36
2011-09-04,24
2011-09-11,35
2011-09-18,35
2011-09-25,29
2011-10-02,29
2011-10-09,28
2011-10-16,40
2011-10-23,51
2011-10-30,17
2011-11-06,17
2011-11-13,39
2011-11-20,59
2011-11-27,16
2011-12-04,27
2011-12-11,32
2011-12-18,23
2011-12-25,48
2012-01-01,44
