Category: Food & Drink

Week,Pretzel: (United States)
2009-01-11,15
2009-01-18,15
2009-01-25,16
2009-02-01,16
2009-02-08,15
2009-02-15,15
2009-02-22,11
2009-03-01,15
2009-03-08,14
2009-03-15,13
2009-03-22,13
2009-03-29,13
2009-04-05,16
2009-04-12,14
2009-04-19,14
2009-04-26,13
2009-05-03,16
2009-05-10,12
2009-05-17,16
2009-05-24,15
2009-05-31,13
2009-06-07,15
2009-06-14,14
2009-06-21,15
2009-06-28,23
2009-07-05,16
2009-07-12,14
2009-07-19,12
2009-07-26,9
2009-08-02,15
2009-08-09,11
2009-08-16,12
2009-08-23,11
2009-08-30,13
2009-09-06,13
2009-09-13,11
2009-09-20,14
2009-09-27,16
2009-10-04,14
2009-10-11,16
2009-10-18,15
2009-10-25,17
2009-11-01,14
2009-11-08,17
2009-11-15,19
2009-11-22,30
2009-11-29,32
2009-12-06,42
2009-12-13,54
2009-12-20,66
2009-12-27,21
2010-01-03,18
2010-01-10,17
2010-01-17,15
2010-01-24,17
2010-01-31,17
2010-02-07,20
2010-02-14,15
2010-02-21,12
2010-02-28,14
2010-03-07,15
2010-03-14,15
2010-03-21,16
2010-03-28,17
2010-04-04,15
2010-04-11,14
2010-04-18,15
2010-04-25,18
2010-05-02,16
2010-05-09,19
2010-05-16,20
2010-05-23,15
2010-05-30,20
2010-06-06,17
2010-06-13,20
2010-06-20,18
2010-06-27,25
2010-07-04,19
2010-07-11,16
2010-07-18,17
2010-07-25,17
2010-08-01,17
2010-08-08,16
2010-08-15,12
2010-08-22,17
2010-08-29,16
2010-09-05,17
2010-09-12,16
2010-09-19,16
2010-09-26,14
2010-10-03,18
2010-10-10,14
2010-10-17,17
2010-10-24,15
2010-10-31,16
2010-11-07,18
2010-11-14,20
2010-11-21,34
2010-11-28,26
2010-12-05,34
2010-12-12,55
2010-12-19,66
2010-12-26,22
2011-01-02,19
2011-01-09,21
2011-01-16,17
2011-01-23,22
2011-01-30,23
2011-02-06,24
2011-02-13,18
2011-02-20,20
2011-02-27,20
2011-03-06,19
2011-03-13,19
2011-03-20,17
2011-03-27,18
2011-04-03,17
2011-04-10,20
2011-04-17,25
2011-04-24,19
2011-05-01,20
2011-05-08,19
2011-05-15,18
2011-05-22,19
2011-05-29,23
2011-06-05,18
2011-06-12,18
2011-06-19,21
2011-06-26,22
2011-07-03,27
2011-07-10,19
2011-07-17,17
2011-07-24,17
2011-07-31,17
2011-08-07,18
2011-08-14,17
2011-08-21,19
2011-08-28,19
2011-09-04,20
2011-09-11,16
2011-09-18,18
2011-09-25,21
2011-10-02,21
2011-10-09,22
2011-10-16,22
2011-10-23,29
2011-10-30,21
2011-11-06,23
2011-11-13,27
2011-11-20,44
2011-11-27,31
2011-12-04,48
2011-12-11,65
2011-12-18,100
2011-12-25,32
2012-01-01,28
