Category: All categories

Week,Pretzels: (Kentucky)
2009-01-11,46
2009-01-18,46
2009-01-25,0
2009-02-01,0
2009-02-08,0
2009-02-15,44
2009-02-22,0
2009-03-01,0
2009-03-08,45
2009-03-15,0
2009-03-22,0
2009-03-29,0
2009-04-05,45
2009-04-12,0
2009-04-19,0
2009-04-26,0
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,0
2009-05-31,0
2009-06-07,0
2009-06-14,0
2009-06-21,0
2009-06-28,0
2009-07-05,48
2009-07-12,0
2009-07-19,48
2009-07-26,0
2009-08-02,47
2009-08-09,0
2009-08-16,44
2009-08-23,0
2009-08-30,43
2009-09-06,43
2009-09-13,0
2009-09-20,0
2009-09-27,0
2009-10-04,0
2009-10-11,0
2009-10-18,0
2009-10-25,38
2009-11-01,38
2009-11-08,39
2009-11-15,37
2009-11-22,44
2009-11-29,0
2009-12-06,36
2009-12-13,76
2009-12-20,100
2009-12-27,0
2010-01-03,38
2010-01-10,0
2010-01-17,37
2010-01-24,34
2010-01-31,34
2010-02-07,35
2010-02-14,0
2010-02-21,52
2010-02-28,0
2010-03-07,36
2010-03-14,37
2010-03-21,0
2010-03-28,0
2010-04-04,40
2010-04-11,37
2010-04-18,0
2010-04-25,0
2010-05-02,0
2010-05-09,0
2010-05-16,39
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,43
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,39
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,37
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,35
2010-09-26,35
2010-10-03,0
2010-10-10,0
2010-10-17,70
2010-10-24,34
2010-10-31,0
2010-11-07,68
2010-11-14,0
2010-11-21,0
2010-11-28,32
2010-12-05,64
2010-12-12,83
2010-12-19,42
2010-12-26,0
2011-01-02,0
2011-01-09,0
2011-01-16,21
2011-01-23,21
2011-01-30,40
2011-02-06,20
2011-02-13,63
2011-02-20,20
2011-02-27,20
2011-03-06,21
2011-03-13,22
2011-03-20,21
2011-03-27,20
2011-04-03,22
2011-04-10,43
2011-04-17,21
2011-04-24,0
2011-05-01,0
2011-05-08,0
2011-05-15,44
2011-05-22,33
2011-05-29,0
2011-06-05,23
2011-06-12,23
2011-06-19,0
2011-06-26,0
2011-07-03,24
2011-07-10,0
2011-07-17,0
2011-07-24,0
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,0
2011-08-28,0
2011-09-04,20
2011-09-11,20
2011-09-18,19
2011-09-25,19
2011-10-02,30
2011-10-09,19
2011-10-16,0
2011-10-23,0
2011-10-30,17
2011-11-06,24
2011-11-13,23
2011-11-20,46
2011-11-27,19
2011-12-04,32
2011-12-11,52
2011-12-18,67
2011-12-25,26
2012-01-01,13
