Category: All categories

Week,Pretzels: (Ohio)
2009-01-11,36
2009-01-18,15
2009-01-25,28
2009-02-01,21
2009-02-08,0
2009-02-15,0
2009-02-22,13
2009-03-01,20
2009-03-08,14
2009-03-15,14
2009-03-22,14
2009-03-29,14
2009-04-05,14
2009-04-12,21
2009-04-19,27
2009-04-26,20
2009-05-03,28
2009-05-10,28
2009-05-17,15
2009-05-24,15
2009-05-31,44
2009-06-07,15
2009-06-14,30
2009-06-21,30
2009-06-28,24
2009-07-05,15
2009-07-12,44
2009-07-19,15
2009-07-26,16
2009-08-02,16
2009-08-09,15
2009-08-16,31
2009-08-23,15
2009-08-30,15
2009-09-06,0
2009-09-13,14
2009-09-20,28
2009-09-27,14
2009-10-04,27
2009-10-11,14
2009-10-18,27
2009-10-25,13
2009-11-01,40
2009-11-08,13
2009-11-15,26
2009-11-22,23
2009-11-29,31
2009-12-06,36
2009-12-13,51
2009-12-20,100
2009-12-27,16
2010-01-03,31
2010-01-10,0
2010-01-17,0
2010-01-24,17
2010-01-31,23
2010-02-07,23
2010-02-14,29
2010-02-21,28
2010-02-28,11
2010-03-07,35
2010-03-14,36
2010-03-21,18
2010-03-28,31
2010-04-04,25
2010-04-11,18
2010-04-18,24
2010-04-25,12
2010-05-02,18
2010-05-09,37
2010-05-16,19
2010-05-23,39
2010-05-30,21
2010-06-06,13
2010-06-13,28
2010-06-20,28
2010-06-27,21
2010-07-04,14
2010-07-11,26
2010-07-18,13
2010-07-25,19
2010-08-01,13
2010-08-08,13
2010-08-15,0
2010-08-22,19
2010-08-29,0
2010-09-05,13
2010-09-12,36
2010-09-19,30
2010-09-26,0
2010-10-03,18
2010-10-10,12
2010-10-17,23
2010-10-24,57
2010-10-31,11
2010-11-07,11
2010-11-14,44
2010-11-21,19
2010-11-28,32
2010-12-05,22
2010-12-12,84
2010-12-19,67
2010-12-26,38
2011-01-02,43
2011-01-09,18
2011-01-16,14
2011-01-23,24
2011-01-30,26
2011-02-06,27
2011-02-13,25
2011-02-20,14
2011-02-27,10
2011-03-06,17
2011-03-13,25
2011-03-20,21
2011-03-27,11
2011-04-03,30
2011-04-10,31
2011-04-17,17
2011-04-24,14
2011-05-01,27
2011-05-08,14
2011-05-15,10
2011-05-22,21
2011-05-29,15
2011-06-05,11
2011-06-12,31
2011-06-19,7
2011-06-26,22
2011-07-03,7
2011-07-10,22
2011-07-17,15
2011-07-24,15
2011-07-31,11
2011-08-07,14
2011-08-14,21
2011-08-21,13
2011-08-28,23
2011-09-04,16
2011-09-11,6
2011-09-18,29
2011-09-25,19
2011-10-02,22
2011-10-09,15
2011-10-16,9
2011-10-23,30
2011-10-30,27
2011-11-06,21
2011-11-13,24
2011-11-20,19
2011-11-27,26
2011-12-04,49
2011-12-11,72
2011-12-18,87
2011-12-25,34
2012-01-01,32
