Category: All categories

Week,Pretzels: (Texas)
2009-01-11,15
2009-01-18,76
2009-01-25,29
2009-02-01,30
2009-02-08,44
2009-02-15,15
2009-02-22,44
2009-03-01,30
2009-03-08,29
2009-03-15,32
2009-03-22,29
2009-03-29,29
2009-04-05,45
2009-04-12,44
2009-04-19,44
2009-04-26,43
2009-05-03,22
2009-05-10,15
2009-05-17,38
2009-05-24,40
2009-05-31,30
2009-06-07,62
2009-06-14,15
2009-06-21,23
2009-06-28,24
2009-07-05,0
2009-07-12,31
2009-07-19,15
2009-07-26,46
2009-08-02,15
2009-08-09,23
2009-08-16,15
2009-08-23,22
2009-08-30,44
2009-09-06,37
2009-09-13,28
2009-09-20,28
2009-09-27,14
2009-10-04,0
2009-10-11,21
2009-10-18,28
2009-10-25,35
2009-11-01,42
2009-11-08,35
2009-11-15,27
2009-11-22,48
2009-11-29,27
2009-12-06,67
2009-12-13,77
2009-12-20,98
2009-12-27,34
2010-01-03,41
2010-01-10,34
2010-01-17,82
2010-01-24,39
2010-01-31,32
2010-02-07,52
2010-02-14,53
2010-02-21,39
2010-02-28,67
2010-03-07,27
2010-03-14,22
2010-03-21,40
2010-03-28,14
2010-04-04,27
2010-04-11,26
2010-04-18,0
2010-04-25,27
2010-05-02,34
2010-05-09,42
2010-05-16,35
2010-05-23,37
2010-05-30,47
2010-06-06,15
2010-06-13,0
2010-06-20,22
2010-06-27,14
2010-07-04,0
2010-07-11,12
2010-07-18,11
2010-07-25,12
2010-08-01,17
2010-08-08,23
2010-08-15,46
2010-08-22,23
2010-08-29,28
2010-09-05,11
2010-09-12,11
2010-09-19,16
2010-09-26,27
2010-10-03,11
2010-10-10,38
2010-10-17,42
2010-10-24,21
2010-10-31,42
2010-11-07,47
2010-11-14,36
2010-11-21,41
2010-11-28,45
2010-12-05,30
2010-12-12,84
2010-12-19,97
2010-12-26,45
2011-01-02,30
2011-01-09,45
2011-01-16,42
2011-01-23,32
2011-01-30,31
2011-02-06,31
2011-02-13,19
2011-02-20,22
2011-02-27,16
2011-03-06,25
2011-03-13,40
2011-03-20,25
2011-03-27,18
2011-04-03,12
2011-04-10,21
2011-04-17,19
2011-04-24,18
2011-05-01,24
2011-05-08,18
2011-05-15,30
2011-05-22,28
2011-05-29,20
2011-06-05,19
2011-06-12,18
2011-06-19,21
2011-06-26,35
2011-07-03,26
2011-07-10,15
2011-07-17,15
2011-07-24,12
2011-07-31,38
2011-08-07,22
2011-08-14,38
2011-08-21,19
2011-08-28,21
2011-09-04,16
2011-09-11,26
2011-09-18,33
2011-09-25,19
2011-10-02,22
2011-10-09,29
2011-10-16,28
2011-10-23,45
2011-10-30,21
2011-11-06,25
2011-11-13,49
2011-11-20,47
2011-11-27,27
2011-12-04,64
2011-12-11,77
2011-12-18,100
2011-12-25,26
2012-01-01,20
