Category: All categories

Week,Pretzels: (United States)
2009-01-11,21
2009-01-18,18
2009-01-25,22
2009-02-01,19
2009-02-08,26
2009-02-15,19
2009-02-22,21
2009-03-01,23
2009-03-08,20
2009-03-15,16
2009-03-22,20
2009-03-29,20
2009-04-05,11
2009-04-12,17
2009-04-19,18
2009-04-26,17
2009-05-03,17
2009-05-10,13
2009-05-17,14
2009-05-24,18
2009-05-31,19
2009-06-07,17
2009-06-14,20
2009-06-21,14
2009-06-28,21
2009-07-05,16
2009-07-12,15
2009-07-19,16
2009-07-26,16
2009-08-02,15
2009-08-09,17
2009-08-16,16
2009-08-23,16
2009-08-30,17
2009-09-06,15
2009-09-13,14
2009-09-20,19
2009-09-27,19
2009-10-04,18
2009-10-11,22
2009-10-18,26
2009-10-25,22
2009-11-01,19
2009-11-08,22
2009-11-15,24
2009-11-22,27
2009-11-29,34
2009-12-06,48
2009-12-13,70
2009-12-20,78
2009-12-27,21
2010-01-03,24
2010-01-10,20
2010-01-17,23
2010-01-24,22
2010-01-31,24
2010-02-07,23
2010-02-14,20
2010-02-21,17
2010-02-28,20
2010-03-07,18
2010-03-14,24
2010-03-21,19
2010-03-28,23
2010-04-04,18
2010-04-11,14
2010-04-18,20
2010-04-25,20
2010-05-02,17
2010-05-09,19
2010-05-16,20
2010-05-23,19
2010-05-30,17
2010-06-06,20
2010-06-13,18
2010-06-20,16
2010-06-27,19
2010-07-04,19
2010-07-11,15
2010-07-18,19
2010-07-25,15
2010-08-01,20
2010-08-08,20
2010-08-15,18
2010-08-22,20
2010-08-29,16
2010-09-05,17
2010-09-12,18
2010-09-19,19
2010-09-26,20
2010-10-03,19
2010-10-10,19
2010-10-17,20
2010-10-24,22
2010-10-31,18
2010-11-07,23
2010-11-14,24
2010-11-21,26
2010-11-28,30
2010-12-05,45
2010-12-12,66
2010-12-19,65
2010-12-26,25
2011-01-02,29
2011-01-09,28
2011-01-16,25
2011-01-23,26
2011-01-30,32
2011-02-06,32
2011-02-13,29
2011-02-20,26
2011-02-27,22
2011-03-06,22
2011-03-13,23
2011-03-20,22
2011-03-27,18
2011-04-03,29
2011-04-10,24
2011-04-17,27
2011-04-24,19
2011-05-01,20
2011-05-08,18
2011-05-15,21
2011-05-22,23
2011-05-29,24
2011-06-05,19
2011-06-12,23
2011-06-19,20
2011-06-26,22
2011-07-03,20
2011-07-10,19
2011-07-17,19
2011-07-24,21
2011-07-31,24
2011-08-07,22
2011-08-14,19
2011-08-21,18
2011-08-28,20
2011-09-04,23
2011-09-11,22
2011-09-18,24
2011-09-25,21
2011-10-02,24
2011-10-09,25
2011-10-16,29
2011-10-23,30
2011-10-30,27
2011-11-06,30
2011-11-13,30
2011-11-20,30
2011-11-27,35
2011-12-04,54
2011-12-11,72
2011-12-18,100
2011-12-25,31
2012-01-01,27
