Category: Food & Drink

Week,Pretzels: (Kentucky)
2009-01-11,35
2009-01-18,35
2009-01-25,0
2009-02-01,0
2009-02-08,0
2009-02-15,33
2009-02-22,32
2009-03-01,33
2009-03-08,34
2009-03-15,0
2009-03-22,0
2009-03-29,0
2009-04-05,34
2009-04-12,0
2009-04-19,0
2009-04-26,33
2009-05-03,0
2009-05-10,0
2009-05-17,0
2009-05-24,0
2009-05-31,0
2009-06-07,0
2009-06-14,37
2009-06-21,74
2009-06-28,0
2009-07-05,0
2009-07-12,0
2009-07-19,0
2009-07-26,36
2009-08-02,36
2009-08-09,0
2009-08-16,0
2009-08-23,0
2009-08-30,0
2009-09-06,0
2009-09-13,0
2009-09-20,0
2009-09-27,0
2009-10-04,31
2009-10-11,0
2009-10-18,0
2009-10-25,0
2009-11-01,0
2009-11-08,0
2009-11-15,0
2009-11-22,33
2009-11-29,27
2009-12-06,27
2009-12-13,29
2009-12-20,0
2009-12-27,0
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,26
2010-01-31,26
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,27
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,0
2010-04-11,0
2010-04-18,0
2010-04-25,0
2010-05-02,0
2010-05-09,0
2010-05-16,29
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,29
2010-07-25,30
2010-08-01,0
2010-08-08,29
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,0
2010-09-26,0
2010-10-03,0
2010-10-10,27
2010-10-17,53
2010-10-24,38
2010-10-31,25
2010-11-07,0
2010-11-14,0
2010-11-21,0
2010-11-28,0
2010-12-05,0
2010-12-12,100
2010-12-19,31
2010-12-26,0
2011-01-02,0
2011-01-09,0
2011-01-16,0
2011-01-23,0
2011-01-30,15
2011-02-06,30
2011-02-13,0
2011-02-20,15
2011-02-27,15
2011-03-06,23
2011-03-13,0
2011-03-20,0
2011-03-27,0
2011-04-03,0
2011-04-10,0
2011-04-17,16
2011-04-24,0
2011-05-01,15
2011-05-08,0
2011-05-15,16
2011-05-22,0
2011-05-29,0
2011-06-05,0
2011-06-12,34
2011-06-19,0
2011-06-26,0
2011-07-03,0
2011-07-10,17
2011-07-17,16
2011-07-24,0
2011-07-31,0
2011-08-07,0
2011-08-14,0
2011-08-21,0
2011-08-28,0
2011-09-04,15
2011-09-11,0
2011-09-18,14
2011-09-25,14
2011-10-02,15
2011-10-09,0
2011-10-16,14
2011-10-23,0
2011-10-30,12
2011-11-06,18
2011-11-13,23
2011-11-20,17
2011-11-27,10
2011-12-04,24
2011-12-11,29
2011-12-18,51
2011-12-25,10
2012-01-01,10
