Category: Food & Drink

Week,Pretzels: (Ohio)
2009-01-11,0
2009-01-18,0
2009-01-25,31
2009-02-01,15
2009-02-08,15
2009-02-15,30
2009-02-22,45
2009-03-01,15
2009-03-08,0
2009-03-15,0
2009-03-22,0
2009-03-29,0
2009-04-05,15
2009-04-12,0
2009-04-19,0
2009-04-26,15
2009-05-03,15
2009-05-10,30
2009-05-17,32
2009-05-24,17
2009-05-31,16
2009-06-07,0
2009-06-14,0
2009-06-21,33
2009-06-28,17
2009-07-05,16
2009-07-12,24
2009-07-19,16
2009-07-26,17
2009-08-02,17
2009-08-09,17
2009-08-16,17
2009-08-23,16
2009-08-30,16
2009-09-06,0
2009-09-13,31
2009-09-20,15
2009-09-27,15
2009-10-04,30
2009-10-11,22
2009-10-18,15
2009-10-25,15
2009-11-01,36
2009-11-08,0
2009-11-15,42
2009-11-22,17
2009-11-29,14
2009-12-06,59
2009-12-13,42
2009-12-20,100
2009-12-27,0
2010-01-03,0
2010-01-10,13
2010-01-17,13
2010-01-24,0
2010-01-31,0
2010-02-07,13
2010-02-14,13
2010-02-21,18
2010-02-28,25
2010-03-07,13
2010-03-14,39
2010-03-21,13
2010-03-28,0
2010-04-04,0
2010-04-11,13
2010-04-18,13
2010-04-25,0
2010-05-02,13
2010-05-09,0
2010-05-16,14
2010-05-23,0
2010-05-30,31
2010-06-06,15
2010-06-13,31
2010-06-20,15
2010-06-27,15
2010-07-04,0
2010-07-11,14
2010-07-18,28
2010-07-25,21
2010-08-01,14
2010-08-08,14
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,26
2010-09-19,51
2010-09-26,0
2010-10-03,0
2010-10-10,0
2010-10-17,38
2010-10-24,31
2010-10-31,0
2010-11-07,12
2010-11-14,12
2010-11-21,28
2010-11-28,47
2010-12-05,24
2010-12-12,30
2010-12-19,29
2010-12-26,14
2011-01-02,16
2011-01-09,38
2011-01-16,15
2011-01-23,11
2011-01-30,11
2011-02-06,11
2011-02-13,15
2011-02-20,33
2011-02-27,0
2011-03-06,15
2011-03-13,8
2011-03-20,15
2011-03-27,11
2011-04-03,22
2011-04-10,19
2011-04-17,26
2011-04-24,15
2011-05-01,15
2011-05-08,23
2011-05-15,0
2011-05-22,15
2011-05-29,8
2011-06-05,0
2011-06-12,25
2011-06-19,8
2011-06-26,12
2011-07-03,16
2011-07-10,8
2011-07-17,8
2011-07-24,8
2011-07-31,8
2011-08-07,15
2011-08-14,7
2011-08-21,15
2011-08-28,29
2011-09-04,18
2011-09-11,11
2011-09-18,17
2011-09-25,13
2011-10-02,17
2011-10-09,17
2011-10-16,13
2011-10-23,23
2011-10-30,27
2011-11-06,19
2011-11-13,13
2011-11-20,7
2011-11-27,31
2011-12-04,31
2011-12-11,79
2011-12-18,56
2011-12-25,20
2012-01-01,22
