Category: Food & Drink

Week,Pretzels: (Texas)
2009-01-11,33
2009-01-18,17
2009-01-25,16
2009-02-01,16
2009-02-08,16
2009-02-15,25
2009-02-22,32
2009-03-01,24
2009-03-08,16
2009-03-15,18
2009-03-22,16
2009-03-29,16
2009-04-05,16
2009-04-12,0
2009-04-19,32
2009-04-26,16
2009-05-03,0
2009-05-10,16
2009-05-17,33
2009-05-24,35
2009-05-31,0
2009-06-07,34
2009-06-14,17
2009-06-21,0
2009-06-28,18
2009-07-05,25
2009-07-12,0
2009-07-19,0
2009-07-26,17
2009-08-02,17
2009-08-09,17
2009-08-16,16
2009-08-23,41
2009-08-30,0
2009-09-06,16
2009-09-13,62
2009-09-20,16
2009-09-27,16
2009-10-04,0
2009-10-11,63
2009-10-18,47
2009-10-25,30
2009-11-01,31
2009-11-08,15
2009-11-15,15
2009-11-22,18
2009-11-29,29
2009-12-06,67
2009-12-13,100
2009-12-20,78
2009-12-27,19
2010-01-03,38
2010-01-10,37
2010-01-17,30
2010-01-24,14
2010-01-31,21
2010-02-07,36
2010-02-14,15
2010-02-21,0
2010-02-28,43
2010-03-07,22
2010-03-14,33
2010-03-21,14
2010-03-28,30
2010-04-04,22
2010-04-11,14
2010-04-18,29
2010-04-25,45
2010-05-02,30
2010-05-09,15
2010-05-16,16
2010-05-23,32
2010-05-30,52
2010-06-06,16
2010-06-13,33
2010-06-20,32
2010-06-27,30
2010-07-04,13
2010-07-11,13
2010-07-18,0
2010-07-25,13
2010-08-01,13
2010-08-08,25
2010-08-15,19
2010-08-22,12
2010-08-29,12
2010-09-05,12
2010-09-12,12
2010-09-19,12
2010-09-26,23
2010-10-03,24
2010-10-10,12
2010-10-17,12
2010-10-24,12
2010-10-31,0
2010-11-07,23
2010-11-14,17
2010-11-21,51
2010-11-28,27
2010-12-05,61
2010-12-12,74
2010-12-19,53
2010-12-26,12
2011-01-02,22
2011-01-09,21
2011-01-16,28
2011-01-23,28
2011-01-30,20
2011-02-06,17
2011-02-13,21
2011-02-20,14
2011-02-27,7
2011-03-06,27
2011-03-13,15
2011-03-20,14
2011-03-27,20
2011-04-03,20
2011-04-10,20
2011-04-17,27
2011-04-24,33
2011-05-01,17
2011-05-08,26
2011-05-15,20
2011-05-22,10
2011-05-29,7
2011-06-05,14
2011-06-12,0
2011-06-19,20
2011-06-26,21
2011-07-03,28
2011-07-10,10
2011-07-17,13
2011-07-24,16
2011-07-31,23
2011-08-07,24
2011-08-14,7
2011-08-21,7
2011-08-28,7
2011-09-04,0
2011-09-11,19
2011-09-18,9
2011-09-25,18
2011-10-02,27
2011-10-09,12
2011-10-16,15
2011-10-23,17
2011-10-30,6
2011-11-06,17
2011-11-13,14
2011-11-20,36
2011-11-27,27
2011-12-04,54
2011-12-11,50
2011-12-18,88
2011-12-25,20
2012-01-01,30
