Category: Food & Drink

Week,Pretzels: (United States)
2009-01-11,18
2009-01-18,15
2009-01-25,15
2009-02-01,17
2009-02-08,20
2009-02-15,12
2009-02-22,20
2009-03-01,21
2009-03-08,17
2009-03-15,19
2009-03-22,16
2009-03-29,12
2009-04-05,15
2009-04-12,12
2009-04-19,12
2009-04-26,14
2009-05-03,7
2009-05-10,13
2009-05-17,14
2009-05-24,16
2009-05-31,14
2009-06-07,11
2009-06-14,16
2009-06-21,14
2009-06-28,18
2009-07-05,11
2009-07-12,16
2009-07-19,16
2009-07-26,13
2009-08-02,15
2009-08-09,9
2009-08-16,12
2009-08-23,11
2009-08-30,11
2009-09-06,12
2009-09-13,13
2009-09-20,16
2009-09-27,17
2009-10-04,16
2009-10-11,25
2009-10-18,18
2009-10-25,16
2009-11-01,15
2009-11-08,18
2009-11-15,18
2009-11-22,28
2009-11-29,29
2009-12-06,45
2009-12-13,73
2009-12-20,75
2009-12-27,18
2010-01-03,14
2010-01-10,16
2010-01-17,18
2010-01-24,16
2010-01-31,22
2010-02-07,19
2010-02-14,18
2010-02-21,16
2010-02-28,16
2010-03-07,14
2010-03-14,17
2010-03-21,18
2010-03-28,13
2010-04-04,14
2010-04-11,12
2010-04-18,15
2010-04-25,14
2010-05-02,13
2010-05-09,14
2010-05-16,16
2010-05-23,11
2010-05-30,17
2010-06-06,17
2010-06-13,18
2010-06-20,15
2010-06-27,18
2010-07-04,13
2010-07-11,14
2010-07-18,11
2010-07-25,16
2010-08-01,12
2010-08-08,12
2010-08-15,12
2010-08-22,14
2010-08-29,12
2010-09-05,13
2010-09-12,14
2010-09-19,15
2010-09-26,14
2010-10-03,13
2010-10-10,12
2010-10-17,18
2010-10-24,23
2010-10-31,17
2010-11-07,19
2010-11-14,18
2010-11-21,24
2010-11-28,29
2010-12-05,41
2010-12-12,60
2010-12-19,68
2010-12-26,26
2011-01-02,19
2011-01-09,24
2011-01-16,22
2011-01-23,23
2011-01-30,24
2011-02-06,30
2011-02-13,22
2011-02-20,21
2011-02-27,17
2011-03-06,19
2011-03-13,16
2011-03-20,12
2011-03-27,13
2011-04-03,16
2011-04-10,20
2011-04-17,24
2011-04-24,13
2011-05-01,16
2011-05-08,13
2011-05-15,16
2011-05-22,17
2011-05-29,18
2011-06-05,15
2011-06-12,16
2011-06-19,14
2011-06-26,19
2011-07-03,18
2011-07-10,18
2011-07-17,14
2011-07-24,14
2011-07-31,16
2011-08-07,14
2011-08-14,15
2011-08-21,14
2011-08-28,14
2011-09-04,16
2011-09-11,17
2011-09-18,18
2011-09-25,21
2011-10-02,18
2011-10-09,22
2011-10-16,23
2011-10-23,25
2011-10-30,17
2011-11-06,23
2011-11-13,21
2011-11-20,30
2011-11-27,35
2011-12-04,51
2011-12-11,78
2011-12-18,100
2011-12-25,27
2012-01-01,27
