Category: Shopping

Week,Pretzels: (United States)
2009-01-11,43
2009-01-18,11
2009-01-25,16
2009-02-01,27
2009-02-08,37
2009-02-15,16
2009-02-22,10
2009-03-01,11
2009-03-08,21
2009-03-15,0
2009-03-22,21
2009-03-29,16
2009-04-05,22
2009-04-12,21
2009-04-19,20
2009-04-26,0
2009-05-03,21
2009-05-10,21
2009-05-17,27
2009-05-24,34
2009-05-31,16
2009-06-07,11
2009-06-14,16
2009-06-21,0
2009-06-28,24
2009-07-05,0
2009-07-12,11
2009-07-19,42
2009-07-26,11
2009-08-02,16
2009-08-09,11
2009-08-16,11
2009-08-23,15
2009-08-30,10
2009-09-06,0
2009-09-13,10
2009-09-20,38
2009-09-27,24
2009-10-04,39
2009-10-11,19
2009-10-18,9
2009-10-25,19
2009-11-01,24
2009-11-08,14
2009-11-15,28
2009-11-22,27
2009-11-29,50
2009-12-06,64
2009-12-13,71
2009-12-20,89
2009-12-27,11
2010-01-03,19
2010-01-10,19
2010-01-17,18
2010-01-24,17
2010-01-31,26
2010-02-07,27
2010-02-14,9
2010-02-21,17
2010-02-28,9
2010-03-07,13
2010-03-14,27
2010-03-21,9
2010-03-28,32
2010-04-04,23
2010-04-11,9
2010-04-18,26
2010-04-25,13
2010-05-02,23
2010-05-09,18
2010-05-16,9
2010-05-23,34
2010-05-30,15
2010-06-06,19
2010-06-13,19
2010-06-20,10
2010-06-27,19
2010-07-04,13
2010-07-11,20
2010-07-18,16
2010-07-25,24
2010-08-01,20
2010-08-08,8
2010-08-15,36
2010-08-22,16
2010-08-29,19
2010-09-05,16
2010-09-12,26
2010-09-19,22
2010-09-26,26
2010-10-03,19
2010-10-10,39
2010-10-17,18
2010-10-24,18
2010-10-31,37
2010-11-07,29
2010-11-14,18
2010-11-21,32
2010-11-28,48
2010-12-05,45
2010-12-12,100
2010-12-19,83
2010-12-26,24
2011-01-02,30
2011-01-09,12
2011-01-16,24
2011-01-23,29
2011-01-30,14
2011-02-06,40
2011-02-13,31
2011-02-20,17
2011-02-27,11
2011-03-06,20
2011-03-13,18
2011-03-20,14
2011-03-27,11
2011-04-03,23
2011-04-10,20
2011-04-17,31
2011-04-24,14
2011-05-01,14
2011-05-08,14
2011-05-15,17
2011-05-22,14
2011-05-29,18
2011-06-05,12
2011-06-12,32
2011-06-19,20
2011-06-26,9
2011-07-03,27
2011-07-10,26
2011-07-17,17
2011-07-24,22
2011-07-31,33
2011-08-07,16
2011-08-14,14
2011-08-21,24
2011-08-28,21
2011-09-04,38
2011-09-11,13
2011-09-18,18
2011-09-25,31
2011-10-02,10
2011-10-09,25
2011-10-16,28
2011-10-23,18
2011-10-30,25
2011-11-06,27
2011-11-13,29
2011-11-20,37
2011-11-27,44
2011-12-04,56
2011-12-11,47
2011-12-18,87
2011-12-25,37
2012-01-01,31
