Category: All categories

Week,Rold Gold: (United States)
2009-01-11,0
2009-01-18,42
2009-01-25,60
2009-02-01,51
2009-02-08,40
2009-02-15,0
2009-02-22,20
2009-03-01,59
2009-03-08,20
2009-03-15,20
2009-03-22,80
2009-03-29,20
2009-04-05,21
2009-04-12,21
2009-04-19,60
2009-04-26,40
2009-05-03,40
2009-05-10,60
2009-05-17,41
2009-05-24,43
2009-05-31,20
2009-06-07,31
2009-06-14,41
2009-06-21,62
2009-06-28,22
2009-07-05,21
2009-07-12,21
2009-07-19,20
2009-07-26,0
2009-08-02,62
2009-08-09,20
2009-08-16,20
2009-08-23,20
2009-08-30,30
2009-09-06,40
2009-09-13,38
2009-09-20,19
2009-09-27,19
2009-10-04,19
2009-10-11,38
2009-10-18,18
2009-10-25,18
2009-11-01,18
2009-11-08,18
2009-11-15,18
2009-11-22,0
2009-11-29,17
2009-12-06,17
2009-12-13,63
2009-12-20,23
2009-12-27,33
2010-01-03,35
2010-01-10,35
2010-01-17,35
2010-01-24,33
2010-01-31,33
2010-02-07,25
2010-02-14,26
2010-02-21,33
2010-02-28,100
2010-03-07,33
2010-03-14,17
2010-03-21,17
2010-03-28,18
2010-04-04,26
2010-04-11,17
2010-04-18,66
2010-04-25,17
2010-05-02,26
2010-05-09,17
2010-05-16,18
2010-05-23,27
2010-05-30,75
2010-06-06,0
2010-06-13,28
2010-06-20,28
2010-06-27,18
2010-07-04,16
2010-07-11,15
2010-07-18,23
2010-07-25,46
2010-08-01,23
2010-08-08,46
2010-08-15,31
2010-08-22,22
2010-08-29,15
2010-09-05,30
2010-09-12,36
2010-09-19,14
2010-09-26,28
2010-10-03,29
2010-10-10,29
2010-10-17,70
2010-10-24,21
2010-10-31,14
2010-11-07,21
2010-11-14,34
2010-11-21,22
2010-11-28,13
2010-12-05,33
2010-12-12,48
2010-12-19,32
2010-12-26,31
2011-01-02,35
2011-01-09,45
2011-01-16,22
2011-01-23,39
2011-01-30,26
2011-02-06,27
2011-02-13,33
2011-02-20,38
2011-02-27,37
2011-03-06,16
2011-03-13,28
2011-03-20,38
2011-03-27,32
2011-04-03,70
2011-04-10,54
2011-04-17,44
2011-04-24,32
2011-05-01,37
2011-05-08,33
2011-05-15,22
2011-05-22,49
2011-05-29,23
2011-06-05,16
2011-06-12,44
2011-06-19,33
2011-06-26,33
2011-07-03,29
2011-07-10,32
2011-07-17,16
2011-07-24,26
2011-07-31,16
2011-08-07,21
2011-08-14,26
2011-08-21,30
2011-08-28,31
2011-09-04,10
2011-09-11,34
2011-09-18,25
2011-09-25,29
2011-10-02,19
2011-10-09,14
2011-10-16,20
2011-10-23,53
2011-10-30,19
2011-11-06,33
2011-11-13,19
2011-11-20,30
2011-11-27,58
2011-12-04,49
2011-12-11,54
2011-12-18,19
2011-12-25,30
2012-01-01,32
