Category: Shopping

Week,Snack: (United States)
2009-01-11,98
2009-01-18,44
2009-01-25,84
2009-02-01,27
2009-02-08,27
2009-02-15,48
2009-02-22,58
2009-03-01,52
2009-03-08,48
2009-03-15,42
2009-03-22,68
2009-03-29,57
2009-04-05,43
2009-04-12,43
2009-04-19,57
2009-04-26,58
2009-05-03,41
2009-05-10,42
2009-05-17,64
2009-05-24,50
2009-05-31,32
2009-06-07,43
2009-06-14,49
2009-06-21,55
2009-06-28,58
2009-07-05,55
2009-07-12,50
2009-07-19,65
2009-07-26,65
2009-08-02,49
2009-08-09,32
2009-08-16,43
2009-08-23,36
2009-08-30,84
2009-09-06,90
2009-09-13,74
2009-09-20,69
2009-09-27,30
2009-10-04,83
2009-10-11,59
2009-10-18,53
2009-10-25,62
2009-11-01,39
2009-11-08,76
2009-11-15,66
2009-11-22,37
2009-11-29,41
2009-12-06,55
2009-12-13,81
2009-12-20,60
2009-12-27,64
2010-01-03,61
2010-01-10,55
2010-01-17,46
2010-01-24,35
2010-01-31,92
2010-02-07,44
2010-02-14,36
2010-02-21,47
2010-02-28,57
2010-03-07,66
2010-03-14,37
2010-03-21,62
2010-03-28,42
2010-04-04,50
2010-04-11,88
2010-04-18,70
2010-04-25,71
2010-05-02,63
2010-05-09,59
2010-05-16,37
2010-05-23,67
2010-05-30,60
2010-06-06,57
2010-06-13,44
2010-06-20,88
2010-06-27,56
2010-07-04,52
2010-07-11,45
2010-07-18,49
2010-07-25,52
2010-08-01,37
2010-08-08,56
2010-08-15,40
2010-08-22,36
2010-08-29,66
2010-09-05,63
2010-09-12,57
2010-09-19,42
2010-09-26,92
2010-10-03,42
2010-10-10,84
2010-10-17,48
2010-10-24,74
2010-10-31,61
2010-11-07,65
2010-11-14,53
2010-11-21,32
2010-11-28,62
2010-12-05,77
2010-12-12,97
2010-12-19,42
2010-12-26,29
2011-01-02,76
2011-01-09,50
2011-01-16,53
2011-01-23,81
2011-01-30,74
2011-02-06,43
2011-02-13,60
2011-02-20,52
2011-02-27,54
2011-03-06,48
2011-03-13,48
2011-03-20,62
2011-03-27,62
2011-04-03,43
2011-04-10,68
2011-04-17,43
2011-04-24,56
2011-05-01,42
2011-05-08,66
2011-05-15,82
2011-05-22,60
2011-05-29,42
2011-06-05,49
2011-06-12,52
2011-06-19,46
2011-06-26,67
2011-07-03,48
2011-07-10,48
2011-07-17,51
2011-07-24,67
2011-07-31,63
2011-08-07,63
2011-08-14,50
2011-08-21,61
2011-08-28,86
2011-09-04,84
2011-09-11,83
2011-09-18,57
2011-09-25,87
2011-10-02,85
2011-10-09,78
2011-10-16,100
2011-10-23,81
2011-10-30,56
2011-11-06,71
2011-11-13,69
2011-11-20,79
2011-11-27,73
2011-12-04,83
2011-12-11,65
2011-12-18,49
2011-12-25,45
2012-01-01,87
