Category: Food & Drink

Week,Snyder's of Hanover: (United States)
2009-01-11,26
2009-01-18,35
2009-01-25,59
2009-02-01,52
2009-02-08,51
2009-02-15,34
2009-02-22,59
2009-03-01,75
2009-03-08,25
2009-03-15,34
2009-03-22,42
2009-03-29,25
2009-04-05,35
2009-04-12,17
2009-04-19,50
2009-04-26,25
2009-05-03,58
2009-05-10,17
2009-05-17,34
2009-05-24,54
2009-05-31,68
2009-06-07,34
2009-06-14,43
2009-06-21,26
2009-06-28,84
2009-07-05,26
2009-07-12,70
2009-07-19,26
2009-07-26,52
2009-08-02,17
2009-08-09,69
2009-08-16,85
2009-08-23,42
2009-08-30,33
2009-09-06,59
2009-09-13,63
2009-09-20,24
2009-09-27,71
2009-10-04,55
2009-10-11,71
2009-10-18,100
2009-10-25,15
2009-11-01,85
2009-11-08,38
2009-11-15,30
2009-11-22,43
2009-11-29,29
2009-12-06,36
2009-12-13,46
2009-12-20,19
2009-12-27,18
2010-01-03,15
2010-01-10,15
2010-01-17,15
2010-01-24,35
2010-01-31,28
2010-02-07,28
2010-02-14,15
2010-02-21,34
2010-02-28,14
2010-03-07,42
2010-03-14,37
2010-03-21,36
2010-03-28,15
2010-04-04,15
2010-04-11,42
2010-04-18,0
2010-04-25,49
2010-05-02,22
2010-05-09,36
2010-05-16,37
2010-05-23,30
2010-05-30,32
2010-06-06,15
2010-06-13,24
2010-06-20,62
2010-06-27,30
2010-07-04,14
2010-07-11,19
2010-07-18,39
2010-07-25,45
2010-08-01,45
2010-08-08,58
2010-08-15,19
2010-08-22,25
2010-08-29,12
2010-09-05,88
2010-09-12,18
2010-09-19,12
2010-09-26,47
2010-10-03,42
2010-10-10,37
2010-10-17,58
2010-10-24,53
2010-10-31,40
2010-11-07,23
2010-11-14,23
2010-11-21,32
2010-11-28,22
2010-12-05,22
2010-12-12,29
2010-12-19,47
2010-12-26,20
2011-01-02,19
2011-01-09,57
2011-01-16,23
2011-01-23,51
2011-01-30,35
2011-02-06,50
2011-02-13,41
2011-02-20,50
2011-02-27,45
2011-03-06,18
2011-03-13,38
2011-03-20,23
2011-03-27,45
2011-04-03,23
2011-04-10,50
2011-04-17,23
2011-04-24,36
2011-05-01,32
2011-05-08,28
2011-05-15,23
2011-05-22,41
2011-05-29,63
2011-06-05,18
2011-06-12,42
2011-06-19,51
2011-06-26,33
2011-07-03,53
2011-07-10,18
2011-07-17,50
2011-07-24,44
2011-07-31,49
2011-08-07,31
2011-08-14,71
2011-08-21,26
2011-08-28,60
2011-09-04,30
2011-09-11,37
2011-09-18,33
2011-09-25,20
2011-10-02,29
2011-10-09,36
2011-10-16,41
2011-10-23,81
2011-10-30,41
2011-11-06,20
2011-11-13,31
2011-11-20,38
2011-11-27,38
2011-12-04,53
2011-12-11,46
2011-12-18,41
2011-12-25,30
2012-01-01,39
