Category: All categories

Week,SuperPretzel: (United States)
2009-01-11,52
2009-01-18,35
2009-01-25,34
2009-02-01,86
2009-02-08,34
2009-02-15,0
2009-02-22,34
2009-03-01,0
2009-03-08,34
2009-03-15,67
2009-03-22,33
2009-03-29,0
2009-04-05,34
2009-04-12,51
2009-04-19,100
2009-04-26,33
2009-05-03,50
2009-05-10,34
2009-05-17,34
2009-05-24,0
2009-05-31,51
2009-06-07,34
2009-06-14,0
2009-06-21,35
2009-06-28,0
2009-07-05,35
2009-07-12,35
2009-07-19,34
2009-07-26,86
2009-08-02,35
2009-08-09,34
2009-08-16,0
2009-08-23,33
2009-08-30,0
2009-09-06,34
2009-09-13,32
2009-09-20,0
2009-09-27,31
2009-10-04,63
2009-10-11,47
2009-10-18,31
2009-10-25,0
2009-11-01,31
2009-11-08,45
2009-11-15,30
2009-11-22,0
2009-11-29,29
2009-12-06,58
2009-12-13,30
2009-12-20,38
2009-12-27,37
2010-01-03,60
2010-01-10,74
2010-01-17,29
2010-01-24,83
2010-01-31,28
2010-02-07,0
2010-02-14,0
2010-02-21,27
2010-02-28,28
2010-03-07,28
2010-03-14,29
2010-03-21,0
2010-03-28,30
2010-04-04,29
2010-04-11,42
2010-04-18,0
2010-04-25,28
2010-05-02,29
2010-05-09,0
2010-05-16,59
2010-05-23,0
2010-05-30,80
2010-06-06,30
2010-06-13,0
2010-06-20,62
2010-06-27,0
2010-07-04,55
2010-07-11,26
2010-07-18,52
2010-07-25,26
2010-08-01,26
2010-08-08,52
2010-08-15,26
2010-08-22,50
2010-08-29,25
2010-09-05,25
2010-09-12,73
2010-09-19,0
2010-09-26,70
2010-10-03,24
2010-10-10,24
2010-10-17,0
2010-10-24,0
2010-10-31,23
2010-11-07,69
2010-11-14,45
2010-11-21,0
2010-11-28,0
2010-12-05,45
2010-12-12,0
2010-12-19,27
2010-12-26,53
2011-01-02,39
2011-01-09,28
2011-01-16,19
2011-01-23,19
2011-01-30,17
2011-02-06,27
2011-02-13,27
2011-02-20,27
2011-02-27,27
2011-03-06,18
2011-03-13,19
2011-03-20,27
2011-03-27,18
2011-04-03,45
2011-04-10,54
2011-04-17,64
2011-04-24,27
2011-05-01,36
2011-05-08,18
2011-05-15,54
2011-05-22,37
2011-05-29,19
2011-06-05,0
2011-06-12,46
2011-06-19,18
2011-06-26,57
2011-07-03,48
2011-07-10,18
2011-07-17,36
2011-07-24,44
2011-07-31,18
2011-08-07,52
2011-08-14,18
2011-08-21,17
2011-08-28,17
2011-09-04,26
2011-09-11,17
2011-09-18,50
2011-09-25,16
2011-10-02,33
2011-10-09,32
2011-10-16,49
2011-10-23,32
2011-10-30,16
2011-11-06,31
2011-11-13,16
2011-11-20,0
2011-11-27,30
2011-12-04,68
2011-12-11,31
2011-12-18,16
2011-12-25,17
2012-01-01,16
