Category: Food & Drink

Week,Utz Quality Foods: (United States)
2009-01-11,97
2009-01-18,36
2009-01-25,93
2009-02-01,24
2009-02-08,71
2009-02-15,48
2009-02-22,70
2009-03-01,23
2009-03-08,35
2009-03-15,47
2009-03-22,35
2009-03-29,46
2009-04-05,95
2009-04-12,36
2009-04-19,23
2009-04-26,35
2009-05-03,57
2009-05-10,71
2009-05-17,47
2009-05-24,87
2009-05-31,24
2009-06-07,48
2009-06-14,48
2009-06-21,60
2009-06-28,52
2009-07-05,25
2009-07-12,49
2009-07-19,71
2009-07-26,59
2009-08-02,48
2009-08-09,48
2009-08-16,59
2009-08-23,57
2009-08-30,69
2009-09-06,23
2009-09-13,88
2009-09-20,54
2009-09-27,22
2009-10-04,76
2009-10-11,22
2009-10-18,96
2009-10-25,85
2009-11-01,97
2009-11-08,73
2009-11-15,83
2009-11-22,23
2009-11-29,20
2009-12-06,60
2009-12-13,84
2009-12-20,53
2009-12-27,26
2010-01-03,41
2010-01-10,81
2010-01-17,80
2010-01-24,68
2010-01-31,39
2010-02-07,69
2010-02-14,50
2010-02-21,29
2010-02-28,39
2010-03-07,29
2010-03-14,61
2010-03-21,39
2010-03-28,31
2010-04-04,61
2010-04-11,29
2010-04-18,29
2010-04-25,29
2010-05-02,80
2010-05-09,50
2010-05-16,72
2010-05-23,21
2010-05-30,55
2010-06-06,73
2010-06-13,43
2010-06-20,32
2010-06-27,83
2010-07-04,57
2010-07-11,36
2010-07-18,27
2010-07-25,71
2010-08-01,63
2010-08-08,62
2010-08-15,44
2010-08-22,26
2010-08-29,52
2010-09-05,26
2010-09-12,59
2010-09-19,33
2010-09-26,57
2010-10-03,34
2010-10-10,34
2010-10-17,48
2010-10-24,57
2010-10-31,48
2010-11-07,32
2010-11-14,47
2010-11-21,17
2010-11-28,61
2010-12-05,100
2010-12-12,40
2010-12-19,18
2010-12-26,18
2011-01-02,27
2011-01-09,79
2011-01-16,39
2011-01-23,71
2011-01-30,36
2011-02-06,50
2011-02-13,44
2011-02-20,32
2011-02-27,62
2011-03-06,44
2011-03-13,53
2011-03-20,50
2011-03-27,37
2011-04-03,57
2011-04-10,38
2011-04-17,70
2011-04-24,62
2011-05-01,37
2011-05-08,19
2011-05-15,37
2011-05-22,44
2011-05-29,67
2011-06-05,32
2011-06-12,58
2011-06-19,45
2011-06-26,52
2011-07-03,67
2011-07-10,44
2011-07-17,44
2011-07-24,43
2011-07-31,55
2011-08-07,30
2011-08-14,37
2011-08-21,47
2011-08-28,29
2011-09-04,30
2011-09-11,46
2011-09-18,40
2011-09-25,45
2011-10-02,40
2011-10-09,39
2011-10-16,45
2011-10-23,73
2011-10-30,45
2011-11-06,49
2011-11-13,38
2011-11-20,29
2011-11-27,10
2011-12-04,57
2011-12-11,26
2011-12-18,45
2011-12-25,47
2012-01-01,59
