Category: All categories

Week,breakfast cereal: (United States)
2009-01-11,50
2009-01-18,76
2009-01-25,46
2009-02-01,67
2009-02-08,49
2009-02-15,46
2009-02-22,64
2009-03-01,54
2009-03-08,70
2009-03-15,73
2009-03-22,72
2009-03-29,39
2009-04-05,62
2009-04-12,55
2009-04-19,84
2009-04-26,45
2009-05-03,44
2009-05-10,57
2009-05-17,64
2009-05-24,45
2009-05-31,52
2009-06-07,37
2009-06-14,47
2009-06-21,25
2009-06-28,53
2009-07-05,54
2009-07-12,56
2009-07-19,37
2009-07-26,40
2009-08-02,72
2009-08-09,68
2009-08-16,30
2009-08-23,45
2009-08-30,42
2009-09-06,55
2009-09-13,63
2009-09-20,26
2009-09-27,51
2009-10-04,65
2009-10-11,42
2009-10-18,64
2009-10-25,61
2009-11-01,36
2009-11-08,41
2009-11-15,80
2009-11-22,58
2009-11-29,45
2009-12-06,42
2009-12-13,32
2009-12-20,61
2009-12-27,46
2010-01-03,61
2010-01-10,71
2010-01-17,36
2010-01-24,45
2010-01-31,62
2010-02-07,51
2010-02-14,28
2010-02-21,49
2010-02-28,53
2010-03-07,69
2010-03-14,47
2010-03-21,41
2010-03-28,59
2010-04-04,55
2010-04-11,50
2010-04-18,50
2010-04-25,43
2010-05-02,50
2010-05-09,50
2010-05-16,50
2010-05-23,68
2010-05-30,43
2010-06-06,38
2010-06-13,48
2010-06-20,50
2010-06-27,45
2010-07-04,69
2010-07-11,44
2010-07-18,40
2010-07-25,58
2010-08-01,56
2010-08-08,53
2010-08-15,32
2010-08-22,57
2010-08-29,53
2010-09-05,59
2010-09-12,61
2010-09-19,43
2010-09-26,55
2010-10-03,50
2010-10-10,81
2010-10-17,59
2010-10-24,69
2010-10-31,45
2010-11-07,53
2010-11-14,51
2010-11-21,57
2010-11-28,48
2010-12-05,56
2010-12-12,70
2010-12-19,100
2010-12-26,36
2011-01-02,66
2011-01-09,74
2011-01-16,59
2011-01-23,71
2011-01-30,71
2011-02-06,84
2011-02-13,56
2011-02-20,83
2011-02-27,61
2011-03-06,73
2011-03-13,60
2011-03-20,73
2011-03-27,76
2011-04-03,62
2011-04-10,59
2011-04-17,76
2011-04-24,83
2011-05-01,69
2011-05-08,70
2011-05-15,68
2011-05-22,61
2011-05-29,67
2011-06-05,61
2011-06-12,52
2011-06-19,55
2011-06-26,64
2011-07-03,45
2011-07-10,56
2011-07-17,56
2011-07-24,44
2011-07-31,78
2011-08-07,66
2011-08-14,66
2011-08-21,46
2011-08-28,55
2011-09-04,68
2011-09-11,76
2011-09-18,67
2011-09-25,68
2011-10-02,65
2011-10-09,67
2011-10-16,58
2011-10-23,75
2011-10-30,54
2011-11-06,72
2011-11-13,72
2011-11-20,39
2011-11-27,58
2011-12-04,82
2011-12-11,62
2011-12-18,51
2011-12-25,46
2012-01-01,63
