Category: Shopping

Week,cereal coupons: (United States)
2009-01-11,32
2009-01-18,21
2009-01-25,37
2009-02-01,27
2009-02-08,21
2009-02-15,7
2009-02-22,31
2009-03-01,54
2009-03-08,27
2009-03-15,54
2009-03-22,30
2009-03-29,71
2009-04-05,24
2009-04-12,28
2009-04-19,40
2009-04-26,27
2009-05-03,23
2009-05-10,27
2009-05-17,34
2009-05-24,36
2009-05-31,49
2009-06-07,24
2009-06-14,24
2009-06-21,32
2009-06-28,23
2009-07-05,32
2009-07-12,25
2009-07-19,24
2009-07-26,38
2009-08-02,31
2009-08-09,21
2009-08-16,31
2009-08-23,33
2009-08-30,23
2009-09-06,31
2009-09-13,29
2009-09-20,42
2009-09-27,35
2009-10-04,35
2009-10-11,35
2009-10-18,31
2009-10-25,22
2009-11-01,34
2009-11-08,36
2009-11-15,12
2009-11-22,14
2009-11-29,29
2009-12-06,24
2009-12-13,24
2009-12-20,38
2009-12-27,30
2010-01-03,33
2010-01-10,32
2010-01-17,29
2010-01-24,45
2010-01-31,17
2010-02-07,32
2010-02-14,20
2010-02-21,44
2010-02-28,31
2010-03-07,20
2010-03-14,23
2010-03-21,37
2010-03-28,27
2010-04-04,26
2010-04-11,31
2010-04-18,22
2010-04-25,26
2010-05-02,35
2010-05-09,24
2010-05-16,27
2010-05-23,15
2010-05-30,23
2010-06-06,24
2010-06-13,31
2010-06-20,37
2010-06-27,24
2010-07-04,17
2010-07-11,18
2010-07-18,23
2010-07-25,16
2010-08-01,39
2010-08-08,16
2010-08-15,23
2010-08-22,20
2010-08-29,30
2010-09-05,25
2010-09-12,22
2010-09-19,24
2010-09-26,12
2010-10-03,17
2010-10-10,22
2010-10-17,14
2010-10-24,40
2010-10-31,37
2010-11-07,18
2010-11-14,11
2010-11-21,13
2010-11-28,27
2010-12-05,11
2010-12-12,21
2010-12-19,16
2010-12-26,32
2011-01-02,52
2011-01-09,38
2011-01-16,38
2011-01-23,48
2011-01-30,41
2011-02-06,25
2011-02-13,19
2011-02-20,31
2011-02-27,34
2011-03-06,33
2011-03-13,41
2011-03-20,40
2011-03-27,42
2011-04-03,80
2011-04-10,86
2011-04-17,93
2011-04-24,78
2011-05-01,70
2011-05-08,71
2011-05-15,98
2011-05-22,89
2011-05-29,89
2011-06-05,63
2011-06-12,77
2011-06-19,84
2011-06-26,62
2011-07-03,41
2011-07-10,72
2011-07-17,61
2011-07-24,100
2011-07-31,48
2011-08-07,42
2011-08-14,62
2011-08-21,41
2011-08-28,41
2011-09-04,45
2011-09-11,50
2011-09-18,23
2011-09-25,47
2011-10-02,48
2011-10-09,40
2011-10-16,39
2011-10-23,49
2011-10-30,42
2011-11-06,37
2011-11-13,52
2011-11-20,41
2011-11-27,36
2011-12-04,18
2011-12-11,29
2011-12-18,18
2011-12-25,39
2012-01-01,45
