Category: All categories

Week,cereal nutrition: (United States)
2009-01-11,31
2009-01-18,36
2009-01-25,30
2009-02-01,44
2009-02-08,60
2009-02-15,66
2009-02-22,21
2009-03-01,34
2009-03-08,30
2009-03-15,43
2009-03-22,43
2009-03-29,60
2009-04-05,75
2009-04-12,22
2009-04-19,55
2009-04-26,47
2009-05-03,34
2009-05-10,26
2009-05-17,30
2009-05-24,41
2009-05-31,35
2009-06-07,35
2009-06-14,53
2009-06-21,27
2009-06-28,43
2009-07-05,54
2009-07-12,40
2009-07-19,35
2009-07-26,70
2009-08-02,18
2009-08-09,44
2009-08-16,30
2009-08-23,21
2009-08-30,42
2009-09-06,47
2009-09-13,81
2009-09-20,60
2009-09-27,44
2009-10-04,60
2009-10-11,52
2009-10-18,47
2009-10-25,23
2009-11-01,32
2009-11-08,50
2009-11-15,54
2009-11-22,39
2009-11-29,41
2009-12-06,26
2009-12-13,46
2009-12-20,0
2009-12-27,33
2010-01-03,34
2010-01-10,56
2010-01-17,41
2010-01-24,39
2010-01-31,60
2010-02-07,47
2010-02-14,26
2010-02-21,56
2010-02-28,61
2010-03-07,68
2010-03-14,41
2010-03-21,47
2010-03-28,65
2010-04-04,67
2010-04-11,100
2010-04-18,57
2010-04-25,36
2010-05-02,63
2010-05-09,52
2010-05-16,57
2010-05-23,82
2010-05-30,20
2010-06-06,54
2010-06-13,48
2010-06-20,28
2010-06-27,57
2010-07-04,38
2010-07-11,30
2010-07-18,30
2010-07-25,33
2010-08-01,50
2010-08-08,26
2010-08-15,33
2010-08-22,35
2010-08-29,44
2010-09-05,35
2010-09-12,40
2010-09-19,58
2010-09-26,33
2010-10-03,53
2010-10-10,44
2010-10-17,30
2010-10-24,48
2010-10-31,50
2010-11-07,47
2010-11-14,40
2010-11-21,22
2010-11-28,28
2010-12-05,57
2010-12-12,32
2010-12-19,20
2010-12-26,17
2011-01-02,66
2011-01-09,58
2011-01-16,86
2011-01-23,43
2011-01-30,65
2011-02-06,55
2011-02-13,65
2011-02-20,61
2011-02-27,48
2011-03-06,46
2011-03-13,27
2011-03-20,48
2011-03-27,60
2011-04-03,51
2011-04-10,35
2011-04-17,49
2011-04-24,39
2011-05-01,39
2011-05-08,33
2011-05-15,64
2011-05-22,42
2011-05-29,69
2011-06-05,56
2011-06-12,52
2011-06-19,35
2011-06-26,21
2011-07-03,34
2011-07-10,46
2011-07-17,37
2011-07-24,45
2011-07-31,34
2011-08-07,38
2011-08-14,31
2011-08-21,39
2011-08-28,48
2011-09-04,35
2011-09-11,53
2011-09-18,53
2011-09-25,46
2011-10-02,42
2011-10-09,33
2011-10-16,50
2011-10-23,31
2011-10-30,31
2011-11-06,20
2011-11-13,42
2011-11-20,21
2011-11-27,42
2011-12-04,27
2011-12-11,41
2011-12-18,15
2011-12-25,22
2012-01-01,33
