Category: Food & Drink

Week,cheerios cereal: (United States)
2009-01-11,45
2009-01-18,34
2009-01-25,77
2009-02-01,55
2009-02-08,22
2009-02-15,67
2009-02-22,44
2009-03-01,54
2009-03-08,44
2009-03-15,44
2009-03-22,32
2009-03-29,43
2009-04-05,33
2009-04-12,44
2009-04-19,76
2009-04-26,44
2009-05-03,64
2009-05-10,55
2009-05-17,88
2009-05-24,58
2009-05-31,56
2009-06-07,45
2009-06-14,56
2009-06-21,46
2009-06-28,24
2009-07-05,46
2009-07-12,23
2009-07-19,44
2009-07-26,44
2009-08-02,0
2009-08-09,45
2009-08-16,44
2009-08-23,43
2009-08-30,43
2009-09-06,44
2009-09-13,31
2009-09-20,31
2009-09-27,82
2009-10-04,51
2009-10-11,61
2009-10-18,60
2009-10-25,30
2009-11-01,30
2009-11-08,20
2009-11-15,39
2009-11-22,22
2009-11-29,38
2009-12-06,38
2009-12-13,20
2009-12-20,49
2009-12-27,48
2010-01-03,19
2010-01-10,38
2010-01-17,47
2010-01-24,36
2010-01-31,63
2010-02-07,55
2010-02-14,84
2010-02-21,18
2010-02-28,100
2010-03-07,74
2010-03-14,38
2010-03-21,37
2010-03-28,48
2010-04-04,47
2010-04-11,64
2010-04-18,18
2010-04-25,28
2010-05-02,47
2010-05-09,38
2010-05-16,38
2010-05-23,39
2010-05-30,21
2010-06-06,40
2010-06-13,41
2010-06-20,20
2010-06-27,29
2010-07-04,54
2010-07-11,34
2010-07-18,17
2010-07-25,17
2010-08-01,25
2010-08-08,17
2010-08-15,25
2010-08-22,41
2010-08-29,48
2010-09-05,57
2010-09-12,16
2010-09-19,46
2010-09-26,23
2010-10-03,63
2010-10-10,16
2010-10-17,46
2010-10-24,38
2010-10-31,22
2010-11-07,22
2010-11-14,30
2010-11-21,16
2010-11-28,22
2010-12-05,22
2010-12-12,15
2010-12-19,17
2010-12-26,52
2011-01-02,31
2011-01-09,18
2011-01-16,18
2011-01-23,36
2011-01-30,28
2011-02-06,29
2011-02-13,30
2011-02-20,41
2011-02-27,29
2011-03-06,47
2011-03-13,44
2011-03-20,29
2011-03-27,18
2011-04-03,58
2011-04-10,35
2011-04-17,42
2011-04-24,41
2011-05-01,41
2011-05-08,41
2011-05-15,47
2011-05-22,24
2011-05-29,62
2011-06-05,24
2011-06-12,18
2011-06-19,36
2011-06-26,42
2011-07-03,25
2011-07-10,18
2011-07-17,29
2011-07-24,52
2011-07-31,17
2011-08-07,23
2011-08-14,40
2011-08-21,33
2011-08-28,33
2011-09-04,28
2011-09-11,11
2011-09-18,43
2011-09-25,37
2011-10-02,16
2011-10-09,26
2011-10-16,26
2011-10-23,37
2011-10-30,21
2011-11-06,15
2011-11-13,15
2011-11-20,33
2011-11-27,24
2011-12-04,39
2011-12-11,30
2011-12-18,21
2011-12-25,33
2012-01-01,40
