Category: All categories

Week,Cinnamon Toast Crunch: (United States)
2009-01-11,25
2009-01-18,43
2009-01-25,31
2009-02-01,52
2009-02-08,34
2009-02-15,14
2009-02-22,41
2009-03-01,10
2009-03-08,41
2009-03-15,27
2009-03-22,20
2009-03-29,27
2009-04-05,42
2009-04-12,10
2009-04-19,24
2009-04-26,44
2009-05-03,33
2009-05-10,34
2009-05-17,27
2009-05-24,18
2009-05-31,28
2009-06-07,42
2009-06-14,25
2009-06-21,11
2009-06-28,38
2009-07-05,21
2009-07-12,43
2009-07-19,21
2009-07-26,21
2009-08-02,14
2009-08-09,24
2009-08-16,24
2009-08-23,24
2009-08-30,54
2009-09-06,31
2009-09-13,22
2009-09-20,38
2009-09-27,48
2009-10-04,35
2009-10-11,29
2009-10-18,28
2009-10-25,37
2009-11-01,41
2009-11-08,31
2009-11-15,42
2009-11-22,24
2009-11-29,38
2009-12-06,21
2009-12-13,34
2009-12-20,31
2009-12-27,7
2010-01-03,15
2010-01-10,33
2010-01-17,41
2010-01-24,17
2010-01-31,28
2010-02-07,23
2010-02-14,41
2010-02-21,25
2010-02-28,28
2010-03-07,31
2010-03-14,36
2010-03-21,40
2010-03-28,24
2010-04-04,30
2010-04-11,17
2010-04-18,28
2010-04-25,28
2010-05-02,32
2010-05-09,24
2010-05-16,45
2010-05-23,22
2010-05-30,26
2010-06-06,18
2010-06-13,35
2010-06-20,28
2010-06-27,27
2010-07-04,25
2010-07-11,24
2010-07-18,29
2010-07-25,39
2010-08-01,26
2010-08-08,47
2010-08-15,31
2010-08-22,23
2010-08-29,18
2010-09-05,31
2010-09-12,37
2010-09-19,34
2010-09-26,43
2010-10-03,32
2010-10-10,30
2010-10-17,40
2010-10-24,33
2010-10-31,100
2010-11-07,37
2010-11-14,48
2010-11-21,25
2010-11-28,27
2010-12-05,34
2010-12-12,21
2010-12-19,27
2010-12-26,16
2011-01-02,47
2011-01-09,44
2011-01-16,49
2011-01-23,56
2011-01-30,28
2011-02-06,39
2011-02-13,44
2011-02-20,37
2011-02-27,51
2011-03-06,35
2011-03-13,46
2011-03-20,37
2011-03-27,38
2011-04-03,37
2011-04-10,35
2011-04-17,41
2011-04-24,38
2011-05-01,31
2011-05-08,43
2011-05-15,33
2011-05-22,46
2011-05-29,41
2011-06-05,30
2011-06-12,49
2011-06-19,21
2011-06-26,42
2011-07-03,49
2011-07-10,40
2011-07-17,33
2011-07-24,52
2011-07-31,59
2011-08-07,50
2011-08-14,46
2011-08-21,45
2011-08-28,43
2011-09-04,54
2011-09-11,67
2011-09-18,29
2011-09-25,46
2011-10-02,55
2011-10-09,49
2011-10-16,53
2011-10-23,56
2011-10-30,38
2011-11-06,27
2011-11-13,32
2011-11-20,38
2011-11-27,21
2011-12-04,57
2011-12-11,40
2011-12-18,35
2011-12-25,33
2012-01-01,50
