Category: Food & Drink

Week,Cinnamon Toast Crunch: (United States)
2009-01-11,56
2009-01-18,64
2009-01-25,31
2009-02-01,71
2009-02-08,62
2009-02-15,24
2009-02-22,23
2009-03-01,46
2009-03-08,70
2009-03-15,62
2009-03-22,54
2009-03-29,54
2009-04-05,63
2009-04-12,63
2009-04-19,38
2009-04-26,61
2009-05-03,61
2009-05-10,70
2009-05-17,0
2009-05-24,33
2009-05-31,39
2009-06-07,47
2009-06-14,32
2009-06-21,40
2009-06-28,68
2009-07-05,40
2009-07-12,73
2009-07-19,39
2009-07-26,32
2009-08-02,48
2009-08-09,63
2009-08-16,23
2009-08-23,23
2009-08-30,46
2009-09-06,69
2009-09-13,36
2009-09-20,58
2009-09-27,80
2009-10-04,29
2009-10-11,36
2009-10-18,63
2009-10-25,49
2009-11-01,35
2009-11-08,49
2009-11-15,34
2009-11-22,16
2009-11-29,54
2009-12-06,40
2009-12-13,49
2009-12-20,44
2009-12-27,34
2010-01-03,68
2010-01-10,40
2010-01-17,47
2010-01-24,51
2010-01-31,57
2010-02-07,39
2010-02-14,46
2010-02-21,76
2010-02-28,58
2010-03-07,64
2010-03-14,60
2010-03-21,52
2010-03-28,48
2010-04-04,34
2010-04-11,32
2010-04-18,64
2010-04-25,51
2010-05-02,60
2010-05-09,53
2010-05-16,27
2010-05-23,28
2010-05-30,59
2010-06-06,56
2010-06-13,29
2010-06-20,43
2010-06-27,62
2010-07-04,69
2010-07-11,30
2010-07-18,30
2010-07-25,59
2010-08-01,24
2010-08-08,65
2010-08-15,24
2010-08-22,12
2010-08-29,34
2010-09-05,52
2010-09-12,28
2010-09-19,39
2010-09-26,54
2010-10-03,33
2010-10-10,50
2010-10-17,75
2010-10-24,65
2010-10-31,37
2010-11-07,16
2010-11-14,57
2010-11-21,69
2010-11-28,41
2010-12-05,46
2010-12-12,47
2010-12-19,43
2010-12-26,36
2011-01-02,71
2011-01-09,61
2011-01-16,73
2011-01-23,64
2011-01-30,36
2011-02-06,75
2011-02-13,97
2011-02-20,46
2011-02-27,50
2011-03-06,83
2011-03-13,74
2011-03-20,58
2011-03-27,66
2011-04-03,71
2011-04-10,41
2011-04-17,59
2011-04-24,37
2011-05-01,70
2011-05-08,42
2011-05-15,50
2011-05-22,46
2011-05-29,53
2011-06-05,51
2011-06-12,51
2011-06-19,34
2011-06-26,56
2011-07-03,89
2011-07-10,46
2011-07-17,74
2011-07-24,86
2011-07-31,89
2011-08-07,52
2011-08-14,93
2011-08-21,78
2011-08-28,55
2011-09-04,87
2011-09-11,76
2011-09-18,27
2011-09-25,71
2011-10-02,94
2011-10-09,84
2011-10-16,90
2011-10-23,100
2011-10-30,82
2011-11-06,90
2011-11-13,68
2011-11-20,50
2011-11-27,41
2011-12-04,76
2011-12-11,77
2011-12-18,79
2011-12-25,39
2012-01-01,74
