Category: All categories

Week,cold cereal: (United States)
2009-01-11,33
2009-01-18,68
2009-01-25,0
2009-02-01,33
2009-02-08,32
2009-02-15,33
2009-02-22,0
2009-03-01,64
2009-03-08,64
2009-03-15,33
2009-03-22,0
2009-03-29,32
2009-04-05,32
2009-04-12,33
2009-04-19,98
2009-04-26,64
2009-05-03,64
2009-05-10,0
2009-05-17,0
2009-05-24,34
2009-05-31,100
2009-06-07,0
2009-06-14,0
2009-06-21,51
2009-06-28,36
2009-07-05,34
2009-07-12,33
2009-07-19,0
2009-07-26,66
2009-08-02,33
2009-08-09,0
2009-08-16,33
2009-08-23,32
2009-08-30,32
2009-09-06,0
2009-09-13,30
2009-09-20,31
2009-09-27,0
2009-10-04,91
2009-10-11,30
2009-10-18,30
2009-10-25,30
2009-11-01,60
2009-11-08,58
2009-11-15,43
2009-11-22,0
2009-11-29,0
2009-12-06,0
2009-12-13,29
2009-12-20,36
2009-12-27,0
2010-01-03,57
2010-01-10,85
2010-01-17,0
2010-01-24,27
2010-01-31,40
2010-02-07,0
2010-02-14,28
2010-02-21,26
2010-02-28,0
2010-03-07,28
2010-03-14,28
2010-03-21,27
2010-03-28,57
2010-04-04,56
2010-04-11,0
2010-04-18,27
2010-04-25,55
2010-05-02,28
2010-05-09,0
2010-05-16,28
2010-05-23,59
2010-05-30,30
2010-06-06,29
2010-06-13,0
2010-06-20,0
2010-06-27,28
2010-07-04,26
2010-07-11,0
2010-07-18,49
2010-07-25,25
2010-08-01,25
2010-08-08,0
2010-08-15,0
2010-08-22,98
2010-08-29,47
2010-09-05,24
2010-09-12,24
2010-09-19,45
2010-09-26,23
2010-10-03,47
2010-10-10,23
2010-10-17,23
2010-10-24,22
2010-10-31,22
2010-11-07,65
2010-11-14,55
2010-11-21,0
2010-11-28,43
2010-12-05,21
2010-12-12,0
2010-12-19,76
2010-12-26,0
2011-01-02,0
2011-01-09,18
2011-01-16,18
2011-01-23,35
2011-01-30,0
2011-02-06,17
2011-02-13,27
2011-02-20,35
2011-02-27,52
2011-03-06,26
2011-03-13,55
2011-03-20,43
2011-03-27,18
2011-04-03,17
2011-04-10,17
2011-04-17,27
2011-04-24,26
2011-05-01,35
2011-05-08,35
2011-05-15,35
2011-05-22,0
2011-05-29,19
2011-06-05,0
2011-06-12,18
2011-06-19,18
2011-06-26,27
2011-07-03,19
2011-07-10,26
2011-07-17,17
2011-07-24,26
2011-07-31,17
2011-08-07,51
2011-08-14,17
2011-08-21,33
2011-08-28,33
2011-09-04,34
2011-09-11,0
2011-09-18,16
2011-09-25,40
2011-10-02,16
2011-10-09,23
2011-10-16,16
2011-10-23,46
2011-10-30,16
2011-11-06,53
2011-11-13,30
2011-11-20,16
2011-11-27,15
2011-12-04,29
2011-12-11,15
2011-12-18,16
2011-12-25,0
2012-01-01,45
