Category: All categories

Week,Corn flakes: (United States)
2009-01-11,30
2009-01-18,17
2009-01-25,20
2009-02-01,23
2009-02-08,20
2009-02-15,14
2009-02-22,20
2009-03-01,24
2009-03-08,11
2009-03-15,17
2009-03-22,18
2009-03-29,17
2009-04-05,22
2009-04-12,21
2009-04-19,22
2009-04-26,27
2009-05-03,23
2009-05-10,18
2009-05-17,19
2009-05-24,26
2009-05-31,15
2009-06-07,14
2009-06-14,17
2009-06-21,19
2009-06-28,14
2009-07-05,15
2009-07-12,16
2009-07-19,23
2009-07-26,21
2009-08-02,17
2009-08-09,17
2009-08-16,18
2009-08-23,21
2009-08-30,24
2009-09-06,20
2009-09-13,22
2009-09-20,21
2009-09-27,17
2009-10-04,15
2009-10-11,21
2009-10-18,28
2009-10-25,23
2009-11-01,27
2009-11-08,18
2009-11-15,25
2009-11-22,56
2009-11-29,31
2009-12-06,44
2009-12-13,61
2009-12-20,100
2009-12-27,29
2010-01-03,34
2010-01-10,17
2010-01-17,24
2010-01-24,29
2010-01-31,29
2010-02-07,26
2010-02-14,22
2010-02-21,19
2010-02-28,15
2010-03-07,19
2010-03-14,18
2010-03-21,20
2010-03-28,22
2010-04-04,24
2010-04-11,16
2010-04-18,24
2010-04-25,22
2010-05-02,17
2010-05-09,23
2010-05-16,26
2010-05-23,18
2010-05-30,24
2010-06-06,11
2010-06-13,20
2010-06-20,17
2010-06-27,19
2010-07-04,22
2010-07-11,16
2010-07-18,23
2010-07-25,21
2010-08-01,21
2010-08-08,18
2010-08-15,19
2010-08-22,22
2010-08-29,29
2010-09-05,23
2010-09-12,16
2010-09-19,28
2010-09-26,23
2010-10-03,23
2010-10-10,25
2010-10-17,20
2010-10-24,23
2010-10-31,19
2010-11-07,20
2010-11-14,31
2010-11-21,46
2010-11-28,22
2010-12-05,39
2010-12-12,64
2010-12-19,89
2010-12-26,28
2011-01-02,27
2011-01-09,32
2011-01-16,24
2011-01-23,24
2011-01-30,22
2011-02-06,26
2011-02-13,23
2011-02-20,27
2011-02-27,21
2011-03-06,23
2011-03-13,22
2011-03-20,19
2011-03-27,21
2011-04-03,25
2011-04-10,22
2011-04-17,25
2011-04-24,19
2011-05-01,21
2011-05-08,20
2011-05-15,20
2011-05-22,26
2011-05-29,20
2011-06-05,22
2011-06-12,23
2011-06-19,22
2011-06-26,20
2011-07-03,18
2011-07-10,18
2011-07-17,24
2011-07-24,21
2011-07-31,16
2011-08-07,21
2011-08-14,20
2011-08-21,23
2011-08-28,26
2011-09-04,30
2011-09-11,15
2011-09-18,22
2011-09-25,20
2011-10-02,22
2011-10-09,28
2011-10-16,21
2011-10-23,28
2011-10-30,30
2011-11-06,24
2011-11-13,27
2011-11-20,57
2011-11-27,28
2011-12-04,41
2011-12-11,60
2011-12-18,96
2011-12-25,32
2012-01-01,21
