Category: All categories

Week,Frosted Flakes: (United States)
2009-01-11,53
2009-01-18,67
2009-01-25,71
2009-02-01,51
2009-02-08,100
2009-02-15,52
2009-02-22,31
2009-03-01,49
2009-03-08,44
2009-03-15,44
2009-03-22,18
2009-03-29,55
2009-04-05,72
2009-04-12,38
2009-04-19,35
2009-04-26,65
2009-05-03,62
2009-05-10,58
2009-05-17,43
2009-05-24,32
2009-05-31,45
2009-06-07,55
2009-06-14,77
2009-06-21,67
2009-06-28,23
2009-07-05,67
2009-07-12,22
2009-07-19,51
2009-07-26,22
2009-08-02,67
2009-08-09,33
2009-08-16,32
2009-08-23,31
2009-08-30,50
2009-09-06,20
2009-09-13,46
2009-09-20,54
2009-09-27,30
2009-10-04,36
2009-10-11,48
2009-10-18,40
2009-10-25,38
2009-11-01,47
2009-11-08,52
2009-11-15,56
2009-11-22,40
2009-11-29,38
2009-12-06,50
2009-12-13,59
2009-12-20,47
2009-12-27,0
2010-01-03,63
2010-01-10,24
2010-01-17,59
2010-01-24,39
2010-01-31,32
2010-02-07,50
2010-02-14,58
2010-02-21,54
2010-02-28,60
2010-03-07,82
2010-03-14,34
2010-03-21,55
2010-03-28,18
2010-04-04,41
2010-04-11,70
2010-04-18,59
2010-04-25,48
2010-05-02,27
2010-05-09,49
2010-05-16,38
2010-05-23,58
2010-05-30,44
2010-06-06,27
2010-06-13,56
2010-06-20,31
2010-06-27,22
2010-07-04,19
2010-07-11,18
2010-07-18,45
2010-07-25,27
2010-08-01,19
2010-08-08,22
2010-08-15,19
2010-08-22,35
2010-08-29,52
2010-09-05,26
2010-09-12,27
2010-09-19,21
2010-09-26,54
2010-10-03,21
2010-10-10,54
2010-10-17,35
2010-10-24,18
2010-10-31,33
2010-11-07,31
2010-11-14,31
2010-11-21,42
2010-11-28,49
2010-12-05,46
2010-12-12,25
2010-12-19,30
2010-12-26,15
2011-01-02,11
2011-01-09,29
2011-01-16,18
2011-01-23,17
2011-01-30,20
2011-02-06,43
2011-02-13,57
2011-02-20,30
2011-02-27,55
2011-03-06,39
2011-03-13,17
2011-03-20,43
2011-03-27,49
2011-04-03,27
2011-04-10,45
2011-04-17,27
2011-04-24,20
2011-05-01,32
2011-05-08,30
2011-05-15,34
2011-05-22,39
2011-05-29,16
2011-06-05,23
2011-06-12,25
2011-06-19,25
2011-06-26,13
2011-07-03,17
2011-07-10,25
2011-07-17,20
2011-07-24,24
2011-07-31,31
2011-08-07,22
2011-08-14,27
2011-08-21,36
2011-08-28,34
2011-09-04,24
2011-09-11,26
2011-09-18,45
2011-09-25,31
2011-10-02,24
2011-10-09,23
2011-10-16,23
2011-10-23,29
2011-10-30,39
2011-11-06,25
2011-11-13,63
2011-11-20,18
2011-11-27,42
2011-12-04,29
2011-12-11,32
2011-12-18,37
2011-12-25,26
2012-01-01,29
