Category: All categories

Week,Frosted Flakes: (United States)
2009-01-11,18
2009-01-18,32
2009-01-25,40
2009-02-01,41
2009-02-08,63
2009-02-15,59
2009-02-22,47
2009-03-01,69
2009-03-08,81
2009-03-15,67
2009-03-22,60
2009-03-29,60
2009-04-05,48
2009-04-12,36
2009-04-19,53
2009-04-26,57
2009-05-03,74
2009-05-10,100
2009-05-17,83
2009-05-24,48
2009-05-31,50
2009-06-07,30
2009-06-14,39
2009-06-21,37
2009-06-28,37
2009-07-05,16
2009-07-12,44
2009-07-19,34
2009-07-26,43
2009-08-02,23
2009-08-09,23
2009-08-16,50
2009-08-23,39
2009-08-30,61
2009-09-06,49
2009-09-13,52
2009-09-20,46
2009-09-27,42
2009-10-04,27
2009-10-11,40
2009-10-18,52
2009-10-25,43
2009-11-01,41
2009-11-08,40
2009-11-15,51
2009-11-22,36
2009-11-29,44
2009-12-06,35
2009-12-13,30
2009-12-20,20
2009-12-27,37
2010-01-03,27
2010-01-10,50
2010-01-17,31
2010-01-24,32
2010-01-31,29
2010-02-07,39
2010-02-14,27
2010-02-21,46
2010-02-28,50
2010-03-07,41
2010-03-14,54
2010-03-21,73
2010-03-28,41
2010-04-04,37
2010-04-11,56
2010-04-18,39
2010-04-25,52
2010-05-02,42
2010-05-09,29
2010-05-16,39
2010-05-23,38
2010-05-30,30
2010-06-06,46
2010-06-13,33
2010-06-20,33
2010-06-27,38
2010-07-04,51
2010-07-11,35
2010-07-18,22
2010-07-25,33
2010-08-01,22
2010-08-08,25
2010-08-15,31
2010-08-22,33
2010-08-29,26
2010-09-05,25
2010-09-12,37
2010-09-19,46
2010-09-26,39
2010-10-03,56
2010-10-10,42
2010-10-17,31
2010-10-24,37
2010-10-31,35
2010-11-07,40
2010-11-14,41
2010-11-21,33
2010-11-28,42
2010-12-05,40
2010-12-12,33
2010-12-19,21
2010-12-26,28
2011-01-02,46
2011-01-09,40
2011-01-16,33
2011-01-23,43
2011-01-30,48
2011-02-06,32
2011-02-13,28
2011-02-20,43
2011-02-27,36
2011-03-06,30
2011-03-13,29
2011-03-20,26
2011-03-27,36
2011-04-03,48
2011-04-10,43
2011-04-17,46
2011-04-24,46
2011-05-01,42
2011-05-08,46
2011-05-15,45
2011-05-22,40
2011-05-29,47
2011-06-05,36
2011-06-12,38
2011-06-19,43
2011-06-26,42
2011-07-03,41
2011-07-10,32
2011-07-17,30
2011-07-24,34
2011-07-31,39
2011-08-07,26
2011-08-14,36
2011-08-21,43
2011-08-28,49
2011-09-04,44
2011-09-11,36
2011-09-18,45
2011-09-25,51
2011-10-02,50
2011-10-09,42
2011-10-16,45
2011-10-23,53
2011-10-30,43
2011-11-06,52
2011-11-13,43
2011-11-20,36
2011-11-27,41
2011-12-04,45
2011-12-11,50
2011-12-18,43
2011-12-25,35
2012-01-01,26
