Category: All categories

Week,Frosted Flakes: (United States)
2009-01-11,35
2009-01-18,68
2009-01-25,34
2009-02-01,51
2009-02-08,100
2009-02-15,54
2009-02-22,33
2009-03-01,68
2009-03-08,52
2009-03-15,70
2009-03-22,34
2009-03-29,34
2009-04-05,49
2009-04-12,43
2009-04-19,33
2009-04-26,0
2009-05-03,75
2009-05-10,86
2009-05-17,35
2009-05-24,51
2009-05-31,33
2009-06-07,35
2009-06-14,69
2009-06-21,43
2009-06-28,48
2009-07-05,48
2009-07-12,64
2009-07-19,32
2009-07-26,61
2009-08-02,31
2009-08-09,31
2009-08-16,63
2009-08-23,32
2009-08-30,32
2009-09-06,31
2009-09-13,39
2009-09-20,81
2009-09-27,45
2009-10-04,30
2009-10-11,0
2009-10-18,29
2009-10-25,29
2009-11-01,74
2009-11-08,29
2009-11-15,56
2009-11-22,55
2009-11-29,29
2009-12-06,27
2009-12-13,41
2009-12-20,0
2009-12-27,59
2010-01-03,50
2010-01-10,28
2010-01-17,27
2010-01-24,0
2010-01-31,26
2010-02-07,26
2010-02-14,51
2010-02-21,43
2010-02-28,35
2010-03-07,26
2010-03-14,54
2010-03-21,40
2010-03-28,26
2010-04-04,40
2010-04-11,53
2010-04-18,52
2010-04-25,51
2010-05-02,38
2010-05-09,0
2010-05-16,25
2010-05-23,26
2010-05-30,43
2010-06-06,62
2010-06-13,75
2010-06-20,25
2010-06-27,25
2010-07-04,26
2010-07-11,24
2010-07-18,48
2010-07-25,25
2010-08-01,0
2010-08-08,24
2010-08-15,36
2010-08-22,40
2010-08-29,24
2010-09-05,25
2010-09-12,49
2010-09-19,57
2010-09-26,49
2010-10-03,26
2010-10-10,51
2010-10-17,76
2010-10-24,75
2010-10-31,50
2010-11-07,60
2010-11-14,32
2010-11-21,24
2010-11-28,32
2010-12-05,24
2010-12-12,24
2010-12-19,37
2010-12-26,39
2011-01-02,43
2011-01-09,55
2011-01-16,20
2011-01-23,33
2011-01-30,26
2011-02-06,19
2011-02-13,58
2011-02-20,19
2011-02-27,39
2011-03-06,29
2011-03-13,39
2011-03-20,35
2011-03-27,26
2011-04-03,26
2011-04-10,26
2011-04-17,37
2011-04-24,19
2011-05-01,59
2011-05-08,53
2011-05-15,33
2011-05-22,30
2011-05-29,30
2011-06-05,29
2011-06-12,29
2011-06-19,26
2011-06-26,40
2011-07-03,61
2011-07-10,52
2011-07-17,57
2011-07-24,28
2011-07-31,48
2011-08-07,38
2011-08-14,19
2011-08-21,59
2011-08-28,39
2011-09-04,39
2011-09-11,17
2011-09-18,17
2011-09-25,37
2011-10-02,41
2011-10-09,18
2011-10-16,43
2011-10-23,37
2011-10-30,38
2011-11-06,45
2011-11-13,18
2011-11-20,18
2011-11-27,19
2011-12-04,27
2011-12-11,27
2011-12-18,27
2011-12-25,20
2012-01-01,51
