Category: Food & Drink

Week,Frosted Flakes: (United States)
2009-01-11,41
2009-01-18,63
2009-01-25,51
2009-02-01,49
2009-02-08,19
2009-02-15,41
2009-02-22,38
2009-03-01,57
2009-03-08,49
2009-03-15,20
2009-03-22,19
2009-03-29,38
2009-04-05,41
2009-04-12,39
2009-04-19,27
2009-04-26,37
2009-05-03,80
2009-05-10,54
2009-05-17,19
2009-05-24,30
2009-05-31,20
2009-06-07,43
2009-06-14,0
2009-06-21,23
2009-06-28,0
2009-07-05,0
2009-07-12,24
2009-07-19,23
2009-07-26,23
2009-08-02,23
2009-08-09,0
2009-08-16,23
2009-08-23,22
2009-08-30,21
2009-09-06,31
2009-09-13,0
2009-09-20,28
2009-09-27,0
2009-10-04,0
2009-10-11,75
2009-10-18,36
2009-10-25,0
2009-11-01,46
2009-11-08,45
2009-11-15,44
2009-11-22,0
2009-11-29,25
2009-12-06,35
2009-12-13,18
2009-12-20,0
2009-12-27,39
2010-01-03,29
2010-01-10,37
2010-01-17,28
2010-01-24,53
2010-01-31,16
2010-02-07,35
2010-02-14,100
2010-02-21,34
2010-02-28,68
2010-03-07,17
2010-03-14,36
2010-03-21,52
2010-03-28,19
2010-04-04,18
2010-04-11,17
2010-04-18,42
2010-04-25,33
2010-05-02,59
2010-05-09,68
2010-05-16,17
2010-05-23,18
2010-05-30,60
2010-06-06,31
2010-06-13,0
2010-06-20,24
2010-06-27,35
2010-07-04,30
2010-07-11,0
2010-07-18,46
2010-07-25,18
2010-08-01,20
2010-08-08,23
2010-08-15,38
2010-08-22,18
2010-08-29,36
2010-09-05,27
2010-09-12,50
2010-09-19,17
2010-09-26,24
2010-10-03,16
2010-10-10,46
2010-10-17,14
2010-10-24,25
2010-10-31,31
2010-11-07,0
2010-11-14,42
2010-11-21,15
2010-11-28,29
2010-12-05,48
2010-12-12,20
2010-12-19,23
2010-12-26,16
2011-01-02,18
2011-01-09,29
2011-01-16,17
2011-01-23,32
2011-01-30,16
2011-02-06,36
2011-02-13,15
2011-02-20,26
2011-02-27,15
2011-03-06,15
2011-03-13,0
2011-03-20,21
2011-03-27,25
2011-04-03,21
2011-04-10,22
2011-04-17,22
2011-04-24,16
2011-05-01,15
2011-05-08,31
2011-05-15,21
2011-05-22,17
2011-05-29,18
2011-06-05,12
2011-06-12,13
2011-06-19,25
2011-06-26,13
2011-07-03,14
2011-07-10,19
2011-07-17,12
2011-07-24,31
2011-07-31,24
2011-08-07,11
2011-08-14,22
2011-08-21,11
2011-08-28,11
2011-09-04,27
2011-09-11,35
2011-09-18,25
2011-09-25,15
2011-10-02,19
2011-10-09,9
2011-10-16,14
2011-10-23,21
2011-10-30,17
2011-11-06,22
2011-11-13,39
2011-11-20,29
2011-11-27,29
2011-12-04,12
2011-12-11,33
2011-12-18,26
2011-12-25,14
2012-01-01,29
