Category: All categories

Week,General Mills: (United States)
2009-01-11,21
2009-01-18,22
2009-01-25,42
2009-02-01,30
2009-02-08,41
2009-02-15,42
2009-02-22,30
2009-03-01,20
2009-03-08,60
2009-03-15,41
2009-03-22,29
2009-03-29,30
2009-04-05,83
2009-04-12,40
2009-04-19,76
2009-04-26,75
2009-05-03,18
2009-05-10,28
2009-05-17,20
2009-05-24,31
2009-05-31,0
2009-06-07,44
2009-06-14,23
2009-06-21,35
2009-06-28,0
2009-07-05,24
2009-07-12,24
2009-07-19,23
2009-07-26,24
2009-08-02,36
2009-08-09,24
2009-08-16,23
2009-08-23,22
2009-08-30,65
2009-09-06,65
2009-09-13,60
2009-09-20,39
2009-09-27,59
2009-10-04,58
2009-10-11,39
2009-10-18,93
2009-10-25,17
2009-11-01,28
2009-11-08,37
2009-11-15,72
2009-11-22,0
2009-11-29,35
2009-12-06,36
2009-12-13,29
2009-12-20,25
2009-12-27,0
2010-01-03,81
2010-01-10,29
2010-01-17,19
2010-01-24,36
2010-01-31,34
2010-02-07,100
2010-02-14,56
2010-02-21,35
2010-02-28,36
2010-03-07,27
2010-03-14,19
2010-03-21,35
2010-03-28,39
2010-04-04,38
2010-04-11,35
2010-04-18,43
2010-04-25,26
2010-05-02,26
2010-05-09,26
2010-05-16,36
2010-05-23,37
2010-05-30,20
2010-06-06,0
2010-06-13,0
2010-06-20,50
2010-06-27,24
2010-07-04,20
2010-07-11,19
2010-07-18,38
2010-07-25,19
2010-08-01,20
2010-08-08,47
2010-08-15,20
2010-08-22,19
2010-08-29,18
2010-09-05,28
2010-09-12,17
2010-09-19,17
2010-09-26,49
2010-10-03,42
2010-10-10,48
2010-10-17,28
2010-10-24,13
2010-10-31,22
2010-11-07,28
2010-11-14,22
2010-11-21,31
2010-11-28,24
2010-12-05,19
2010-12-12,41
2010-12-19,31
2010-12-26,25
2011-01-02,12
2011-01-09,24
2011-01-16,11
2011-01-23,11
2011-01-30,32
2011-02-06,21
2011-02-13,26
2011-02-20,37
2011-02-27,31
2011-03-06,21
2011-03-13,33
2011-03-20,21
2011-03-27,16
2011-04-03,44
2011-04-10,28
2011-04-17,34
2011-04-24,27
2011-05-01,73
2011-05-08,47
2011-05-15,43
2011-05-22,12
2011-05-29,19
2011-06-05,13
2011-06-12,40
2011-06-19,20
2011-06-26,0
2011-07-03,0
2011-07-10,27
2011-07-17,26
2011-07-24,25
2011-07-31,24
2011-08-07,12
2011-08-14,47
2011-08-21,11
2011-08-28,0
2011-09-04,33
2011-09-11,26
2011-09-18,26
2011-09-25,15
2011-10-02,20
2011-10-09,33
2011-10-16,33
2011-10-23,30
2011-10-30,27
2011-11-06,23
2011-11-13,31
2011-11-20,20
2011-11-27,26
2011-12-04,34
2011-12-11,21
2011-12-18,13
2011-12-25,9
2012-01-01,22
