Category: All categories

Week,General Mills: (Ohio)
2009-01-11,20
2009-01-18,42
2009-01-25,40
2009-02-01,50
2009-02-08,39
2009-02-15,20
2009-02-22,29
2009-03-01,38
2009-03-08,29
2009-03-15,19
2009-03-22,58
2009-03-29,19
2009-04-05,39
2009-04-12,0
2009-04-19,19
2009-04-26,38
2009-05-03,20
2009-05-10,0
2009-05-17,41
2009-05-24,86
2009-05-31,52
2009-06-07,42
2009-06-14,43
2009-06-21,32
2009-06-28,0
2009-07-05,31
2009-07-12,31
2009-07-19,62
2009-07-26,22
2009-08-02,22
2009-08-09,22
2009-08-16,65
2009-08-23,21
2009-08-30,21
2009-09-06,32
2009-09-13,30
2009-09-20,29
2009-09-27,39
2009-10-04,57
2009-10-11,77
2009-10-18,76
2009-10-25,19
2009-11-01,55
2009-11-08,47
2009-11-15,90
2009-11-22,76
2009-11-29,27
2009-12-06,51
2009-12-13,54
2009-12-20,23
2009-12-27,56
2010-01-03,17
2010-01-10,84
2010-01-17,68
2010-01-24,24
2010-01-31,49
2010-02-07,34
2010-02-14,65
2010-02-21,48
2010-02-28,16
2010-03-07,16
2010-03-14,34
2010-03-21,25
2010-03-28,27
2010-04-04,17
2010-04-11,42
2010-04-18,66
2010-04-25,41
2010-05-02,17
2010-05-09,26
2010-05-16,26
2010-05-23,0
2010-05-30,20
2010-06-06,38
2010-06-13,20
2010-06-20,39
2010-06-27,49
2010-07-04,19
2010-07-11,27
2010-07-18,27
2010-07-25,37
2010-08-01,27
2010-08-08,54
2010-08-15,45
2010-08-22,54
2010-08-29,18
2010-09-05,28
2010-09-12,17
2010-09-19,100
2010-09-26,16
2010-10-03,33
2010-10-10,51
2010-10-17,24
2010-10-24,40
2010-10-31,31
2010-11-07,48
2010-11-14,23
2010-11-21,72
2010-11-28,30
2010-12-05,15
2010-12-12,16
2010-12-19,0
2010-12-26,18
2011-01-02,51
2011-01-09,20
2011-01-16,20
2011-01-23,29
2011-01-30,28
2011-02-06,29
2011-02-13,15
2011-02-20,24
2011-02-27,14
2011-03-06,14
2011-03-13,10
2011-03-20,20
2011-03-27,10
2011-04-03,10
2011-04-10,58
2011-04-17,34
2011-04-24,34
2011-05-01,10
2011-05-08,15
2011-05-15,49
2011-05-22,34
2011-05-29,21
2011-06-05,26
2011-06-12,65
2011-06-19,26
2011-06-26,26
2011-07-03,26
2011-07-10,41
2011-07-17,42
2011-07-24,31
2011-07-31,10
2011-08-07,35
2011-08-14,48
2011-08-21,9
2011-08-28,23
2011-09-04,18
2011-09-11,23
2011-09-18,18
2011-09-25,52
2011-10-02,18
2011-10-09,30
2011-10-16,26
2011-10-23,17
2011-10-30,9
2011-11-06,29
2011-11-13,38
2011-11-20,14
2011-11-27,36
2011-12-04,8
2011-12-11,25
2011-12-18,17
2011-12-25,26
2012-01-01,16
