Category: All categories

Week,General Mills: (Texas)
2009-01-11,22
2009-01-18,56
2009-01-25,22
2009-02-01,99
2009-02-08,65
2009-02-15,76
2009-02-22,43
2009-03-01,43
2009-03-08,97
2009-03-15,71
2009-03-22,32
2009-03-29,32
2009-04-05,33
2009-04-12,64
2009-04-19,43
2009-04-26,64
2009-05-03,53
2009-05-10,32
2009-05-17,78
2009-05-24,47
2009-05-31,34
2009-06-07,45
2009-06-14,22
2009-06-21,45
2009-06-28,35
2009-07-05,57
2009-07-12,45
2009-07-19,22
2009-07-26,100
2009-08-02,44
2009-08-09,67
2009-08-16,44
2009-08-23,33
2009-08-30,43
2009-09-06,54
2009-09-13,73
2009-09-20,52
2009-09-27,42
2009-10-04,41
2009-10-11,41
2009-10-18,63
2009-10-25,61
2009-11-01,82
2009-11-08,30
2009-11-15,20
2009-11-22,35
2009-11-29,49
2009-12-06,39
2009-12-13,31
2009-12-20,26
2009-12-27,49
2010-01-03,40
2010-01-10,79
2010-01-17,20
2010-01-24,66
2010-01-31,38
2010-02-07,48
2010-02-14,68
2010-02-21,29
2010-02-28,39
2010-03-07,77
2010-03-14,21
2010-03-21,19
2010-03-28,61
2010-04-04,40
2010-04-11,19
2010-04-18,29
2010-04-25,30
2010-05-02,40
2010-05-09,51
2010-05-16,21
2010-05-23,64
2010-05-30,34
2010-06-06,32
2010-06-13,55
2010-06-20,32
2010-06-27,40
2010-07-04,36
2010-07-11,59
2010-07-18,51
2010-07-25,34
2010-08-01,25
2010-08-08,50
2010-08-15,0
2010-08-22,17
2010-08-29,40
2010-09-05,0
2010-09-12,47
2010-09-19,16
2010-09-26,31
2010-10-03,16
2010-10-10,48
2010-10-17,0
2010-10-24,38
2010-10-31,38
2010-11-07,53
2010-11-14,61
2010-11-21,25
2010-11-28,59
2010-12-05,30
2010-12-12,15
2010-12-19,26
2010-12-26,33
2011-01-02,24
2011-01-09,24
2011-01-16,9
2011-01-23,33
2011-01-30,31
2011-02-06,32
2011-02-13,23
2011-02-20,9
2011-02-27,9
2011-03-06,23
2011-03-13,39
2011-03-20,18
2011-03-27,22
2011-04-03,13
2011-04-10,59
2011-04-17,36
2011-04-24,45
2011-05-01,18
2011-05-08,26
2011-05-15,49
2011-05-22,40
2011-05-29,19
2011-06-05,28
2011-06-12,41
2011-06-19,54
2011-06-26,52
2011-07-03,38
2011-07-10,13
2011-07-17,22
2011-07-24,26
2011-07-31,48
2011-08-07,18
2011-08-14,33
2011-08-21,18
2011-08-28,35
2011-09-04,27
2011-09-11,46
2011-09-18,24
2011-09-25,16
2011-10-02,56
2011-10-09,27
2011-10-16,8
2011-10-23,12
2011-10-30,16
2011-11-06,23
2011-11-13,19
2011-11-20,36
2011-11-27,18
2011-12-04,18
2011-12-11,25
2011-12-18,15
2011-12-25,8
2012-01-01,21
