Category: All categories

Week,General Mills: (United States)
2009-01-11,61
2009-01-18,98
2009-01-25,83
2009-02-01,80
2009-02-08,76
2009-02-15,63
2009-02-22,82
2009-03-01,67
2009-03-08,68
2009-03-15,69
2009-03-22,64
2009-03-29,55
2009-04-05,66
2009-04-12,67
2009-04-19,79
2009-04-26,100
2009-05-03,75
2009-05-10,89
2009-05-17,74
2009-05-24,78
2009-05-31,86
2009-06-07,77
2009-06-14,70
2009-06-21,56
2009-06-28,76
2009-07-05,74
2009-07-12,70
2009-07-19,74
2009-07-26,53
2009-08-02,71
2009-08-09,64
2009-08-16,58
2009-08-23,72
2009-08-30,63
2009-09-06,66
2009-09-13,80
2009-09-20,82
2009-09-27,71
2009-10-04,64
2009-10-11,67
2009-10-18,62
2009-10-25,72
2009-11-01,51
2009-11-08,72
2009-11-15,66
2009-11-22,44
2009-11-29,61
2009-12-06,56
2009-12-13,58
2009-12-20,40
2009-12-27,39
2010-01-03,57
2010-01-10,70
2010-01-17,60
2010-01-24,83
2010-01-31,61
2010-02-07,62
2010-02-14,75
2010-02-21,68
2010-02-28,67
2010-03-07,61
2010-03-14,53
2010-03-21,57
2010-03-28,72
2010-04-04,44
2010-04-11,55
2010-04-18,48
2010-04-25,55
2010-05-02,55
2010-05-09,64
2010-05-16,56
2010-05-23,49
2010-05-30,45
2010-06-06,52
2010-06-13,47
2010-06-20,55
2010-06-27,57
2010-07-04,42
2010-07-11,51
2010-07-18,35
2010-07-25,42
2010-08-01,48
2010-08-08,44
2010-08-15,53
2010-08-22,45
2010-08-29,48
2010-09-05,47
2010-09-12,56
2010-09-19,56
2010-09-26,56
2010-10-03,53
2010-10-10,45
2010-10-17,54
2010-10-24,53
2010-10-31,54
2010-11-07,56
2010-11-14,49
2010-11-21,38
2010-11-28,59
2010-12-05,44
2010-12-12,39
2010-12-19,30
2010-12-26,49
2011-01-02,52
2011-01-09,56
2011-01-16,59
2011-01-23,59
2011-01-30,55
2011-02-06,59
2011-02-13,47
2011-02-20,63
2011-02-27,58
2011-03-06,53
2011-03-13,62
2011-03-20,46
2011-03-27,53
2011-04-03,53
2011-04-10,64
2011-04-17,69
2011-04-24,77
2011-05-01,73
2011-05-08,55
2011-05-15,59
2011-05-22,61
2011-05-29,64
2011-06-05,49
2011-06-12,68
2011-06-19,66
2011-06-26,68
2011-07-03,53
2011-07-10,59
2011-07-17,70
2011-07-24,62
2011-07-31,65
2011-08-07,58
2011-08-14,57
2011-08-21,57
2011-08-28,64
2011-09-04,56
2011-09-11,63
2011-09-18,54
2011-09-25,59
2011-10-02,61
2011-10-09,72
2011-10-16,67
2011-10-23,60
2011-10-30,58
2011-11-06,50
2011-11-13,57
2011-11-20,52
2011-11-27,56
2011-12-04,52
2011-12-11,45
2011-12-18,41
2011-12-25,34
2012-01-01,49
