Category: Food & Drink

Week,General Mills: (United States)
2009-01-11,54
2009-01-18,86
2009-01-25,92
2009-02-01,73
2009-02-08,62
2009-02-15,87
2009-02-22,66
2009-03-01,55
2009-03-08,64
2009-03-15,66
2009-03-22,52
2009-03-29,55
2009-04-05,55
2009-04-12,57
2009-04-19,68
2009-04-26,62
2009-05-03,46
2009-05-10,65
2009-05-17,77
2009-05-24,72
2009-05-31,82
2009-06-07,44
2009-06-14,61
2009-06-21,33
2009-06-28,45
2009-07-05,43
2009-07-12,56
2009-07-19,44
2009-07-26,38
2009-08-02,62
2009-08-09,59
2009-08-16,45
2009-08-23,52
2009-08-30,59
2009-09-06,62
2009-09-13,60
2009-09-20,100
2009-09-27,84
2009-10-04,77
2009-10-11,66
2009-10-18,46
2009-10-25,80
2009-11-01,57
2009-11-08,77
2009-11-15,43
2009-11-22,47
2009-11-29,47
2009-12-06,71
2009-12-13,52
2009-12-20,21
2009-12-27,37
2010-01-03,48
2010-01-10,58
2010-01-17,47
2010-01-24,73
2010-01-31,59
2010-02-07,66
2010-02-14,75
2010-02-21,56
2010-02-28,61
2010-03-07,46
2010-03-14,58
2010-03-21,50
2010-03-28,59
2010-04-04,60
2010-04-11,51
2010-04-18,42
2010-04-25,47
2010-05-02,56
2010-05-09,52
2010-05-16,41
2010-05-23,50
2010-05-30,39
2010-06-06,56
2010-06-13,59
2010-06-20,41
2010-06-27,41
2010-07-04,40
2010-07-11,46
2010-07-18,43
2010-07-25,43
2010-08-01,51
2010-08-08,69
2010-08-15,38
2010-08-22,55
2010-08-29,45
2010-09-05,34
2010-09-12,43
2010-09-19,61
2010-09-26,51
2010-10-03,53
2010-10-10,32
2010-10-17,65
2010-10-24,53
2010-10-31,44
2010-11-07,48
2010-11-14,62
2010-11-21,26
2010-11-28,36
2010-12-05,36
2010-12-12,28
2010-12-19,32
2010-12-26,37
2011-01-02,55
2011-01-09,41
2011-01-16,45
2011-01-23,61
2011-01-30,57
2011-02-06,40
2011-02-13,34
2011-02-20,42
2011-02-27,52
2011-03-06,57
2011-03-13,53
2011-03-20,48
2011-03-27,53
2011-04-03,43
2011-04-10,55
2011-04-17,62
2011-04-24,77
2011-05-01,52
2011-05-08,38
2011-05-15,36
2011-05-22,49
2011-05-29,40
2011-06-05,33
2011-06-12,43
2011-06-19,48
2011-06-26,61
2011-07-03,49
2011-07-10,36
2011-07-17,48
2011-07-24,47
2011-07-31,50
2011-08-07,54
2011-08-14,50
2011-08-21,45
2011-08-28,57
2011-09-04,41
2011-09-11,57
2011-09-18,49
2011-09-25,52
2011-10-02,56
2011-10-09,49
2011-10-16,47
2011-10-23,51
2011-10-30,50
2011-11-06,45
2011-11-13,43
2011-11-20,42
2011-11-27,46
2011-12-04,42
2011-12-11,40
2011-12-18,34
2011-12-25,27
2012-01-01,39
