Category: All categories

Week,healthy cereal: (United States)
2009-01-11,44
2009-01-18,44
2009-01-25,48
2009-02-01,54
2009-02-08,64
2009-02-15,49
2009-02-22,64
2009-03-01,53
2009-03-08,54
2009-03-15,43
2009-03-22,32
2009-03-29,53
2009-04-05,57
2009-04-12,33
2009-04-19,37
2009-04-26,42
2009-05-03,31
2009-05-10,80
2009-05-17,43
2009-05-24,74
2009-05-31,38
2009-06-07,44
2009-06-14,60
2009-06-21,55
2009-06-28,29
2009-07-05,34
2009-07-12,58
2009-07-19,49
2009-07-26,38
2009-08-02,33
2009-08-09,65
2009-08-16,54
2009-08-23,37
2009-08-30,42
2009-09-06,56
2009-09-13,45
2009-09-20,60
2009-09-27,45
2009-10-04,52
2009-10-11,22
2009-10-18,44
2009-10-25,53
2009-11-01,19
2009-11-08,43
2009-11-15,38
2009-11-22,16
2009-11-29,37
2009-12-06,35
2009-12-13,43
2009-12-20,36
2009-12-27,26
2010-01-03,33
2010-01-10,56
2010-01-17,28
2010-01-24,53
2010-01-31,35
2010-02-07,67
2010-02-14,73
2010-02-21,70
2010-02-28,40
2010-03-07,40
2010-03-14,55
2010-03-21,58
2010-03-28,42
2010-04-04,41
2010-04-11,27
2010-04-18,66
2010-04-25,49
2010-05-02,78
2010-05-09,51
2010-05-16,47
2010-05-23,29
2010-05-30,61
2010-06-06,77
2010-06-13,54
2010-06-20,29
2010-06-27,47
2010-07-04,39
2010-07-11,41
2010-07-18,62
2010-07-25,45
2010-08-01,31
2010-08-08,41
2010-08-15,37
2010-08-22,18
2010-08-29,51
2010-09-05,68
2010-09-12,58
2010-09-19,38
2010-09-26,49
2010-10-03,58
2010-10-10,23
2010-10-17,34
2010-10-24,26
2010-10-31,36
2010-11-07,40
2010-11-14,25
2010-11-21,12
2010-11-28,42
2010-12-05,25
2010-12-12,29
2010-12-19,17
2010-12-26,33
2011-01-02,85
2011-01-09,57
2011-01-16,56
2011-01-23,65
2011-01-30,50
2011-02-06,60
2011-02-13,49
2011-02-20,61
2011-02-27,51
2011-03-06,66
2011-03-13,54
2011-03-20,100
2011-03-27,57
2011-04-03,51
2011-04-10,34
2011-04-17,49
2011-04-24,54
2011-05-01,51
2011-05-08,41
2011-05-15,34
2011-05-22,49
2011-05-29,49
2011-06-05,53
2011-06-12,44
2011-06-19,47
2011-06-26,53
2011-07-03,46
2011-07-10,60
2011-07-17,57
2011-07-24,45
2011-07-31,56
2011-08-07,72
2011-08-14,64
2011-08-21,38
2011-08-28,38
2011-09-04,49
2011-09-11,31
2011-09-18,44
2011-09-25,57
2011-10-02,31
2011-10-09,61
2011-10-16,54
2011-10-23,36
2011-10-30,36
2011-11-06,37
2011-11-13,47
2011-11-20,35
2011-11-27,26
2011-12-04,45
2011-12-11,65
2011-12-18,39
2011-12-25,32
2012-01-01,63
