Category: Food & Drink

Week,healthy cereal: (United States)
2009-01-11,41
2009-01-18,0
2009-01-25,20
2009-02-01,50
2009-02-08,30
2009-02-15,20
2009-02-22,30
2009-03-01,70
2009-03-08,40
2009-03-15,30
2009-03-22,39
2009-03-29,59
2009-04-05,51
2009-04-12,30
2009-04-19,49
2009-04-26,39
2009-05-03,0
2009-05-10,90
2009-05-17,30
2009-05-24,32
2009-05-31,40
2009-06-07,41
2009-06-14,62
2009-06-21,41
2009-06-28,66
2009-07-05,21
2009-07-12,62
2009-07-19,51
2009-07-26,40
2009-08-02,61
2009-08-09,41
2009-08-16,40
2009-08-23,49
2009-08-30,29
2009-09-06,30
2009-09-13,37
2009-09-20,47
2009-09-27,28
2009-10-04,37
2009-10-11,19
2009-10-18,27
2009-10-25,36
2009-11-01,27
2009-11-08,63
2009-11-15,18
2009-11-22,20
2009-11-29,34
2009-12-06,0
2009-12-13,0
2009-12-20,22
2009-12-27,22
2010-01-03,53
2010-01-10,87
2010-01-17,34
2010-01-24,41
2010-01-31,41
2010-02-07,42
2010-02-14,52
2010-02-21,16
2010-02-28,83
2010-03-07,33
2010-03-14,95
2010-03-21,33
2010-03-28,18
2010-04-04,35
2010-04-11,50
2010-04-18,66
2010-04-25,33
2010-05-02,43
2010-05-09,52
2010-05-16,35
2010-05-23,36
2010-05-30,28
2010-06-06,45
2010-06-13,28
2010-06-20,18
2010-06-27,35
2010-07-04,0
2010-07-11,23
2010-07-18,39
2010-07-25,23
2010-08-01,53
2010-08-08,38
2010-08-15,23
2010-08-22,37
2010-08-29,44
2010-09-05,37
2010-09-12,22
2010-09-19,64
2010-09-26,35
2010-10-03,29
2010-10-10,43
2010-10-17,14
2010-10-24,62
2010-10-31,41
2010-11-07,41
2010-11-14,40
2010-11-21,15
2010-11-28,33
2010-12-05,20
2010-12-12,34
2010-12-19,16
2010-12-26,0
2011-01-02,28
2011-01-09,61
2011-01-16,100
2011-01-23,88
2011-01-30,62
2011-02-06,43
2011-02-13,43
2011-02-20,43
2011-02-27,48
2011-03-06,48
2011-03-13,62
2011-03-20,43
2011-03-27,43
2011-04-03,43
2011-04-10,48
2011-04-17,54
2011-04-24,38
2011-05-01,37
2011-05-08,44
2011-05-15,32
2011-05-22,33
2011-05-29,34
2011-06-05,66
2011-06-12,66
2011-06-19,71
2011-06-26,44
2011-07-03,46
2011-07-10,75
2011-07-17,32
2011-07-24,31
2011-07-31,42
2011-08-07,67
2011-08-14,26
2011-08-21,41
2011-08-28,30
2011-09-04,36
2011-09-11,59
2011-09-18,68
2011-09-25,29
2011-10-02,53
2011-10-09,52
2011-10-16,29
2011-10-23,24
2011-10-30,43
2011-11-06,33
2011-11-13,19
2011-11-20,10
2011-11-27,36
2011-12-04,36
2011-12-11,63
2011-12-18,29
2011-12-25,25
2012-01-01,45
