Category: All categories

Week,Honey Nut Cheerios: (United States)
2009-01-11,50
2009-01-18,35
2009-01-25,100
2009-02-01,0
2009-02-08,32
2009-02-15,0
2009-02-22,31
2009-03-01,62
2009-03-08,31
2009-03-15,32
2009-03-22,47
2009-03-29,63
2009-04-05,66
2009-04-12,32
2009-04-19,0
2009-04-26,30
2009-05-03,29
2009-05-10,0
2009-05-17,31
2009-05-24,0
2009-05-31,66
2009-06-07,35
2009-06-14,37
2009-06-21,0
2009-06-28,40
2009-07-05,0
2009-07-12,0
2009-07-19,0
2009-07-26,0
2009-08-02,0
2009-08-09,37
2009-08-16,74
2009-08-23,0
2009-08-30,0
2009-09-06,34
2009-09-13,0
2009-09-20,31
2009-09-27,0
2009-10-04,31
2009-10-11,0
2009-10-18,29
2009-10-25,55
2009-11-01,30
2009-11-08,0
2009-11-15,57
2009-11-22,34
2009-11-29,83
2009-12-06,28
2009-12-13,30
2009-12-20,0
2009-12-27,0
2010-01-03,64
2010-01-10,30
2010-01-17,30
2010-01-24,29
2010-01-31,27
2010-02-07,0
2010-02-14,60
2010-02-21,55
2010-02-28,42
2010-03-07,56
2010-03-14,30
2010-03-21,28
2010-03-28,61
2010-04-04,45
2010-04-11,28
2010-04-18,27
2010-04-25,27
2010-05-02,28
2010-05-09,28
2010-05-16,42
2010-05-23,30
2010-05-30,32
2010-06-06,0
2010-06-13,76
2010-06-20,39
2010-06-27,38
2010-07-04,32
2010-07-11,30
2010-07-18,30
2010-07-25,45
2010-08-01,65
2010-08-08,0
2010-08-15,0
2010-08-22,30
2010-08-29,29
2010-09-05,30
2010-09-12,27
2010-09-19,41
2010-09-26,0
2010-10-03,0
2010-10-10,38
2010-10-17,44
2010-10-24,41
2010-10-31,0
2010-11-07,23
2010-11-14,23
2010-11-21,0
2010-11-28,0
2010-12-05,20
2010-12-12,22
2010-12-19,0
2010-12-26,0
2011-01-02,0
2011-01-09,37
2011-01-16,18
2011-01-23,53
2011-01-30,0
2011-02-06,25
2011-02-13,16
2011-02-20,17
2011-02-27,17
2011-03-06,17
2011-03-13,17
2011-03-20,17
2011-03-27,25
2011-04-03,52
2011-04-10,18
2011-04-17,18
2011-04-24,35
2011-05-01,17
2011-05-08,17
2011-05-15,26
2011-05-22,18
2011-05-29,20
2011-06-05,30
2011-06-12,0
2011-06-19,21
2011-06-26,0
2011-07-03,0
2011-07-10,0
2011-07-17,41
2011-07-24,0
2011-07-31,20
2011-08-07,37
2011-08-14,37
2011-08-21,54
2011-08-28,53
2011-09-04,17
2011-09-11,16
2011-09-18,25
2011-09-25,32
2011-10-02,47
2011-10-09,52
2011-10-16,15
2011-10-23,14
2011-10-30,14
2011-11-06,14
2011-11-13,42
2011-11-20,39
2011-11-27,14
2011-12-04,0
2011-12-11,27
2011-12-18,14
2011-12-25,15
2012-01-01,14
