Category: All categories

Week,Honey Nut Cheerios: (United States)
2009-01-11,29
2009-01-18,29
2009-01-25,56
2009-02-01,64
2009-02-08,32
2009-02-15,36
2009-02-22,48
2009-03-01,43
2009-03-08,36
2009-03-15,36
2009-03-22,27
2009-03-29,35
2009-04-05,36
2009-04-12,60
2009-04-19,35
2009-04-26,43
2009-05-03,46
2009-05-10,51
2009-05-17,36
2009-05-24,38
2009-05-31,48
2009-06-07,60
2009-06-14,65
2009-06-21,58
2009-06-28,39
2009-07-05,50
2009-07-12,41
2009-07-19,48
2009-07-26,32
2009-08-02,65
2009-08-09,60
2009-08-16,52
2009-08-23,47
2009-08-30,66
2009-09-06,60
2009-09-13,63
2009-09-20,74
2009-09-27,33
2009-10-04,48
2009-10-11,30
2009-10-18,43
2009-10-25,68
2009-11-01,18
2009-11-08,39
2009-11-15,24
2009-11-22,32
2009-11-29,27
2009-12-06,44
2009-12-13,28
2009-12-20,31
2009-12-27,47
2010-01-03,49
2010-01-10,65
2010-01-17,89
2010-01-24,99
2010-01-31,97
2010-02-07,100
2010-02-14,44
2010-02-21,84
2010-02-28,89
2010-03-07,70
2010-03-14,55
2010-03-21,40
2010-03-28,28
2010-04-04,38
2010-04-11,49
2010-04-18,39
2010-04-25,37
2010-05-02,31
2010-05-09,45
2010-05-16,31
2010-05-23,28
2010-05-30,26
2010-06-06,39
2010-06-13,37
2010-06-20,47
2010-06-27,38
2010-07-04,42
2010-07-11,55
2010-07-18,34
2010-07-25,46
2010-08-01,64
2010-08-08,27
2010-08-15,36
2010-08-22,33
2010-08-29,49
2010-09-05,44
2010-09-12,65
2010-09-19,53
2010-09-26,69
2010-10-03,57
2010-10-10,43
2010-10-17,41
2010-10-24,41
2010-10-31,48
2010-11-07,48
2010-11-14,43
2010-11-21,35
2010-11-28,36
2010-12-05,47
2010-12-12,24
2010-12-19,31
2010-12-26,40
2011-01-02,50
2011-01-09,51
2011-01-16,70
2011-01-23,39
2011-01-30,54
2011-02-06,51
2011-02-13,47
2011-02-20,68
2011-02-27,57
2011-03-06,66
2011-03-13,61
2011-03-20,51
2011-03-27,64
2011-04-03,46
2011-04-10,42
2011-04-17,47
2011-04-24,25
2011-05-01,57
2011-05-08,34
2011-05-15,55
2011-05-22,45
2011-05-29,41
2011-06-05,35
2011-06-12,43
2011-06-19,39
2011-06-26,46
2011-07-03,66
2011-07-10,58
2011-07-17,48
2011-07-24,42
2011-07-31,60
2011-08-07,51
2011-08-14,45
2011-08-21,46
2011-08-28,44
2011-09-04,49
2011-09-11,54
2011-09-18,43
2011-09-25,62
2011-10-02,40
2011-10-09,52
2011-10-16,29
2011-10-23,23
2011-10-30,34
2011-11-06,46
2011-11-13,42
2011-11-20,44
2011-11-27,46
2011-12-04,57
2011-12-11,47
2011-12-18,29
2011-12-25,40
2012-01-01,49
