Category: Food & Drink

Week,Honey Nut Cheerios: (United States)
2009-01-11,11
2009-01-18,33
2009-01-25,54
2009-02-01,11
2009-02-08,32
2009-02-15,11
2009-02-22,27
2009-03-01,26
2009-03-08,48
2009-03-15,16
2009-03-22,21
2009-03-29,37
2009-04-05,27
2009-04-12,32
2009-04-19,42
2009-04-26,43
2009-05-03,31
2009-05-10,21
2009-05-17,37
2009-05-24,17
2009-05-31,32
2009-06-07,32
2009-06-14,27
2009-06-21,61
2009-06-28,35
2009-07-05,11
2009-07-12,49
2009-07-19,27
2009-07-26,22
2009-08-02,54
2009-08-09,43
2009-08-16,21
2009-08-23,21
2009-08-30,31
2009-09-06,48
2009-09-13,55
2009-09-20,30
2009-09-27,30
2009-10-04,20
2009-10-11,30
2009-10-18,19
2009-10-25,34
2009-11-01,20
2009-11-08,24
2009-11-15,19
2009-11-22,11
2009-11-29,28
2009-12-06,18
2009-12-13,19
2009-12-20,18
2009-12-27,23
2010-01-03,23
2010-01-10,41
2010-01-17,69
2010-01-24,53
2010-01-31,100
2010-02-07,27
2010-02-14,32
2010-02-21,13
2010-02-28,44
2010-03-07,31
2010-03-14,32
2010-03-21,40
2010-03-28,23
2010-04-04,9
2010-04-11,22
2010-04-18,40
2010-04-25,31
2010-05-02,41
2010-05-09,14
2010-05-16,9
2010-05-23,43
2010-05-30,20
2010-06-06,19
2010-06-13,20
2010-06-20,24
2010-06-27,14
2010-07-04,43
2010-07-11,33
2010-07-18,16
2010-07-25,41
2010-08-01,29
2010-08-08,37
2010-08-15,48
2010-08-22,20
2010-08-29,16
2010-09-05,28
2010-09-12,11
2010-09-19,30
2010-09-26,30
2010-10-03,34
2010-10-10,23
2010-10-17,15
2010-10-24,26
2010-10-31,29
2010-11-07,11
2010-11-14,25
2010-11-21,32
2010-11-28,28
2010-12-05,32
2010-12-12,22
2010-12-19,21
2010-12-26,17
2011-01-02,24
2011-01-09,33
2011-01-16,47
2011-01-23,35
2011-01-30,33
2011-02-06,45
2011-02-13,38
2011-02-20,34
2011-02-27,14
2011-03-06,40
2011-03-13,42
2011-03-20,28
2011-03-27,34
2011-04-03,14
2011-04-10,29
2011-04-17,38
2011-04-24,26
2011-05-01,37
2011-05-08,46
2011-05-15,40
2011-05-22,12
2011-05-29,30
2011-06-05,26
2011-06-12,26
2011-06-19,29
2011-06-26,29
2011-07-03,40
2011-07-10,52
2011-07-17,23
2011-07-24,33
2011-07-31,33
2011-08-07,30
2011-08-14,36
2011-08-21,32
2011-08-28,40
2011-09-04,14
2011-09-11,23
2011-09-18,39
2011-09-25,29
2011-10-02,36
2011-10-09,33
2011-10-16,23
2011-10-23,13
2011-10-30,28
2011-11-06,37
2011-11-13,22
2011-11-20,21
2011-11-27,12
2011-12-04,31
2011-12-11,39
2011-12-18,23
2011-12-25,21
2012-01-01,20
