Category: Shopping

Week,Honey Nut Cheerios: (United States)
2009-01-11,0
2009-01-18,0
2009-01-25,0
2009-02-01,0
2009-02-08,81
2009-02-15,27
2009-02-22,0
2009-03-01,26
2009-03-08,0
2009-03-15,0
2009-03-22,26
2009-03-29,0
2009-04-05,54
2009-04-12,0
2009-04-19,0
2009-04-26,0
2009-05-03,26
2009-05-10,27
2009-05-17,27
2009-05-24,0
2009-05-31,54
2009-06-07,0
2009-06-14,55
2009-06-21,0
2009-06-28,0
2009-07-05,28
2009-07-12,27
2009-07-19,54
2009-07-26,54
2009-08-02,28
2009-08-09,27
2009-08-16,27
2009-08-23,0
2009-08-30,53
2009-09-06,54
2009-09-13,100
2009-09-20,38
2009-09-27,0
2009-10-04,50
2009-10-11,50
2009-10-18,49
2009-10-25,0
2009-11-01,0
2009-11-08,24
2009-11-15,0
2009-11-22,0
2009-11-29,23
2009-12-06,0
2009-12-13,0
2009-12-20,0
2009-12-27,58
2010-01-03,24
2010-01-10,23
2010-01-17,34
2010-01-24,22
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,22
2010-02-28,22
2010-03-07,0
2010-03-14,46
2010-03-21,22
2010-03-28,23
2010-04-04,0
2010-04-11,0
2010-04-18,33
2010-04-25,0
2010-05-02,0
2010-05-09,23
2010-05-16,0
2010-05-23,24
2010-05-30,0
2010-06-06,0
2010-06-13,25
2010-06-20,0
2010-06-27,0
2010-07-04,0
2010-07-11,0
2010-07-18,0
2010-07-25,41
2010-08-01,41
2010-08-08,20
2010-08-15,20
2010-08-22,20
2010-08-29,19
2010-09-05,20
2010-09-12,57
2010-09-19,0
2010-09-26,28
2010-10-03,19
2010-10-10,19
2010-10-17,28
2010-10-24,37
2010-10-31,0
2010-11-07,18
2010-11-14,18
2010-11-21,0
2010-11-28,52
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,42
2011-01-02,30
2011-01-09,15
2011-01-16,15
2011-01-23,0
2011-01-30,0
2011-02-06,14
2011-02-13,15
2011-02-20,29
2011-02-27,14
2011-03-06,14
2011-03-13,15
2011-03-20,14
2011-03-27,14
2011-04-03,0
2011-04-10,21
2011-04-17,0
2011-04-24,14
2011-05-01,14
2011-05-08,14
2011-05-15,29
2011-05-22,29
2011-05-29,30
2011-06-05,36
2011-06-12,59
2011-06-19,14
2011-06-26,30
2011-07-03,31
2011-07-10,58
2011-07-17,43
2011-07-24,14
2011-07-31,14
2011-08-07,14
2011-08-14,42
2011-08-21,27
2011-08-28,27
2011-09-04,20
2011-09-11,20
2011-09-18,13
2011-09-25,13
2011-10-02,13
2011-10-09,13
2011-10-16,26
2011-10-23,13
2011-10-30,13
2011-11-06,0
2011-11-13,19
2011-11-20,54
2011-11-27,12
2011-12-04,18
2011-12-11,12
2011-12-18,13
2011-12-25,0
2012-01-01,12
