Category: All categories

Week,Kashi: (United States)
2009-01-11,24
2009-01-18,38
2009-01-25,37
2009-02-01,44
2009-02-08,37
2009-02-15,29
2009-02-22,100
2009-03-01,88
2009-03-08,88
2009-03-15,51
2009-03-22,32
2009-03-29,37
2009-04-05,36
2009-04-12,24
2009-04-19,25
2009-04-26,22
2009-05-03,24
2009-05-10,14
2009-05-17,23
2009-05-24,23
2009-05-31,22
2009-06-07,18
2009-06-14,15
2009-06-21,28
2009-06-28,29
2009-07-05,31
2009-07-12,20
2009-07-19,17
2009-07-26,18
2009-08-02,17
2009-08-09,23
2009-08-16,18
2009-08-23,19
2009-08-30,43
2009-09-06,53
2009-09-13,55
2009-09-20,52
2009-09-27,29
2009-10-04,21
2009-10-11,27
2009-10-18,15
2009-10-25,20
2009-11-01,18
2009-11-08,20
2009-11-15,21
2009-11-22,13
2009-11-29,15
2009-12-06,16
2009-12-13,5
2009-12-20,9
2009-12-27,17
2010-01-03,22
2010-01-10,24
2010-01-17,18
2010-01-24,40
2010-01-31,50
2010-02-07,37
2010-02-14,30
2010-02-21,24
2010-02-28,24
2010-03-07,22
2010-03-14,19
2010-03-21,24
2010-03-28,24
2010-04-04,19
2010-04-11,26
2010-04-18,22
2010-04-25,21
2010-05-02,17
2010-05-09,21
2010-05-16,22
2010-05-23,19
2010-05-30,14
2010-06-06,12
2010-06-13,19
2010-06-20,21
2010-06-27,16
2010-07-04,16
2010-07-11,21
2010-07-18,22
2010-07-25,19
2010-08-01,20
2010-08-08,13
2010-08-15,11
2010-08-22,17
2010-08-29,38
2010-09-05,32
2010-09-12,30
2010-09-19,17
2010-09-26,16
2010-10-03,14
2010-10-10,14
2010-10-17,16
2010-10-24,16
2010-10-31,13
2010-11-07,16
2010-11-14,11
2010-11-21,8
2010-11-28,13
2010-12-05,12
2010-12-12,8
2010-12-19,8
2010-12-26,8
2011-01-02,19
2011-01-09,21
2011-01-16,17
2011-01-23,19
2011-01-30,24
2011-02-06,21
2011-02-13,20
2011-02-20,20
2011-02-27,20
2011-03-06,16
2011-03-13,17
2011-03-20,19
2011-03-27,14
2011-04-03,29
2011-04-10,22
2011-04-17,27
2011-04-24,20
2011-05-01,21
2011-05-08,15
2011-05-15,22
2011-05-22,19
2011-05-29,16
2011-06-05,16
2011-06-12,20
2011-06-19,19
2011-06-26,18
2011-07-03,17
2011-07-10,15
2011-07-17,19
2011-07-24,14
2011-07-31,24
2011-08-07,27
2011-08-14,29
2011-08-21,29
2011-08-28,20
2011-09-04,18
2011-09-11,20
2011-09-18,14
2011-09-25,20
2011-10-02,18
2011-10-09,17
2011-10-16,13
2011-10-23,13
2011-10-30,16
2011-11-06,18
2011-11-13,15
2011-11-20,13
2011-11-27,11
2011-12-04,14
2011-12-11,7
2011-12-18,9
2011-12-25,8
2012-01-01,20
